X,Y,time_us
5,5,44
7,5,9
5,7,10
7,7,8
9,5,6
5,9,7
9,7,10
7,9,7
9,9,10
11,5,6
5,11,6
11,7,11
7,11,7
11,9,9
9,11,10
11,11,13
13,5,11
5,13,8
13,7,10
7,13,9
13,9,14
9,13,10
13,11,38
11,13,11
13,13,16
15,5,8
5,15,7
15,7,9
7,15,8
15,9,15
9,15,11
15,11,15
11,15,12
15,13,18
13,15,14
15,15,18
17,5,8
5,17,8
17,7,11
7,17,11
17,9,15
9,17,11
17,11,15
11,17,13
17,13,20
13,17,16
17,15,19
15,17,18
17,17,23
19,5,10
5,19,9
19,7,14
7,19,11
19,9,15
9,19,13
19,11,24
11,19,23
19,13,20
13,19,17
19,15,22
15,19,18
19,17,25
17,19,20
19,19,23
21,5,9
5,21,11
21,7,15
7,21,12
21,9,14
9,21,13
21,11,20
11,21,17
21,13,20
13,21,18
21,15,23
15,21,20
21,17,24
17,21,22
21,19,35
19,21,25
21,21,31
23,5,11
5,23,10
23,7,15
7,23,12
23,9,18
9,23,15
23,11,18
11,23,17
23,13,21
13,23,19
23,15,25
15,23,22
23,17,27
17,23,24
23,19,30
19,23,26
23,21,31
21,23,29
23,23,34
25,5,12
5,25,10
25,7,18
7,25,13
25,9,19
9,25,17
25,11,22
11,25,18
25,13,24
13,25,20
25,15,27
15,25,23
25,17,28
17,25,26
25,19,32
19,25,28
25,21,35
21,25,31
25,23,37
23,25,34
25,25,40
27,7,14
7,27,14
27,9,20
9,27,17
27,11,23
11,27,19
27,13,25
13,27,23
27,15,29
15,27,25
27,17,31
17,27,28
27,19,34
19,27,31
27,21,38
21,27,33
27,23,39
23,27,36
27,25,46
25,27,40
27,27,46
29,7,19
7,29,15
29,9,21
9,29,17
29,11,23
11,29,20
29,13,25
13,29,23
29,15,28
15,29,26
29,17,31
17,29,30
29,19,37
19,29,32
29,21,38
21,29,35
29,23,43
23,29,38
29,25,45
25,29,41
29,27,49
27,29,45
29,29,52
31,7,18
7,31,14
31,9,21
9,31,18
31,11,25
11,31,21
31,13,28
13,31,24
31,15,32
15,31,28
31,17,35
17,31,30
31,19,37
19,31,35
31,21,40
21,31,38
31,23,44
23,31,41
31,25,46
25,31,44
31,27,51
27,31,48
31,29,56
29,31,51
31,31,59
33,7,18
7,33,16
33,9,22
9,33,20
33,11,25
11,33,22
33,13,29
13,33,27
33,15,33
15,33,29
33,17,38
17,33,33
33,19,40
19,33,37
33,21,44
21,33,40
33,23,47
23,33,43
33,25,50
25,33,46
33,27,53
27,33,50
33,29,57
29,33,53
33,31,60
31,33,57
33,33,65
35,7,18
7,35,17
35,9,21
9,35,19
35,11,23
11,35,24
