X,Y,time_us
5,5,9
7,5,7
5,7,10
7,7,6
9,5,6
5,9,8
9,7,6
7,9,8
9,9,7
11,5,7
5,11,7
11,7,7
7,11,7
11,9,7
9,11,7
11,11,8
13,5,5
5,13,6
13,7,7
7,13,8
13,9,8
9,13,8
13,11,9
11,13,8
13,13,9
15,5,5
5,15,7
15,7,7
7,15,8
15,9,9
9,15,7
15,11,9
11,15,8
15,13,10
13,15,10
15,15,10
17,5,7
5,17,7
17,7,8
7,17,8
17,9,9
9,17,8
17,11,9
11,17,10
17,13,11
13,17,11
17,15,12
15,17,12
17,17,34
19,5,6
5,19,7
19,7,9
7,19,8
19,9,10
9,19,9
19,11,10
11,19,10
19,13,11
13,19,12
19,15,11
15,19,12
19,17,13
17,19,13
19,19,15
21,5,7
5,21,8
21,7,9
7,21,9
21,9,9
9,21,10
21,11,10
11,21,11
21,13,12
13,21,12
21,15,13
15,21,13
21,17,14
17,21,14
21,19,15
19,21,15
21,21,17
23,5,6
5,23,8
23,7,9
7,23,9
23,9,11
9,23,11
23,11,11
11,23,11
23,13,13
13,23,13
23,15,13
15,23,14
23,17,15
17,23,15
23,19,16
19,23,16
23,21,17
21,23,18
23,23,18
25,5,8
5,25,8
25,7,9
7,25,9
25,9,10
9,25,11
25,11,11
11,25,12
25,13,13
13,25,13
25,15,14
15,25,15
25,17,16
17,25,22
25,19,17
19,25,18
25,21,19
21,25,19
25,23,19
23,25,19
25,25,21
27,7,8
7,27,10
27,9,11
9,27,11
27,11,13
11,27,12
27,13,14
13,27,14
27,15,15
15,27,15
27,17,16
17,27,17
27,19,18
19,27,18
27,21,19
21,27,19
27,23,21
23,27,21
27,25,23
25,27,22
27,27,24
29,7,9
7,29,10
29,9,11
9,29,12
29,11,14
11,29,13
29,13,14
13,29,15
29,15,16
15,29,16
29,17,16
17,29,18
29,19,20
19,29,19
29,21,21
21,29,20
29,23,21
23,29,22
29,25,24
25,29,23
29,27,35
27,29,25
29,29,26
31,7,9
7,31,11
31,9,12
9,31,12
31,11,20
11,31,14
31,13,16
13,31,16
31,15,17
15,31,17
31,17,18
17,31,19
31,19,20
19,31,20
31,21,22
21,31,22
31,23,22
23,31,23
31,25,25
25,31,25
31,27,27
27,31,27
31,29,29
29,31,28
31,31,30
33,7,9
7,33,11
33,9,13
9,33,13
33,11,15
11,33,14
33,13,15
13,33,16
33,15,17
15,33,18
33,17,20
17,33,19
33,19,21
19,33,21
33,21,23
21,33,23
33,23,24
23,33,25
33,25,26
25,33,26
33,27,28
27,33,28
33,29,30
29,33,30
33,31,30
31,33,31
33,33,33
35,7,10
7,35,12
35,9,13
9,35,12
35,11,15
11,35,15
35,13,17
13,35,17
