size,time_us,computable
5,3635,true
7,8389,true
9,16347,true
11,24000,true
13,41536,true
15,60857,true
17,83893,true
19,113854,true
21,149501,true
23,194822,true
25,242361,true
27,302119,true
29,379262,true
31,435594,true
33,541457,true
35,635248,true
37,739076,true
39,882065,true
41,960086,true
43,1130064,true
45,1273963,true
48,1556162,true
51,1842128,true
54,2166437,true
57,2566005,true
60,2948192,true
63,3316213,true
66,3827295,true
69,4371062,true
72,4989903,true
75,5540549,true
78,6218806,true
81,6976168,true
84,7763138,true
87,8528442,true
90,9433387,true
93,10423748,true
96,11547741,true
*** PANIC ***
Out of memory
