size,time_us
5,27
7,15
9,21
11,10
13,9
15,30
17,6
19,18
21,5
23,8
25,30
27,11
29,8
31,9
33,19
35,22
37,18
39,18
41,15
43,20
45,7
47,22
49,18
51,15
53,25
55,8
57,25
59,7
61,13
63,8
65,6
67,19
69,7
71,20
73,6
75,7
77,19
79,27
81,19
83,19
85,19
87,4
89,24
91,23
93,17
95,20
97,20
99,20
101,7
103,7
105,9
107,8
109,7
111,6
113,7
115,6
117,21
119,19
121,21
123,20
125,7
127,25
129,8
131,6
133,5
135,20
137,6
139,21
141,5
143,7
145,18
147,17
149,8
151,18
153,6
155,18
157,17
159,18
161,6
163,19
165,17
167,19
169,19
171,6
173,19
175,5
177,19
179,18
*** PANIC ***
Out of memory
