size,time_us,decomposition,solved
5,264,1,1
6,234,1,1
7,280,1,1
8,318,1,1
9,414,1,1
10,566,1,1
11,677,1,1
12,810,1,1
13,948,1,1
14,1130,1,1
15,1300,1,1
16,1522,1,1
17,1761,1,1
18,2005,1,1
19,2301,1,1
20,2612,1,1
21,2955,1,1
22,3355,1,1
23,3742,1,1
24,4163,1,1
25,4633,1,1
26,5149,1,1
27,5674,1,1
28,6267,1,1
29,6873,1,1
30,7532,1,1
31,8227,1,1
32,11406,1,1
33,12227,1,1
34,13129,1,1
35,14213,1,1
36,15412,1,1
37,16541,1,1
38,17778,1,1
39,19068,1,1
40,20511,1,1
41,21898,1,1
42,23323,1,1
43,24915,1,1
44,26742,1,1
45,28331,1,1
46,30053,1,1
47,31906,1,1
48,33972,1,1
49,35940,1,1
50,37960,1,1
51,40153,1,1
52,42520,1,1
53,44823,1,1
54,47155,1,1
55,49633,1,1
56,52401,1,1
57,55044,1,1
58,57759,1,1
59,60545,1,1
60,63739,1,1
61,66651,1,1
62,69757,1,1
63,72961,1,1
64,76531,1,1
65,79842,1,1
66,83338,1,1
67,86976,1,1
68,90922,1,1
69,94676,1,1
70,98586,1,1
71,102656,1,1
72,106996,1,1
73,111279,1,1
74,115548,1,1
75,120115,1,1
76,125041,1,1
77,129606,1,1
78,134360,1,1
79,139450,1,1
80,144849,1,1
81,149966,1,1
82,155300,1,1
83,160736,1,1
84,166742,1,1
85,172380,1,1
86,178070,1,1
87,184239,1,1
88,190625,1,1
89,196804,1,1
90,203175,1,1
91,209838,1,1
92,216742,1,1
93,223521,1,1
94,230443,1,1
95,237654,1,1
96,245183,1,1
97,252619,1,1
98,260084,1,1
99,267762,1,1
100,276050,1,1
101,283981,1,1
102,291952,1,1
103,300412,1,1
104,309312,1,1
105,317798,1,1
106,326590,1,1
107,335628,1,1
108,345170,1,1
109,354548,1,1
110,363646,1,1
111,373603,1,1
112,383857,1,1
113,393729,1,1
114,403668,1,1
115,414090,1,1
116,425210,1,1
117,435532,1,1
118,446475,1,1
119,457511,1,1
120,469426,1,1
121,480486,1,1
