X,Y,time_us
7,5,591
9,5,507
9,8,921
11,5,569
11,8,1190
13,5,674
13,8,1341
13,11,2168
15,5,837
15,8,1563
15,11,2582
15,14,3648
17,8,1840
17,11,3002
17,14,4336
19,8,2062
19,11,3447
19,14,5033
19,17,6728
21,8,2302
21,11,3839
21,14,5680
21,17,7718
21,20,9842
23,8,2529
23,11,4250
23,14,6347
23,17,8669
23,20,11157
25,8,2748
25,11,4685
25,14,7024
25,17,9669
25,20,12489
25,23,15478
28,9,3783
28,13,7104
28,17,11121
28,21,15705
28,25,20611
31,13,7966
31,17,12589
31,21,17923
31,25,23702
31,29,29770
34,13,8846
34,17,14045
34,21,20114
34,25,26770
34,29,33914
34,33,41235
37,13,9712
37,17,15541
37,21,22285
37,25,29879
37,29,38049
37,33,46623
40,13,10604
40,17,16992
40,21,24511
40,25,33005
40,29,42143
40,33,51944
40,37,61965
43,13,11482
43,17,18451
43,21,26717
43,25,36077
43,29,46304
43,33,57230
43,37,68694
43,41,80353
46,17,19897
46,21,28896
46,25,39183
46,29,50432
46,33,62537
46,37,75307
46,41,88463
46,45,101879
49,17,21396
49,21,31110
49,25,42269
49,29,54521
49,33,67907
49,37,81973
49,41,96569
49,45,111716
52,17,22874
52,21,33307
52,25,45428
52,29,58776
52,33,73150
52,37,88582
52,41,104824
52,45,121547
52,49,138509
55,17,24280
55,21,35542
55,25,48407
55,29,62845
55,33,78520
55,37,95336
55,41,112914
55,45,131270
55,49,150109
55,53,169156
59,20,35250
59,25,52560
59,30,72602
59,35,94712
59,40,118818
59,45,144365
59,50,170987
59,55,198165
63,20,37902
63,25,56656
63,30,78439
63,35,102751
63,40,129196
63,45,157370
63,50,187112
63,55,217652
63,60,248750
67,25,60851
67,30,84339
67,35,110686
67,40,139602
67,45,170488
67,50,203099
67,55,237060
67,60,271767
67,65,307115
71,25,65016
71,30,90242
71,35,118721
71,40,149960
71,45,183555
71,50,219243
71,55,256450
71,60,295006
71,65,334264
71,70,373999
75,25,69061
75,30,96161
75,35,126647
75,40,160221
75,45,196705
75,50,235297
75,55,275891
75,60,317982
75,65,361248
75,70,405249
79,25,73201
79,30,102000
79,35,134706
79,40,170727
79,45,209626
79,50,251309
79,55,295228
79,60,341169
79,65,388212
79,70,436563
79,75,485462
83,25,77378
83,30,107862
83,35,142569
83,40,180998
83,45,222729
83,50,267373
83,55,314647
83,60,364075
83,65,415187
83,70,467757
83,75,521382
83,80,575429
87,30,113750
87,35,150604
87,40,191382
87,45,235824
87,50,283463
87,55,333937
87,60,387182
87,65,442097
87,70,498973
*** PANIC ***
Out of memory
