X,Y,time_us
7,5,400
9,5,334
9,8,559
11,5,387
11,8,701
13,5,429
13,8,825
13,11,1335
15,5,490
15,8,990
15,11,1584
15,14,2228
17,8,1134
17,11,1812
17,14,2614
19,8,1255
19,11,2064
19,14,3027
19,17,4019
21,8,1389
21,11,2306
21,14,3400
21,17,4604
21,20,5844
23,8,1522
23,11,2554
23,14,3778
23,17,5153
23,20,6618
25,8,1666
25,11,2806
25,14,4162
25,17,5725
25,20,7389
25,23,9171
28,9,2275
28,13,4202
28,17,6589
28,21,9269
28,25,12153
31,13,4697
31,17,7428
31,21,10558
31,25,13967
31,29,17531
34,13,5205
34,17,8268
34,21,11816
34,25,15727
34,29,19929
34,33,24232
37,13,5724
37,17,9135
37,21,13100
37,25,17539
37,29,22331
37,33,27341
40,13,6234
40,17,9974
40,21,14380
40,25,19338
40,29,24711
40,33,30432
40,37,36315
43,13,6740
43,17,10831
43,21,15637
43,25,21118
43,29,27089
43,33,33505
43,37,40198
43,41,47058
46,17,11653
46,21,16928
46,25,22904
46,29,29521
46,33,36590
46,37,44028
46,41,51781
46,45,59592
49,17,12522
49,21,18205
49,25,24713
49,29,31871
49,33,39686
49,37,47932
49,41,56477
49,45,65285
52,17,13367
52,21,19459
52,25,26522
52,29,34318
52,33,42730
52,37,51747
52,41,61215
52,45,71010
52,49,80948
55,17,14210
55,21,20759
55,25,28287
55,29,36712
55,33,45850
55,37,55646
55,41,65953
55,45,76655
55,49,87667
55,53,98863
59,20,20591
59,25,30673
59,30,42363
59,35,55291
59,40,69350
59,45,84260
59,50,99761
59,55,115694
63,20,22117
63,25,33059
63,30,45749
63,35,59941
63,40,75345
63,45,91757
63,50,109093
63,55,126966
63,60,145117
67,25,35478
67,30,49149
67,35,64497
67,40,81308
67,45,99385
67,50,118405
67,55,138152
67,60,158481
67,65,179174
71,25,37893
71,30,52574
71,35,69142
71,40,87427
71,45,106957
71,50,127732
71,55,149457
71,60,171878
71,65,194803
71,70,218120
75,25,40237
75,30,55993
75,35,73777
75,40,93325
75,45,114547
75,50,137049
75,55,160703
75,60,185328
75,65,210498
75,70,236175
79,25,42616
79,30,59375
79,35,78422
79,40,99365
79,45,122044
79,50,146354
79,55,171976
79,60,198665
79,65,226097
79,70,254334
79,75,282881
83,25,45076
83,30,62820
83,35,83012
83,40,105373
83,45,129688
83,50,155737
83,55,183212
83,60,211994
83,65,241789
83,70,272510
83,75,303666
83,80,335192
87,30,66214
87,35,87656
87,40,111388
87,45,137221
87,50,164970
87,55,194416
87,60,225322
87,65,257451
87,70,290484
87,75,324477
87,80,358833
87,85,393564
91,30,69593
91,35,92239
91,40,117384
91,45,144757
91,50,174349
91,55,205665
91,60,238831
91,65,273073
91,70,308789
91,75,345379
91,80,382415
91,85,420235
91,90,458047
95,30,73013
95,35,96897
95,40,123397
95,45,152284
95,50,183588
95,55,217031
95,60,252097
95,65,288817
95,70,326763
95,75,365963
95,80,406151
95,85,446812
95,90,488157
100,35,102678
100,41,136889
100,47,174987
100,53,216503
100,59,261089
100,65,308276
100,71,357808
100,77,409362
100,83,462324
100,89,516410
100,95,571015
105,35,108436
105,41,144795
105,47,185287
105,53,229506
105,59,277191
105,65,327979
105,71,381292
105,77,436648
105,83,494126
105,89,552844
105,95,612779
105,101,673087
110,35,114134
110,41,152639
110,47,195541
110,53,242653
110,59,293399
110,65,347510
110,71,404411
110,77,463981
110,83,525702
110,89,589296
110,95,654063
110,101,720014
110,107,786340
115,35,119907
115,41,160532
115,47,205901
115,53,255767
115,59,309521
115,65,366980
115,71,427905
115,77,491504
115,83,557682
115,89,625765
115,95,695810
115,101,766935
115,107,838813
*** PANIC ***
Out of memory
