––––––––––––––––– TESTING ALGORITHM –––––––––––––––––

SOURCE = 

[ 0.380002, -0.243142, -0.319746]

[0.0108368, -0.484536,  0.687704]

[ 0.182981, -0.585236, -0.862444]

[ 0.109570,  0.252524, -0.180186]

Q = 

[ -0.871769,   0.151698,   0.293328,  -0.361890]

[-0.0248610,  -0.648540,   0.680691,   0.339761]

[ -0.419780,  -0.566907,  -0.670374,   0.230217]

[ -0.251366,   0.484767,  0.0348995,   0.837017]

R = 

[ -0.435897,   0.406205,   0.668977]

[   0.00000,   0.731546, -0.0929309]

[   0.00000,    0.00000,   0.946194]

[   0.00000,    0.00000,    0.00000]

Q * R = 

[ 0.380002, -0.243142, -0.319746]

[0.0108368, -0.484536,  0.687704]

[ 0.182981, -0.585236, -0.862444]

[ 0.109570,  0.252524, -0.180186]

Error = 1.31603e-07

TIME = 187µs

–––––––––––––––––––––––––––––––––––––––––––––––––––––

x,y,time_us,error

4,4,247,1.991049e-07

6,4,172,2.231446e-07

4,6,525,2.573418e-07

6,6,206,6.159254e-07

8,4,132,3.693114e-07

4,8,478,4.590428e-07

8,6,211,5.744683e-07

6,8,533,4.796779e-07

8,8,246,5.371140e-07

10,4,161,3.123084e-07

4,10,485,6.002699e-07

10,6,217,4.788846e-07

6,10,540,7.056796e-07

10,8,263,8.245361e-07

8,10,616,7.392238e-07

10,10,365,7.281281e-07

12,6,214,5.995564e-07

6,12,590,7.886942e-07

12,8,263,6.439043e-07

8,12,649,1.162386e-06

12,10,338,8.592510e-07

10,12,796,1.068217e-06

12,12,394,1.113445e-06

14,6,215,6.687649e-07

6,14,607,7.210566e-07

14,8,268,9.285617e-07

8,14,701,0.970402e-06

14,10,360,8.986776e-07

10,14,856,1.401506e-06

14,12,425,1.368646e-06

12,14,937,1.466800e-06

14,14,458,1.346807e-06

16,6,221,6.761299e-07

6,16,642,1.093546e-06

16,8,292,1.168014e-06

8,16,668,1.046807e-06

16,10,377,1.266325e-06

10,16,879,1.306832e-06

16,12,444,1.697896e-06

12,16,1005,1.464251e-06

16,14,482,1.514105e-06

14,16,1070,1.643618e-06

16,16,536,1.602806e-06

18,8,290,8.904133e-07

8,18,762,1.285312e-06

18,10,388,1.080084e-06

10,18,892,1.645664e-06

18,12,445,1.468884e-06

12,18,1116,1.416447e-06

18,14,531,1.612669e-06

14,18,1163,1.933858e-06

18,16,574,1.655668e-06

16,18,1248,1.764496e-06

18,18,612,2.009002e-06

20,8,289,1.139385e-06

8,20,751,2.210403e-06

20,10,398,1.069067e-06

10,20,978,1.689820e-06

20,12,484,1.462038e-06

12,20,1029,2.187745e-06

20,14,546,1.913891e-06

14,20,1243,2.068405e-06

20,16,604,2.495796e-06

16,20,1310,1.970468e-06

20,18,661,2.087557e-06

18,20,1441,2.019694e-06

20,20,749,2.869007e-06

22,8,294,8.550541e-07

8,22,777,1.442085e-06

22,10,409,1.079011e-06

10,22,1012,1.425331e-06

22,12,490,1.533390e-06

12,22,1151,2.046743e-06

22,14,580,1.501931e-06

14,22,1248,2.369210e-06

22,16,612,1.819423e-06

16,22,1419,2.092250e-06

22,18,697,2.214212e-06

18,22,1523,2.362650e-06

22,20,831,2.596780e-06

20,22,1618,2.545591e-06

22,22,899,2.656140e-06

24,10,392,1.510699e-06

10,24,1098,1.944867e-06

24,12,546,1.763904e-06

12,24,1170,2.262006e-06

24,14,554,1.647891e-06

14,24,1327,2.622082e-06

24,16,656,2.027606e-06

16,24,1444,2.293597e-06

24,18,811,2.104410e-06

18,24,1644,2.454218e-06

24,20,886,2.091618e-06

20,24,1691,2.412876e-06

24,22,965,2.729917e-06

22,24,1848,2.730118e-06

