size,time_us
5,131
7,127
9,177
11,274
13,414
15,599
17,1330
19,1567
21,1916
23,2455
25,3028
27,3645
29,4346
31,5216
33,6191
35,7220
37,8372
39,9744
41,11215
43,12822
45,14502
48,17324
51,20768
54,24504
57,28646
60,33018
63,38218
66,43802
69,49798
72,56178
75,63551
78,71277
81,79664
84,88309
87,98195
90,108493
93,119457
96,130890
99,143576
102,156844
105,170914
109,190775
113,212313
117,235213
121,259878
125,286027
129,291084
133,318686
137,348113
141,378156
145,410840
149,445410
153,482079
157,519447
161,559713
165,602034
169,646608
