size,time_us
5,105
7,122
9,78
11,103
13,133
15,217
17,569
19,488
21,528
23,634
25,750
27,868
29,949
31,1095
33,1281
35,1439
37,1620
39,1835
41,2022
43,2267
45,2468
48,2825
51,3366
54,3844
57,4379
60,4873
63,5663
66,6350
69,7074
72,7758
75,8882
78,9781
81,10776
84,11694
87,13156
90,14330
93,15565
96,16757
99,18617
102,20115
105,21678
109,23999
113,26520
117,29173
121,32052
125,35061
129,35024
133,38063
137,41276
141,44654
145,48270
149,52013
153,55957
157,60076
161,64475
165,69019
169,73770
173,78707
177,83946
181,89362
186,96673
191,104397
196,111349
201,120006
206,128868
211,138270
216,146569
221,156934
226,167626
231,178708
236,188651
241,200966
246,213492
*** PANIC ***
Out of memory
