size,time_us,computable
5,1114,true
7,1699,true
9,3245,true
11,4928,true
13,7571,true
15,10455,true
17,14313,true
19,18949,true
21,25635,true
23,32978,true
25,40495,true
27,50964,true
29,59117,true
31,74650,true
33,88139,true
35,102801,true
37,124011,true
39,137932,true
41,158711,true
43,182075,true
46,218604,true
49,266910,true
52,306211,true
55,364218,true
58,431337,true
61,495091,true
64,564810,true
67,657865,true
70,728193,true
73,824517,true
76,911533,true
79,1033230,true
82,1150300,true
85,1289381,true
88,1424231,true
91,1560348,true
94,1702982,true
97,1871565,true
100,2088799,true
103,2232936,true
107,2493368,true
111,2775705,true
115,3088932,true
119,3365728,true
123,3743455,true
127,4082366,true
131,4449379,true
135,4905643,true
139,5356002,true
*** PANIC ***
Out of memory
