size,time_us
5,31
7,23
9,14
11,6
13,2
15,25
17,16
19,2
21,27
23,3
25,2
27,6
29,16
31,3
33,14
35,15
37,3
39,15
41,14
43,2
45,6
47,2
49,16
51,14
53,4
55,2
57,4
59,17
61,3
63,13
65,14
67,15
69,3
71,3
73,14
75,2
77,3
79,4
81,16
83,17
85,16
87,17
89,4
91,3
93,3
95,4
97,4
99,17
101,16
103,17
105,6
107,3
109,17
111,2
113,17
115,17
117,3
119,3
121,17
123,16
125,20
127,18
129,19
131,18
133,4
135,19
137,16
139,16
141,3
143,2
145,4
147,3
149,14
151,4
153,4
155,3
157,16
159,3
161,3
163,17
165,4
167,18
169,3
171,4
173,3
175,3
177,5
179,19
181,6
183,15
185,17
187,18
189,18
191,19
193,4
195,18
197,4
199,3
201,6
203,5
205,19
207,4
209,17
211,20
213,17
215,4
217,17
219,18
221,17
223,17
225,4
227,19
229,5
231,19
233,5
235,5
237,6
239,17
241,5
243,20
245,18
247,20
249,4
251,17
253,18
255,17
257,6
259,17
261,19
263,17
265,19
267,6
269,17
271,20
273,6
275,21
277,16
279,19
281,19
283,19
285,4
287,17
289,4
291,20
293,19
295,19
297,5
299,6
301,20
303,17
305,19
307,19
309,20
311,16
313,4
315,5
317,19
319,5
321,16
323,18
325,20
327,18
329,19
331,17
333,17
335,18
337,4
339,4
341,3
343,19
345,19
347,15
349,17
351,17
*** PANIC ***
Out of memory
