size,time_us
5,296
7,275
9,288
11,335
13,464
15,582
17,1062
19,1242
21,1392
23,1750
25,2045
27,2489
29,2885
31,3441
33,3924
35,4603
37,5206
39,6095
41,6786
43,7844
45,8652
47,9893
49,10928
51,12374
53,13523
55,15180
57,16539
59,18442
61,19967
63,22143
65,23849
67,26288
69,28221
71,30955
73,33096
75,36165
77,38521
79,41914
81,44511
83,48239
85,51100
87,55201
89,58352
91,62821
93,66189
95,71032
97,74783
99,80018
101,84021
103,89715
105,94033
107,100157
109,104799
111,111391
113,116375
115,123439
117,128761
119,136321
121,142023
123,150085
125,156137
127,164739
129,167927
131,176838
133,183536
135,192983
137,200081
139,210057
141,217608
143,228160
