X,Y,time_us
7,5,237
9,5,180
9,8,298
11,5,189
11,8,307
13,5,208
13,8,348
13,11,541
15,5,240
15,8,403
15,11,608
15,14,829
17,8,447
17,11,692
17,14,1032
19,8,496
19,11,781
19,14,1114
19,17,1460
21,8,557
21,11,873
21,14,1231
21,17,1666
21,20,2085
23,8,596
23,11,958
23,14,1385
23,17,1857
23,20,2350
25,8,649
25,11,1040
25,14,1495
25,17,2050
25,20,2600
25,23,3220
28,9,880
28,13,1511
28,17,2320
28,21,3237
28,25,4173
31,13,1701
31,17,2616
31,21,3655
31,25,4782
31,29,5964
34,13,1871
34,17,2896
34,21,4072
34,25,5378
34,29,6734
34,33,8170
37,13,2062
37,17,3191
37,21,4543
37,25,5980
37,29,7546
37,33,9182
40,13,2236
40,17,3486
40,21,4939
40,25,6562
40,29,8323
40,33,10207
40,37,12140
43,13,2411
43,17,3756
43,21,5356
43,25,7161
43,29,9107
43,33,11208
43,37,13416
43,41,15634
46,17,4045
46,21,5762
46,25,7751
46,29,9915
46,33,12234
46,37,14682
46,41,17210
46,45,19768
49,17,4335
49,21,6212
49,25,8353
49,29,10700
49,33,13253
49,37,15937
49,41,18747
49,45,21642
52,17,4596
52,21,6632
52,25,8943
52,29,11499
52,33,14269
52,37,17209
52,41,20308
52,45,23490
52,49,26711
55,17,4903
55,21,7061
55,25,9542
55,29,12305
55,33,15284
55,37,18484
55,41,21840
55,45,25352
55,49,28912
55,53,32566
59,20,6997
59,25,10331
59,30,14143
59,35,18383
59,40,22958
59,45,27830
59,50,32901
59,55,38037
63,20,7527
63,25,11128
63,30,15267
63,35,19900
63,40,24925
63,45,30276
63,50,35912
63,55,41715
63,60,47646
67,25,11903
67,30,16400
67,35,21426
67,40,26907
67,45,32774
67,50,38968
67,55,45409
67,60,51956
67,65,58677
71,25,12728
71,30,17536
71,35,22945
71,40,28875
71,45,35249
71,50,42007
71,55,49048
71,60,56330
71,65,63801
71,70,71304
75,25,13507
75,30,18659
75,35,24477
75,40,30842
75,45,37729
75,50,45049
75,55,52726
75,60,60669
75,65,68874
75,70,77200
79,25,14299
79,30,19786
79,35,25982
79,40,32824
79,45,40188
79,50,48089
79,55,56390
79,60,65048
79,65,73940
79,70,83079
79,75,92342
83,25,15105
83,30,20912
83,35,27488
83,40,34798
83,45,42686
83,50,51123
83,55,60037
83,60,69390
83,65,79026
83,70,88963
83,75,99060
83,80,109299
87,30,22033
87,35,29024
87,40,36756
87,45,45134
87,50,54171
87,55,63717
87,60,73739
87,65,84159
87,70,94824
87,75,105802
87,80,116952
87,85,128157
91,30,23161
91,35,30559
91,40,38732
91,45,47625
91,50,57239
91,55,67388
91,60,78069
91,65,89178
91,70,100743
91,75,112535
91,80,124587
91,85,136780
91,90,149088
95,30,24297
95,35,32069
95,40,40699
95,45,50113
95,50,60240
95,55,71064
95,60,82402
95,65,94308
95,70,106607
95,75,119299
95,80,132256
95,85,145398
95,90,158721
100,35,33948
100,41,45093
100,47,57457
100,53,70929
100,59,85365
100,65,100651
100,71,116666
100,77,133329
100,83,150413
100,89,167879
100,95,185514
105,35,35863
105,41,47668
105,47,60824
105,53,75181
105,59,90634
105,65,107018
105,71,124210
105,77,142193
105,83,160714
105,89,179661
105,95,198964
105,101,218441
110,35,37761
110,41,50246
110,47,64168
110,53,79440
110,59,95876
110,65,113355
110,71,131821
110,77,151057
110,83,170996
110,89,191518
110,95,212398
110,101,233639
110,107,255048
115,35,39689
115,41,52838
115,47,67568
115,53,83723
115,59,101128
115,65,119745
115,71,139357
115,77,159909
115,83,181250
115,89,203256
115,95,225841
115,101,248789
115,107,272047
115,113,295447
120,41,55435
120,47,70935
120,53,87919
120,59,106393
120,65,126078
120,71,146901
120,77,168804
120,83,191553
120,89,215076
120,95,239280
120,101,263885
120,107,289022
120,113,314367
120,119,339777
125,41,57998
125,47,74264
125,53,92221
125,59,111642
125,65,132453
125,71,154493
125,77,177630
125,83,201834
125,89,226884
125,95,252672
125,101,279049
125,107,305994
125,113,333332
*** PANIC ***
Out of memory
