X,Y,Z,time_us
5,5,5,75
8,5,5,149
5,8,5,85
5,5,8,84
11,5,5,260
5,11,5,245
5,5,11,239
11,11,5,387
11,5,11,430
5,11,11,387
11,11,11,693
14,11,11,845
11,14,11,832
11,11,14,832
17,12,12,1198
12,17,12,1080
12,12,17,1186
20,12,12,1329
12,20,12,1247
12,12,20,1306
20,19,12,1931
19,20,12,1930
20,12,19,2057
12,19,20,1934
20,19,19,2993
19,20,19,2972
19,19,20,2965
23,12,12,1524
12,23,12,1435
12,12,23,1537
23,19,12,2206
19,23,12,2186
23,12,19,2342
12,19,23,2218
23,19,19,3397
19,23,19,3388
19,19,23,3399
27,12,12,1773
12,27,12,1618
12,12,27,1783
27,19,12,2552
19,27,12,2480
27,12,19,2724
12,19,27,2568
27,19,19,3968
19,27,19,3849
19,19,27,3961
27,26,12,3348
26,27,12,3339
27,12,26,3655
12,26,27,3351
27,26,19,5195
26,27,19,5181
27,19,26,5351
19,26,27,5178
27,26,26,7024
26,27,26,7029
26,26,27,7020
31,13,13,2341
13,31,13,2164
13,13,31,2333
31,21,13,3461
21,31,13,3357
31,13,21,3659
13,21,31,3458
31,21,21,5456
21,31,21,5309
21,21,31,5439
31,29,13,4578
29,31,13,4580
31,13,29,4977
13,29,31,4564
31,29,21,7280
29,31,21,7278
31,21,29,7455
21,29,31,7260
31,29,29,9986
29,31,29,9979
29,29,31,9971
35,21,21,6134
21,35,21,5882
21,21,35,6121
35,29,21,8196
29,35,21,8061
35,21,29,8402
21,29,35,8173
35,29,29,11235
29,35,29,11052
29,29,35,11233
39,21,21,6820
21,39,21,6550
21,21,39,6800
39,29,21,9118
29,39,21,8980
39,21,29,9342
21,29,39,9091
39,29,29,12509
29,39,29,12327
29,29,39,12498
39,37,21,11409
37,39,21,11418
39,21,37,11871
21,37,39,11388
39,37,29,15680
37,39,29,15688
39,29,37,15898
29,37,39,15648
39,37,37,19926
37,39,37,19949
37,37,39,19914
43,21,21,7507
21,43,21,7119
21,21,43,7484
43,29,21,10032
29,43,21,9770
43,21,29,10281
21,29,43,10010
43,29,29,13772
29,43,29,13412
29,29,43,13758
43,37,21,12563
37,43,21,12416
43,21,37,13073
21,37,43,12534
43,37,29,17254
37,43,29,17063
43,29,37,17514
29,37,43,17236
43,37,37,21951
37,43,37,21702
37,37,43,21937
47,23,23,9759
23,47,23,9300
23,23,47,9745
47,32,23,12942
32,47,23,12878
47,23,32,13486
23,32,47,12920
47,32,32,17914
32,47,32,17810
32,32,47,17900
47,41,23,16374
41,47,23,16442
47,23,41,17253
23,41,47,16348
47,41,32,22682
41,47,32,22779
47,32,41,22906
32,41,47,22672
47,41,41,29024
41,47,41,29140
41,41,47,28993
51,23,23,10592
23,51,23,10011
23,23,51,10568
51,32,23,14064
32,51,23,13863
51,23,32,14633
23,32,51,14028
51,32,32,19465
32,51,32,19161
32,32,51,19437
51,41,23,17768
41,51,23,17665
51,23,41,18736
23,41,51,17761
51,41,32,24606
41,51,32,24470
51,32,41,24902
32,41,51,24627
51,41,41,31472
41,51,41,31303
41,41,51,31521
51,50,23,21492
50,51,23,21510
51,23,50,22792
23,50,51,21495
