X,Y,time_us
5,5,719
7,5,799
5,7,1313
9,5,855
5,9,1502
9,8,1516
8,9,2040
11,5,1086
5,11,1756
11,8,1681
8,11,2383
11,11,2435
13,5,1147
5,13,1905
13,8,1902
8,13,2986
13,11,2823
11,13,3757
15,5,1336
5,15,2261
15,8,2128
8,15,3398
15,11,3232
11,15,4511
15,14,4567
14,15,5565
17,8,2312
8,17,3783
17,11,3582
11,17,5151
17,14,5128
14,17,6497
17,17,6480
19,8,2503
8,19,4289
19,11,3982
11,19,5976
19,14,5680
14,19,7677
19,17,7406
17,19,9137
21,8,2859
8,21,4823
21,11,4356
11,21,6723
21,14,6303
14,21,8650
21,17,8296
17,21,10623
21,20,10581
20,21,12538
23,8,2952
8,23,5362
23,11,4771
11,23,7443
23,14,6941
14,23,9734
23,17,9210
17,23,12160
23,20,11800
20,23,14282
23,23,14469
25,8,3140
8,25,5927
25,11,5120
11,25,8195
25,14,7520
14,25,10765
25,17,10174
17,25,13371
25,20,12980
20,25,16189
25,23,16039
23,25,18977
28,9,4197
9,28,7850
28,13,7495
13,28,11523
28,17,11465
17,28,15666
28,21,16066
21,28,20260
28,25,20916
25,28,24833
31,13,8402
13,31,13228
31,17,12831
17,31,18112
31,21,18150
21,31,23434
31,25,23846
25,31,29090
31,29,29990
29,31,34991
34,13,9179
13,34,14921
34,17,14147
17,34,20502
34,21,20113
21,34,26659
34,25,26643
25,34,33250
34,29,33701
29,34,40226
34,33,40884
33,34,47151
37,13,9933
13,37,16821
37,17,15593
17,37,23179
37,21,22214
21,37,30165
37,25,29568
25,37,37656
37,29,37629
29,37,45674
37,33,45968
33,37,53924
37,37,54642
40,13,10618
13,40,18843
40,17,16820
17,40,25855
40,21,24162
21,40,33718
40,25,32327
25,40,42135
40,29,41362
29,40,51239
40,33,50798
33,40,60623
40,37,60760
37,40,70457
43,13,11513
13,43,20858
43,17,18185
17,43,28682
43,21,26253
21,43,37442
43,25,35251
25,43,46889
43,29,45341
29,43,57068
43,33,55894
33,43,67657
43,37,67120
37,43,78986
43,41,78499
41,43,90091
46,17,19623
17,46,31727
46,21,28342
21,46,41428
46,25,38183
25,46,51842
46,29,49233
29,46,63199
46,33,60974
33,46,74961
46,37,73513
37,46,87565
46,41,86258
41,46,100320
46,45,99490
45,46,113618
49,17,20867
17,49,34829
49,21,30337
21,49,45352
49,25,41048
25,49,56814
49,29,53047
29,49,69286
49,33,65858
33,49,82351
49,37,79645
37,49,96338
49,41,93697
41,49,110390
49,45,108441
45,49,125351
49,49,174929
52,17,22301
17,52,38055
52,21,32416
21,52,49639
52,25,43969
25,52,62113
52,29,56971
29,52,75796
52,33,70981
33,52,90131
52,37,85954
37,52,105300
52,41,101496
41,52,120936
52,45,117819
45,52,137467
52,49,188490
49,52,190260
55,17,23650
17,55,41398
55,21,34499
21,55,54027
55,25,46947
25,55,67618
55,29,60905
29,55,82434
55,33,76060
33,55,98106
55,37,92328
37,55,114631
55,41,109326
41,55,131717
55,45,127206
45,55,149821
55,49,201356
49,55,205786
55,53,230699
53,55,231758
59,20,34069
20,59,56252
59,25,50686
25,59,74988
59,30,70060
30,59,95887
59,35,91340
35,59,117759
59,40,114504
40,59,141038
59,45,139252
45,59,166575
59,50,226185
50,59,235031
59,55,265160
55,59,269416
63,20,36612
20,63,62191
63,25,54649
25,63,82831
63,30,75625
30,63,105984
63,35,98969
35,63,130031
63,40,124422
40,63,155742
63,45,151815
45,63,184142
63,50,244058
50,63,257430
63,55,286274
55,63,294707
63,60,330901
60,63,333806
67,25,58466
25,67,90893
67,30,81046
30,67,115948
67,35,106298
35,67,142554
67,40,133985
40,67,170745
67,45,163874
45,67,201922
67,50,260747
50,67,280441
67,55,306323
55,67,320707
67,60,354770
60,67,363031
67,65,405680
65,67,407614
71,25,62341
25,71,99408
71,30,86666
30,71,126634
71,35,113914
35,71,155606
71,40,143923
40,71,186432
71,45,176382
45,71,220491
71,50,278568
50,71,304041
71,55,327157
55,71,347346
71,60,379098
60,71,392841
71,65,434425
65,71,441010
71,70,491037
70,71,492885
75,25,66074
25,75,108181
75,30,92072
30,75,137517
75,35,121256
35,75,168928
75,40,153482
40,75,202304
75,45,188453
45,75,239345
75,50,295235
50,75,328086
75,55,347226
55,75,374616
75,60,403017
60,75,423321
75,65,461353
65,75,475021
75,70,522130
70,75,530852
75,75,582371
79,25,69992
25,79,116927
79,30,97678
30,79,148986
79,35,128880
35,79,182835
79,40,163382
40,79,218845
79,45,200975
45,79,258954
79,50,313119
50,79,352806
79,55,368054
55,79,402497
79,60,427043
60,79,454520
79,65,490054
65,79,509764
79,70,554951
70,79,569521
79,75,620850
75,79,628519
83,25,73780
25,83,126079
83,30,103096
30,83,160583
83,35,136214
35,83,196963
83,40,172947
40,83,235704
83,45,213060
45,83,278866
83,50,329743
50,83,378162
83,55,388116
55,83,431020
83,60,450903
60,83,486386
83,65,516604
65,83,545278
83,70,586027
70,83,608997
83,75,656672
75,83,672032
83,80,728550
80,83,736020
87,30,108765
30,87,172730
87,35,143818
35,87,211697
87,40,182873
40,87,253223
87,45,225554
45,87,299503
87,50,347613
50,87,403964
87,55,408904
55,87,460178
87,60,474933
60,87,518927
87,65,545362
65,87,581471
87,70,618522
70,87,649307
87,75,693699
75,87,716366
87,80,770954
80,87,784573
87,85,855443
85,87,864076
91,30,114151
30,91,185054
91,35,151174
35,91,226676
91,40,192406
40,91,271028
91,45,237631
45,91,320475
91,50,364204
50,91,430385
91,55,429016
55,91,490035
91,60,498811
60,91,552211
91,65,571950
65,91,618438
91,70,649602
70,91,690410
91,75,729133
75,91,761522
91,80,810622
80,91,834033
91,85,900142
85,91,918593
91,90,987394
90,91,997931
95,30,119794
30,95,197917
95,35,158816
35,95,242228
95,40,202318
40,95,289450
95,45,250168
45,95,342236
95,50,382054
50,95,457437
95,55,449873
55,95,520459
95,60,522833
60,95,586168
95,65,600704
65,95,656124
95,70,682067
70,95,732312
95,75,766047
75,95,807521
95,80,853080
80,95,884380
95,85,947608
85,95,973968
95,90,1039783
90,95,1058171
