X,Y,time_us
5,5,175
7,5,153
5,7,169
9,5,127
5,9,128
9,8,203
8,9,204
11,5,141
5,11,132
11,8,279
8,11,244
11,11,382
13,5,154
5,13,147
13,8,305
8,13,290
13,11,468
11,13,461
15,5,180
5,15,169
15,8,348
8,15,335
15,11,553
11,15,547
15,14,777
14,15,775
17,8,394
8,17,386
17,11,635
11,17,619
17,14,910
14,17,903
17,17,1213
19,8,441
8,19,424
19,11,717
11,19,708
19,14,1040
14,19,1020
19,17,1383
17,19,1373
21,8,492
8,21,489
21,11,810
11,21,775
21,14,1169
14,21,1161
21,17,1572
17,21,1561
21,20,1986
20,21,2007
23,8,547
8,23,527
23,11,894
11,23,873
23,14,1301
14,23,1284
23,17,1763
17,23,1758
23,20,2271
20,23,2256
23,23,2774
25,8,589
8,25,559
25,11,981
11,25,967
25,14,1446
14,25,1419
25,17,1956
17,25,1937
25,20,2527
20,25,2500
25,23,3106
23,25,3098
28,9,822
9,28,758
28,13,1448
13,28,1426
28,17,2260
17,28,2195
28,21,3153
21,28,3114
28,25,4104
25,28,4076
31,13,1633
13,31,1589
31,17,2538
17,31,2493
31,21,3561
21,31,3526
31,25,4687
25,31,4653
31,29,5861
29,31,5854
34,13,1809
13,34,1742
34,17,2822
17,34,2755
34,21,3986
21,34,3931
34,25,5281
25,34,5226
34,29,6650
29,34,6616
34,33,8056
33,34,8029
37,13,1975
13,37,1910
37,17,3099
17,37,3025
37,21,4415
21,37,4344
37,25,5867
25,37,5803
37,29,7433
29,37,7379
37,33,9055
33,37,9018
37,37,10727
40,13,2152
13,40,2072
40,17,3387
17,40,3308
40,21,4836
21,40,4757
40,25,6462
25,40,6372
40,29,8208
29,40,8115
40,33,10067
33,40,10008
40,37,11996
37,40,11962
43,13,2332
13,43,2236
43,17,3681
17,43,3561
43,21,5256
21,43,5148
43,25,7060
25,43,6947
43,29,8993
29,43,8902
43,33,11072
33,43,11009
43,37,13257
37,43,13195
43,41,15499
41,43,15471
46,17,3956
17,46,3838
46,21,5671
21,46,5551
46,25,7625
25,46,7515
46,29,9781
29,46,9673
46,33,12080
33,46,11990
46,37,14516
37,46,14435
46,41,17032
41,46,16973
46,45,19575
45,46,19571
49,17,4236
17,49,4120
49,21,6114
21,49,5966
49,25,8217
25,49,8074
49,29,10558
29,49,10427
49,33,13095
33,49,12976
49,37,15762
37,49,15688
49,41,18570
41,49,18483
49,45,21423
45,49,21373
49,49,24324
52,17,4521
17,52,4392
52,21,6512
21,52,6377
52,25,8808
25,52,8652
52,29,11345
29,52,11188
52,33,14114
33,52,13972
52,37,17035
37,52,16896
52,41,20098
41,52,20008
52,45,23273
45,52,23217
52,49,26523
49,52,26484
55,17,4801
17,55,4660
55,21,6943
21,55,6776
55,25,9407
25,55,9237
55,29,12137
29,55,11977
55,33,15125
33,55,14954
55,37,18307
37,55,18130
55,41,21641
41,55,21519
55,45,25121
45,55,25029
55,49,28710
49,55,28615
55,53,32320
53,55,32281
59,20,6873
20,59,6695
59,25,10175
25,59,9989
59,30,13978
30,59,13762
59,35,18203
