size,time_us
5,187
6,171
7,161
8,175
9,216
10,249
11,336
12,385
13,444
14,582
15,642
16,752
17,1364
18,1382
19,1512
20,1637
21,1861
22,2181
23,2437
24,2642
25,3022
26,3302
27,3627
28,3882
29,4308
30,4833
31,5254
32,5581
33,6222
34,6701
35,7245
36,7700
37,8380
38,9134
39,9795
40,10366
41,11245
42,12031
43,12868
44,13531
45,14567
46,15596
47,16555
48,17359
49,18637
50,19700
51,20832
52,21796
53,23235
54,24613
55,25881
56,27053
57,28740
58,30186
59,31685
60,33014
61,34859
62,36629
63,38324
64,39877
65,42033
66,43946
67,45844
68,47581
69,49909
70,52143
71,54302
72,56240
73,58925
74,61270
75,63689
76,65846
77,68760
78,71476
79,74153
80,76593
81,79821
82,82734
83,85662
84,88365
85,91866
86,95135
87,98391
88,101355
89,105225
90,108715
91,112245
92,115507
93,119651
94,123533
95,127404
96,130968
97,135550
98,139625
99,143844
100,147708
101,152573
102,157083
103,161649
104,165854
105,171140
106,175940
107,180827
108,185399
109,191025
110,196291
111,201528
112,206442
113,212559
114,218092
115,223721
116,229032
117,235469
118,241498
119,247529
120,253236
121,260182
122,266512
123,272972
124,279049
125,286355
126,293257
127,300116
128,284250
129,291219
130,297990
131,304761
132,311426
133,318801
134,325905
135,333105
136,340439
137,348289
138,355766
139,363415
140,370109
141,378294
142,386261
143,394289
144,402282
145,411026
146,419490
147,427978
148,436410
149,445600
150,454453
151,463434
152,472536
153,482221
154,491545
155,501014
156,509500
157,519643
158,529452
159,539400
160,549206
161,559887
162,570275
163,580704
164,591039
165,602253
166,613065
167,624038
168,635081
169,646826
assertion "i>=0 && j>=0 && i<size() && j<size()" failed: file "/nix/store/kki9hn7p0dc4186z31z5qz0kvaxmjk0s-eigen-3.4.1/include/eigen3/Eigen/src/Core/PermutationMatrix.h", line 176, function: Derived& Eigen::PermutationBase<Derived>::applyTranspositionOnThe
