size,time_us
5,129
6,93
7,144
8,100
9,121
10,110
11,177
12,140
13,161
14,210
15,204
16,224
17,642
18,503
19,505
20,498
21,542
22,577
23,611
24,659
25,722
26,796
27,848
28,901
29,934
30,1021
31,1087
32,1116
33,1244
34,1341
35,1410
36,1466
37,1579
38,1657
39,1775
40,1826
41,1956
42,2106
43,2230
44,2282
45,2421
46,2577
47,2698
48,2758
49,2957
50,3145
51,3327
52,3386
53,3573
54,3765
55,3943
56,4052
57,4286
58,4534
59,4742
60,4829
61,5080
62,5353
63,5566
64,5670
65,5992
66,6252
67,6542
68,6655
69,6968
70,7275
71,7572
72,7699
73,8084
74,8418
75,8778
76,8921
77,9322
78,9679
79,10045
80,10190
81,10645
82,11069
83,11493
84,11643
85,12116
86,12547
87,12985
88,13188
89,13701
90,14206
91,14717
92,14864
93,15442
94,15960
95,16489
96,16684
97,17312
98,17892
99,18490
100,18704
101,19323
102,19956
103,20562
104,20804
105,21491
106,22175
107,22862
108,23108
109,23856
110,24541
111,25249
112,25531
113,26345
114,27093
115,27903
116,28164
117,29002
118,29805
119,30632
120,30925
121,31838
122,32736
123,33600
124,33901
125,34874
126,35773
127,36718
128,34011
129,34929
130,35787
131,36642
132,37026
133,37958
134,38870
135,39785
136,40187
137,41151
138,42125
139,43075
140,43503
141,44543
142,45561
143,46562
144,47026
145,48153
146,49229
147,50303
148,50744
149,51904
150,52999
151,54146
152,54622
153,55837
154,57012
155,58196
156,58695
157,59948
158,61197
159,62430
160,62991
161,64353
162,65637
163,66950
164,67491
165,68873
166,70228
167,71606
168,72167
169,73640
170,75028
171,76452
172,77050
173,78577
174,80042
175,81545
176,82199
177,83795
178,85350
179,86920
180,87559
181,89204
182,90802
183,92430
184,93111
185,94846
186,96524
187,98211
188,98918
189,100710
190,102463
191,104225
192,104965
193,106873
194,108698
195,110521
196,111275
197,113239
198,115098
199,117006
200,117790
201,119824
202,121781
203,123752
204,124571
205,126673
206,128696
207,130748
208,131645
209,133835
210,135964
211,138065
212,138953
213,141195
214,143370
215,145581
216,146489
217,148826
218,151094
219,153374
220,154356
221,156753
222,159078
223,161443
224,162486
225,165007
226,167457
227,169886
228,170899
229,173484
230,175994
231,178511
232,179530
233,182261
234,184841
235,187454
236,188549
237,191307
238,193976
239,196655
240,197860
241,200736
242,203532
243,206291
244,207491
245,210428
246,213287
