size,time_us
5,504
6,442
7,520
8,554
9,762
10,904
11,1114
12,1365
13,1698
14,2110
15,2507
16,2917
17,3927
18,4471
19,5133
20,5808
21,6745
22,7734
23,8661
24,9691
25,10908
26,12252
27,13537
28,14892
29,16492
30,18290
31,20095
32,21859
33,24001
34,26265
35,28541
36,30781
37,33457
38,36238
39,39120
40,41909
41,45259
42,48564
43,52092
44,55480
45,59430
46,63504
47,67702
48,71759
49,76516
50,81258
51,86197
52,90955
53,96424
54,102043
55,107778
56,113326
57,119690
58,126132
59,132764
60,139139
61,146370
62,153776
63,161331
64,168611
65,176880
66,185232
67,193778
68,201966
69,211261
70,220619
71,230252
72,239511
73,249942
74,260393
75,271118
76,281408
77,292975
78,304636
79,316531
80,327975
81,340775
82,353653
83,366740
84,379377
85,393449
86,407617
87,422069
88,435933
89,451391
90,466916
91,482712
92,497834
93,514695
94,531624
95,548844
96,565378
97,523300
98,539443
99,555867
100,572086
101,589529
102,607135
103,624984
104,642589
105,661565
106,680568
107,699939
108,718963
109,739434
110,759984
111,780843
