size,time_us
5,349
6,277
7,221
8,329
9,269
10,310
11,348
12,392
13,444
14,579
15,602
16,652
17,1046
18,1063
19,1154
20,1247
21,1383
22,1587
23,1762
24,1825
25,2029
26,2246
27,2452
28,2580
29,2836
30,3105
31,3409
32,3552
33,3906
34,4231
35,4587
36,4783
37,5165
38,5599
39,6018
40,6237
41,6749
42,7269
43,7800
44,8020
45,8635
46,9234
47,9861
48,10231
49,10890
50,11598
51,12336
52,12639
53,13476
54,14293
55,15134
56,15510
57,16481
58,17418
59,18374
60,18821
61,19892
62,20961
63,22037
64,22524
65,23790
66,25003
67,26235
68,26761
69,28144
70,29488
71,30883
72,31466
73,33050
74,34529
75,36088
76,36754
77,38459
78,40136
79,41825
80,42553
81,44477
82,46295
83,48189
84,48960
85,51063
86,53087
87,55147
88,56010
89,58311
90,60493
91,62770
92,63713
93,66184
94,68569
95,71024
96,72031
97,74732
98,77336
99,80012
100,81093
101,83984
102,86819
103,89673
104,90880
105,94033
106,97056
107,100142
108,101424
109,104797
110,108074
111,111386
112,112721
113,116376
114,119901
115,123437
116,124889
117,128783
118,132515
119,136326
120,137874
121,142037
122,146025
123,150106
124,151755
125,156172
126,160440
127,164756
128,163513
129,168109
130,172527
131,177023
132,178880
133,183748
134,188425
135,193186
136,195178
137,200305
138,205266
139,210290
140,212403
141,217818
142,223085
143,228411
144,230649
