X,Y,time_us
6,5,214
7,5,136
7,6,134
8,5,126
8,6,140
8,7,167
9,5,130
9,6,184
9,7,187
9,8,217
10,5,147
10,6,177
10,7,208
10,8,241
10,9,281
11,5,156
11,6,180
11,7,271
11,8,266
11,9,339
11,10,351
12,5,169
12,6,198
12,7,253
12,8,287
12,9,347
12,10,386
12,11,471
13,5,171
13,6,219
13,7,266
13,8,321
13,9,381
13,10,435
13,11,496
13,12,560
14,5,183
14,6,239
14,7,280
14,8,343
14,9,412
14,10,473
14,11,542
14,12,627
14,13,679
15,5,202
15,6,247
15,7,302
15,8,357
15,9,445
15,10,550
15,11,585
15,12,659
15,13,743
15,14,812
16,5,203
16,6,287
16,7,320
16,8,399
16,9,479
16,10,552
16,11,636
16,12,709
16,13,791
16,14,877
16,15,964
17,5,243
17,6,280
17,7,365
17,8,467
17,9,515
17,10,580
17,11,664
17,12,756
17,13,855
17,14,948
17,15,1044
17,16,1139
18,5,226
18,6,309
18,7,371
18,8,450
18,9,541
18,10,623
18,11,721
18,12,818
18,13,908
18,14,1010
18,15,1117
18,16,1228
18,17,1328
19,5,236
19,6,314
19,7,394
19,8,473
19,9,563
19,10,653
19,11,747
19,12,853
19,13,974
19,14,1077
19,15,1196
19,16,1309
19,17,1435
19,18,1557
20,5,248
20,6,325
20,7,407
20,8,497
20,9,598
20,10,687
20,11,800
20,12,908
20,13,1030
20,14,1143
20,15,1283
20,16,1397
20,17,1531
20,18,1655
20,19,1795
21,5,258
21,6,359
21,7,436
21,8,522
21,9,621
21,10,728
21,11,843
21,12,968
21,13,1089
21,14,1221
21,15,1349
21,16,1483
21,17,1625
21,18,1764
21,19,1907
21,20,2046
22,5,267
22,6,373
22,7,448
22,8,546
22,9,655
22,10,767
22,11,893
22,12,1017
22,13,1133
22,14,1285
22,15,1427
22,16,1567
22,17,1713
22,18,1874
22,19,2032
22,20,2180
22,21,2335
23,5,282
23,6,396
23,7,469
23,8,564
23,9,682
23,10,802
23,11,930
23,12,1066
23,13,1208
23,14,1348
23,15,1504
23,16,1659
23,17,1820
23,18,1975
23,19,2139
23,20,2302
23,21,2486
23,22,2664
24,5,292
24,6,398
24,7,492
24,8,602
24,9,711
24,10,842
24,11,965
24,12,1116
24,13,1251
24,14,1421
24,15,1584
24,16,1747
24,17,1907
24,18,2089
24,19,2263
24,20,2433
24,21,2617
24,22,2819
24,23,2980
25,5,308
25,6,414
25,7,514
25,8,624
25,9,748
25,10,873
25,11,1022
25,12,1167
25,13,1310
25,14,1499
25,15,1653
25,16,1818
25,17,2015
25,18,2192
25,19,2379
25,20,2563
25,21,2760
25,22,2966
25,23,3159
25,24,3358
26,5,335
26,6,428
26,7,529
26,8,640
26,9,778
26,10,912
26,11,1060
26,12,1210
26,13,1376
26,14,1584
26,15,1724
26,16,1915
26,17,2106
26,18,2304
26,19,2506
26,20,2697
26,21,2905
26,22,3108
26,23,3317
26,24,3544
26,25,3758
27,5,342
27,6,445
27,7,541
27,8,673
27,9,802
27,10,990
27,11,1095
27,12,1265
27,13,1443
27,14,1619
27,15,1799
27,16,1997
27,17,2200
27,18,2410
27,19,2610
27,20,2837
27,21,3047
27,22,3256
27,23,3495
27,24,3718
27,25,3962
27,26,4183
28,5,343
28,6,457
28,7,573
28,8,699
28,9,835
28,10,980
28,11,1157
28,12,1317
28,13,1482
28,14,1685
28,15,1873
28,16,2083
28,17,2300
28,18,2519
28,19,2740
28,20,2943
28,21,3204
28,22,3430
28,23,3658
28,24,3897
28,25,4155
28,26,4382
28,27,4644
29,5,357
29,6,475
29,7,590
29,8,726
29,9,861
29,10,1020
29,11,1189
29,12,1369
29,13,1554
29,14,1751
29,15,1960
29,16,2178
29,17,2388
29,18,2613
29,19,2854
29,20,3091
29,21,3327
29,22,3573
29,23,3841
29,24,4088
29,25,4338
29,26,4602
29,27,4864
29,28,5137
30,5,369
30,6,476
30,7,608
30,8,742
30,9,890
30,10,1055
30,11,1227
30,12,1423
30,13,1614
30,14,1820
30,15,2034
30,16,2258
30,17,2491
30,18,2720
30,19,2964
30,20,3212
30,21,3466
30,22,3737
30,23,3995
30,24,4276
30,25,4546
30,26,4811
30,27,5103
30,28,5371
30,29,5646
31,5,385
31,6,495
31,7,623
31,8,770
31,9,930
31,10,1094
31,11,1267
31,12,1477
31,13,1682
31,14,1896
31,15,2101
31,16,2335
31,17,2577
31,18,2835
31,19,3088
31,20,3357
31,21,3629
31,22,3891
31,23,4167
31,24,4463
31,25,4742
31,26,5036
31,27,5331
31,28,5634
31,29,5921
31,30,6224
32,5,399
32,6,508
32,7,642
32,8,796
32,9,953
32,10,1130
32,11,1317
32,12,1521
32,13,1730
32,14,1949
32,15,2181
32,16,2431
32,17,2677
32,18,2929
32,19,3198
32,20,3479
32,21,3747
32,22,4049
32,23,4350
32,24,4645
32,25,4943
32,26,5252
32,27,5555
32,28,5876
32,29,6186
32,30,6499
32,31,6814
33,5,405
33,6,517
33,7,658
33,8,808
33,9,991
33,10,1167
33,11,1367
33,12,1572
33,13,1790
33,14,2023
33,15,2267
33,16,2511
33,17,2777
33,18,3049
33,19,3323
33,20,3600
33,21,3903
33,22,4204
33,23,4504
33,24,4816
33,25,5142
33,26,5466
33,27,5789
33,28,6130
33,29,6433
33,30,6781
33,31,7112
33,32,7439
34,5,410
34,6,537
34,7,693
34,8,845
34,9,1010
34,10,1194
34,11,1415
34,12,1625
34,13,1845
34,14,2096
34,15,2331
34,16,2595
34,17,2869
34,18,3147
34,19,3436
34,20,3746
34,21,4033
34,22,4354
34,23,4670
34,24,5003
34,25,5334
34,26,5673
34,27,6015
34,28,6359
34,29,6716
34,30,7061
34,31,7415
34,32,7775
34,33,8128
35,5,431
35,6,558
35,7,705
35,8,898
35,9,1049
35,10,1238
35,11,1452
35,12,1678
35,13,1901
35,14,2160
35,15,2418
35,16,2679
35,17,2968
35,18,3257
35,19,3552
35,20,3852
35,21,4188
35,22,4510
35,23,4848
35,24,5194
35,25,5518
35,26,5890
35,27,6242
35,28,6611
35,29,6962
35,30,7346
35,31,7714
35,32,8104
35,33,8486
35,34,8859
36,5,429
36,6,562
36,7,713
36,8,887
36,9,1064
36,10,1273
36,11,1492
36,12,1723
36,13,1961
36,14,2216
36,15,2488
36,16,2769
36,17,3051
36,18,3355
36,19,3665
36,20,3998
36,21,4320
36,22,4670
36,23,5009
36,24,5372
36,25,5737
36,26,6104
36,27,6470
36,28,6856
36,29,7224
36,30,7631
36,31,8023
36,32,8409
36,33,8818
36,34,9201
36,35,9603
37,5,453
37,6,583
37,7,783
37,8,908
37,9,1106
37,10,1309
37,11,1536
37,12,1769
37,13,2012
37,14,2279
37,15,2560
37,16,2845
37,17,3147
37,18,3464
37,19,3797
37,20,4117
37,21,4468
37,22,4819
37,23,5188
37,24,5553
37,25,5933
37,26,6312
37,27,6701
37,28,7104
37,29,7507
37,30,7904
37,31,8337
37,32,8736
37,33,9136
37,34,9573
37,35,9988
37,36,10410
38,5,454
38,6,589
38,7,762
38,8,943
38,9,1122
38,10,1345
38,11,1580
38,12,1827
38,13,2081
38,14,2344
38,15,2631
38,16,2937
38,17,3241
38,18,3567
38,19,3914
38,20,4256
38,21,4623
38,22,4972
38,23,5356
38,24,5733
38,25,6133
38,26,6512
38,27,6930
38,28,7348
38,29,7790
38,30,8199
38,31,8628
38,32,9051
38,33,9484
38,34,9927
38,35,10363
38,36,10811
38,37,11255
39,5,477
39,6,616
39,7,807
39,8,960
39,9,1169
39,10,1372
39,11,1618
39,12,1879
39,13,2137
39,14,2408
39,15,2705
39,16,3019
39,17,3344
39,18,3683
39,19,4029
39,20,4385
39,21,4751
39,22,5136
39,23,5525
39,24,5908
39,25,6330
39,26,6747
39,27,7165
39,28,7590
39,29,8027
39,30,8466
39,31,8912
39,32,9376
39,33,9828
39,34,10301
39,35,10741
39,36,11232
39,37,11678
39,38,12158
40,5,479
40,6,624
40,7,787
40,8,988
40,9,1190
40,10,1426
40,11,1662
40,12,1915
40,13,2184
40,14,2468
40,15,2783
40,16,3110
40,17,3442
40,18,3788
40,19,4154
40,20,4511
40,21,4898
40,22,5295
40,23,5693
40,24,6097
40,25,6525
40,26,6944
40,27,7399
40,28,7836
40,29,8293
40,30,8739
40,31,9215
40,32,9696
40,33,10168
40,34,10642
40,35,11132
40,36,11626
40,37,12106
40,38,12612
40,39,13084
41,5,488
41,6,637
41,7,806
41,8,1018
41,9,1216
41,10,1461
41,11,1707
41,12,1969
41,13,2245
41,14,2539
41,15,2866
41,16,3193
41,17,3530
41,18,3897
41,19,4260
41,20,4647
41,21,5043
41,22,5439
41,23,5859
41,24,6288
41,25,6728
41,26,7165
41,27,7624
41,28,8095
41,29,8556
41,30,9048
41,31,9523
41,32,10028
41,33,10517
41,34,11015
41,35,11519
41,36,12009
41,37,12521
41,38,13016
41,39,13559
41,40,14072
42,5,498
42,6,645
42,7,833
42,8,1029
42,9,1245
42,10,1477
42,11,1737
42,12,2011
42,13,2305
42,14,2603
42,15,2934
42,16,3275
42,17,3625
42,18,4005
42,19,4385
42,20,4779
42,21,5170
42,22,5594
42,23,6026
42,24,6473
42,25,6920
42,26,7386
42,27,7854
42,28,8334
42,29,8834
42,30,9324
42,31,9825
42,32,10334
42,33,10857
42,34,11375
42,35,11885
42,36,12429
42,37,12948
42,38,13490
42,39,14045
42,40,14577
42,41,15107
43,5,504
43,6,663
43,7,851
43,8,1064
43,9,1287
43,10,1516
43,11,1795
43,12,2061
43,13,2368
43,14,2673
43,15,3016
43,16,3354
43,17,3725
43,18,4102
43,19,4511
43,20,4899
43,21,5323
43,22,5739
43,23,6187
43,24,6655
43,25,7108
43,26,7597
43,27,8085
43,28,8593
43,29,9094
43,30,9609
43,31,10124
43,32,10655
43,33,11187
43,34,11707
43,35,12277
43,36,12814
43,37,13365
43,38,13936
43,39,14491
43,40,15058
43,41,15609
43,42,16183
44,5,527
44,6,692
44,7,876
44,8,1085
44,9,1297
44,10,1553
44,11,1829
44,12,2114
44,13,2417
44,14,2734
44,15,3088
44,16,3433
44,17,3844
44,18,4217
44,19,4614
44,20,5035
44,21,5463
44,22,5901
44,23,6366
44,24,6833
44,25,7325
44,26,7817
44,27,8318
44,28,8808
44,29,9359
44,30,9888
44,31,10423
44,32,10973
44,33,11527
44,34,12082
44,35,12662
44,36,13214
44,37,13806
44,38,14381
44,39,14955
44,40,15539
44,41,16140
44,42,16709
44,43,17332
45,5,522
45,6,707
45,7,911
45,8,1096
45,9,1338
45,10,1599
45,11,1869
45,12,2180
45,13,2484
45,14,2814
45,15,3166
45,16,3532
45,17,3917
45,18,4314
45,19,4734
45,20,5158
45,21,5603
45,22,6058
45,23,6543
45,24,7019
45,25,7518
45,26,8029
45,27,8551
45,28,9081
45,29,9620
45,30,10152
45,31,10724
45,32,11297
45,33,11853
45,34,12444
45,35,13040
45,36,13623
45,37,14233
45,38,14835
45,39,15430
45,40,16060
45,41,16656
45,42,17290
45,43,17895
45,44,18511
46,5,537
46,6,713
46,7,915
46,8,1126
46,9,1359
46,10,1623
46,11,1914
46,12,2212
46,13,2541
46,14,2888
46,15,3230
46,16,3605
46,17,4002
46,18,4424
46,19,4826
46,20,5285
46,21,5744
46,22,6210
46,23,6721
46,24,7210
46,25,7720
46,26,8243
46,27,8776
46,28,9331
46,29,9885
46,30,10439
46,31,11025
46,32,11609
46,33,12203
46,34,12804
46,35,13404
46,36,14018
46,37,14647
46,38,15276
46,39,15893
46,40,16537
46,41,17176
46,42,17811
46,43,18460
46,44,19103
46,45,19750
47,5,600
47,6,731
47,7,916
47,8,1150
47,9,1399
47,10,1657
47,11,1962
47,12,2275
47,13,2604
47,14,2947
47,15,3310
47,16,3690
47,17,4115
47,18,4529
47,19,4956
47,20,5413
47,21,5887
47,22,6383
47,23,6874
47,24,7392
47,25,7909
47,26,8465
