X,Y,time_us
6,5,149
7,5,88
7,6,140
8,5,72
8,6,84
8,7,92
9,5,82
9,6,88
9,7,93
9,8,104
10,5,86
10,6,93
10,7,100
10,8,139
10,9,127
11,5,77
11,6,98
11,7,106
11,8,115
11,9,134
11,10,141
12,5,85
12,6,96
12,7,121
12,8,124
12,9,138
12,10,206
12,11,174
13,5,85
13,6,112
13,7,119
13,8,130
13,9,191
13,10,161
13,11,183
13,12,204
14,5,90
14,6,112
14,7,123
14,8,136
14,9,166
14,10,177
14,11,199
14,12,283
14,13,241
15,5,93
15,6,116
15,7,127
15,8,145
15,9,168
15,10,190
15,11,279
15,12,234
15,13,263
15,14,272
16,5,96
16,6,132
16,7,129
16,8,146
16,9,181
16,10,193
16,11,277
16,12,245
16,13,274
16,14,289
16,15,323
17,5,99
17,6,123
17,7,199
17,8,160
17,9,188
17,10,209
17,11,299
17,12,294
17,13,283
17,14,343
17,15,355
17,16,372
18,5,105
18,6,123
18,7,141
18,8,178
18,9,198
18,10,222
18,11,299
18,12,273
18,13,347
18,14,332
18,15,370
18,16,396
18,17,410
19,5,167
19,6,124
19,7,152
19,8,190
19,9,203
19,10,231
19,11,250
19,12,340
19,13,320
19,14,354
19,15,376
19,16,412
19,17,451
19,18,474
20,5,111
20,6,129
20,7,155
20,8,181
20,9,211
20,10,277
20,11,266
20,12,337
20,13,329
20,14,364
20,15,409
20,16,430
20,17,519
20,18,511
20,19,548
21,5,115
21,6,139
21,7,223
21,8,195
21,9,223
21,10,259
21,11,277
21,12,312
21,13,355
21,14,382
21,15,461
21,16,463
21,17,505
21,18,528
21,19,591
21,20,615
22,5,120
22,6,196
22,7,168
22,8,195
22,9,244
22,10,259
22,11,290
22,12,331
22,13,360
22,14,405
22,15,433
22,16,473
22,17,566
22,18,564
22,19,610
22,20,647
22,21,683
23,5,119
23,6,146
23,7,183
23,8,201
23,9,271
23,10,272
23,11,341
23,12,335
23,13,382
23,14,421
23,15,455
23,16,498
23,17,545
23,18,588
23,19,635
23,20,682
23,21,725
23,22,836
24,5,131
24,6,165
24,7,242
24,8,215
24,9,243
24,10,280
24,11,314
24,12,358
24,13,389
24,14,437
24,15,481
24,16,515
24,17,561
24,18,618
24,19,711
24,20,727
24,21,772
24,22,841
24,23,855
25,5,124
25,6,151
25,7,244
25,8,218
25,9,259
25,10,284
25,11,334
25,12,360
25,13,404
25,14,458
25,15,491
25,16,547
25,17,598
25,18,641
25,19,689
25,20,743
25,21,796
25,22,888
25,23,907
25,24,954
26,5,129
26,6,216
26,7,209
26,8,228
26,9,263
26,10,301
26,11,337
26,12,415
26,13,435
26,14,466
26,15,516
26,16,573
26,17,619
26,18,714
26,19,732
26,20,777
26,21,830
26,22,931
26,23,942
26,24,992
26,25,1060
27,5,192
27,6,160
27,7,204
27,8,239
27,9,266
27,10,309
27,11,357
27,12,391
27,13,437
27,14,483
27,15,576
27,16,634
27,17,650
27,18,702
27,19,748
27,20,810
27,21,877
27,22,922
27,23,984
27,24,1056
27,25,1111
27,26,1168
28,5,138
28,6,196
28,7,201
28,8,299
28,9,274
28,10,324
28,11,365
28,12,409
28,13,500
28,14,516
28,15,545
28,16,604
28,17,665
28,18,725
28,19,775
28,20,836
28,21,906
28,22,973
28,23,1023
28,24,1095
28,25,1155
28,26,1267
28,27,1286
29,5,142
29,6,187
29,7,218
29,8,255
29,9,285
29,10,330
29,11,386
29,12,419
29,13,473
29,14,528
29,15,572
29,16,632
29,17,686
29,18,747
29,19,815
29,20,876
29,21,933
29,22,1036
29,23,1067
29,24,1138
29,25,1206
29,26,1270
29,27,1348
29,28,1411
30,5,148
30,6,180
30,7,221
30,8,247
30,9,293
30,10,337
30,11,400
30,12,439
30,13,477
30,14,537
30,15,598
30,16,658
30,17,730
30,18,780
30,19,880
30,20,911
30,21,979
30,22,1044
30,23,1109
30,24,1187
30,25,1252
30,26,1381
30,27,1403
30,28,1476
30,29,1537
31,5,212
31,6,176
31,7,227
31,8,255
31,9,313
31,10,347
31,11,400
31,12,448
31,13,499
31,14,553
31,15,610
31,16,676
31,17,765
31,18,805
31,19,923
31,20,955
31,21,1016
31,22,1085
31,23,1164
31,24,1238
31,25,1303
31,26,1429
31,27,1459
31,28,1531
31,29,1594
31,30,1699
32,5,174
32,6,186
32,7,275
32,8,264
32,9,362
32,10,366
32,11,398
32,12,477
32,13,558
32,14,575
32,15,682
32,16,699
32,17,763
32,18,882
32,19,900
32,20,975
32,21,1040
32,22,1124
32,23,1209
32,24,1282
32,25,1363
32,26,1439
32,27,1508
32,28,1599
32,29,1677
32,30,1752
32,31,1894
33,5,160
33,6,226
33,7,232
33,8,298
33,9,360
33,10,369
33,11,427
33,12,478
33,13,528
33,14,592
33,15,650
33,16,711
33,17,783
33,18,867
33,19,937
33,20,1000
33,21,1082
33,22,1158
33,23,1243
33,24,1377
33,25,1405
33,26,1541
33,27,1573
33,28,1665
33,29,1739
33,30,1840
33,31,1919
33,32,1987
34,5,162
34,6,204
34,7,238
34,8,284
34,9,317
34,10,379
34,11,434
34,12,490
34,13,538
34,14,613
34,15,672
34,16,736
34,17,812
34,18,888
34,19,964
34,20,1084
34,21,1115
34,22,1197
34,23,1285
34,24,1364
34,25,1444
34,26,1547
34,27,1678
34,28,1713
34,29,1814
34,30,1912
34,31,2040
34,32,2067
34,33,2167
35,5,174
35,6,202
35,7,290
35,8,284
35,9,331
35,10,390
35,11,436
35,12,502
35,13,562
35,14,683
35,15,700
35,16,817
35,17,835
35,18,971
35,19,988
35,20,1054
35,21,1165
35,22,1237
35,23,1372
35,24,1408
35,25,1491
35,26,1591
35,27,1681
35,28,1780
35,29,1871
35,30,2020
35,31,2055
35,32,2162
35,33,2260
35,34,2356
36,5,169
36,6,203
36,7,255
36,8,292
36,9,393
36,10,396
36,11,447
36,12,512
36,13,575
36,14,643
36,15,713
36,16,784
36,17,865
36,18,945
36,19,1072
36,20,1109
36,21,1194
36,22,1270
36,23,1372
36,24,1468
36,25,1554
36,26,1650
36,27,1748
36,28,1895
36,29,1918
36,30,2043
36,31,2182
36,32,2286
36,33,2347
36,34,2434
36,35,2545
37,5,183
37,6,210
37,7,257
37,8,304
37,9,353
37,10,410
37,11,458
37,12,522
37,13,585
37,14,655
37,15,731
37,16,804
37,17,886
37,18,972
37,19,1054
37,20,1140
37,21,1224
37,22,1329
37,23,1411
37,24,1501
37,25,1590
37,26,1701
37,27,1808
37,28,1912
37,29,2013
37,30,2102
37,31,2218
37,32,2320
37,33,2419
37,34,2577
37,35,2634
37,36,2743
38,5,171
38,6,205
38,7,254
38,8,306
38,9,362
38,10,409
38,11,472
38,12,539
38,13,609
38,14,678
38,15,752
38,16,826
38,17,912
38,18,1044
38,19,1086
38,20,1226
38,21,1260
38,22,1366
38,23,1460
38,24,1553
38,25,1659
38,26,1756
38,27,1861
38,28,1966
38,29,2084
38,30,2180
38,31,2289
38,32,2437
38,33,2504
38,34,2616
38,35,2722
38,36,2833
38,37,2956
39,5,180
39,6,221
39,7,261
39,8,331
39,9,373
39,10,427
39,11,482
39,12,547
39,13,621
39,14,685
39,15,766
39,16,866
39,17,937
39,18,1076
39,19,1161
39,20,1257
39,21,1291
39,22,1397
39,23,1504
39,24,1598
39,25,1707
39,26,1815
39,27,1973
39,28,2008
39,29,2134
39,30,2238
39,31,2355
39,32,2480
39,33,2588
39,34,2717
39,35,2818
39,36,2947
39,37,3046
39,38,3177
40,5,190
40,6,220
40,7,268
40,8,328
40,9,378
40,10,456
40,11,534
40,12,568
40,13,633
40,14,705
40,15,789
40,16,873
40,17,963
40,18,1054
40,19,1135
40,20,1245
40,21,1345
40,22,1427
40,23,1573
40,24,1638
40,25,1753
40,26,1863
40,27,1981
40,28,2079
40,29,2248
40,30,2300
