X,Y,time_us
5,5,699
6,5,562
5,6,1069
6,6,699
7,5,589
5,7,1062
7,6,742
6,7,1258
7,7,1035
8,5,659
5,8,1269
8,6,1048
6,8,1484
8,7,1201
7,8,1692
8,8,1245
9,5,725
5,9,1411
9,6,1093
6,9,1574
9,7,1281
7,9,1741
9,8,1408
8,9,1961
9,9,1580
10,5,848
5,10,1498
10,6,1187
6,10,1681
10,7,1380
7,10,1918
10,8,1522
8,10,2215
10,9,1754
9,10,2432
10,10,1950
11,5,972
5,11,1611
11,6,1254
6,11,1957
11,7,1425
7,11,2045
11,8,1631
8,11,2343
11,9,1872
9,11,2581
11,10,2124
10,11,2859
11,11,2386
12,5,1023
5,12,1780
12,6,1313
6,12,1931
12,7,1541
7,12,2296
12,8,1741
8,12,2530
12,9,2025
9,12,2828
12,10,2285
10,12,3080
12,11,2557
11,12,3317
12,12,2770
13,5,1063
5,13,1795
13,6,1411
6,13,2148
13,7,1597
7,13,2533
13,8,1854
8,13,2740
13,9,2140
9,13,3090
13,10,2456
10,13,3338
13,11,2766
11,13,3595
13,12,3078
12,13,3977
13,13,3379
14,5,1074
5,14,1996
14,6,1432
6,14,2327
14,7,1684
7,14,2612
14,8,1959
8,14,2999
14,9,2288
9,14,3332
14,10,2641
10,14,3648
14,11,3023
11,14,3987
14,12,3300
12,14,4321
14,13,3674
13,14,4653
14,14,4040
15,5,1134
5,15,2088
15,6,1552
6,15,2402
15,7,1765
7,15,2805
15,8,2031
8,15,3235
15,9,2484
9,15,3600
15,10,2779
10,15,3942
15,11,3182
11,15,4353
15,12,3526
12,15,4684
15,13,3942
13,15,5072
15,14,4432
14,15,5440
15,15,4736
16,5,1154
5,16,2223
16,6,1521
6,16,2666
16,7,1844
7,16,2938
16,8,2197
8,16,3395
16,9,2556
9,16,3812
16,10,2945
10,16,4322
16,11,3343
11,16,4716
16,12,3736
12,16,5003
16,13,4232
13,16,5423
16,14,4604
14,16,5826
16,15,5068
15,16,6262
16,16,5463
17,5,1312
5,17,2337
17,6,1608
6,17,2695
17,7,1948
7,17,3157
17,8,2254
8,17,3576
17,9,2667
9,17,4039
17,10,3231
10,17,4575
17,11,3557
11,17,5001
17,12,3998
12,17,5470
17,13,4452
13,17,5880
17,14,4911
14,17,6355
17,15,5441
15,17,6795
17,16,5995
16,17,7199
17,17,6382
18,5,1271
5,18,2485
18,6,1674
6,18,2866
18,7,2028
7,18,3375
18,8,2351
8,18,3833
18,9,2815
9,18,4388
18,10,3283
10,18,4852
18,11,3734
11,18,5444
18,12,4183
12,18,5862
18,13,4719
13,18,6369
18,14,5242
14,18,6871
18,15,5804
15,18,7361
18,16,6292
16,18,7810
18,17,6864
17,18,8332
18,18,7375
19,5,1297
5,19,2622
19,6,1741
6,19,3106
19,7,2067
7,19,3553
19,8,2478
8,19,4189
19,9,2942
9,19,4695
19,10,3431
10,19,5175
19,11,3934
11,19,5709
19,12,4400
12,19,6273
19,13,4985
13,19,6921
19,14,5538
14,19,7412
19,15,6151
15,19,7987
19,16,6700
16,19,8375
19,17,7321
17,19,9032
19,18,7953
18,19,9579
19,19,8557
20,5,1355
5,20,2774
20,6,1775
6,20,3344
20,7,2198
7,20,3782
20,8,2612
8,20,4338
20,9,3109
9,20,4964
20,10,3600
10,20,5510
20,11,4165
11,20,6053
20,12,4690
12,20,6660
20,13,5302
13,20,7265
20,14,5869
14,20,7887
20,15,6508
15,20,8619
20,16,7088
16,20,9027
20,17,7779
17,20,9660
20,18,8457
18,20,10305
20,19,9140
19,20,10952
20,20,9765
21,5,1394
5,21,2907
21,6,1826
6,21,3437
21,7,2225
7,21,4003
21,8,2699
8,21,4629
21,9,3194
9,21,5247
21,10,3780
10,21,5944
21,11,4334
11,21,6489
21,12,4906
12,21,7169
21,13,5513
13,21,7852
21,14,6184
14,21,8452
21,15,6872
15,21,9129
21,16,7541
16,21,9686
21,17,8227
17,21,10410
21,18,8974
18,21,11046
21,19,9702
19,21,11743
21,20,10452
20,21,12461
21,21,11146
22,5,1445
5,22,3165
22,6,1871
6,22,3632
22,7,2344
7,22,4274
22,8,2786
8,22,4924
22,9,3370
9,22,5595
22,10,3942
10,22,6197
22,11,4539
11,22,6869
22,12,5111
12,22,7632
22,13,5814
13,22,8252
22,14,6517
14,22,8912
22,15,7241
15,22,9690
22,16,7918
16,22,10387
22,17,8688
17,22,11121
22,18,9475
18,22,11869
22,19,10288
19,22,12530
22,20,11061
20,22,13316
22,21,11879
21,22,14140
22,22,12649
23,5,1477
5,23,3336
23,6,1964
6,23,3835
23,7,2468
7,23,4483
23,8,2911
8,23,5193
23,9,3466
9,23,5892
23,10,4063
10,23,6533
23,11,4737
11,23,7238
23,12,5345
12,23,7952
23,13,6076
13,23,8730
23,14,6809
14,23,9509
23,15,7591
15,23,10252
23,16,8329
16,23,10937
23,17,9161
17,23,11817
23,18,9985
18,23,12635
23,19,10861
19,23,13426
23,20,11682
20,23,14232
23,21,12598
21,23,15078
23,22,13501
22,23,15915
23,23,14322
24,5,1506
5,24,3352
24,6,1991
6,24,3978
24,7,2510
7,24,4693
24,8,2996
8,24,5385
24,9,3618
9,24,6279
24,10,4213
10,24,6825
24,11,4907
11,24,7602
24,12,5576
12,24,8316
24,13,6325
13,24,9174
24,14,7097
14,24,9994
24,15,7955
15,24,10826
24,16,8700
16,24,11529
24,17,9566
17,24,12464
24,18,10455
18,24,13331
24,19,11358
19,24,14243
24,20,12199
20,24,15058
24,21,13196
21,24,15983
24,22,14111
22,24,16975
24,23,15060
23,24,17838
24,24,15907
25,5,1584
5,25,3522
25,6,2074
6,25,4197
25,7,2586
7,25,5051
25,8,3101
8,25,5716
25,9,3714
9,25,6559
25,10,4388
10,25,7231
25,11,5119
11,25,8024
25,12,5821
12,25,8817
25,13,6587
13,25,9687
25,14,7427
14,25,10551
25,15,8251
15,25,11450
25,16,9093
16,25,12232
25,17,10015
17,25,13172
25,18,10952
18,25,14107
25,19,11951
19,25,15042
25,20,12874
20,25,16061
25,21,13869
21,25,16980
25,22,14860
22,25,17924
25,23,15914
23,25,18956
25,24,16853
24,25,19817
25,25,17846
26,5,1621
5,26,3710
26,6,2154
6,26,4435
26,7,2670
7,26,5229
26,8,3238
8,26,6009
26,9,3847
9,26,6859
26,10,4516
10,26,7604
26,11,5316
11,26,8456
26,12,6017
12,26,9324
26,13,6842
13,26,10332
26,14,7726
14,26,11175
26,15,8622
15,26,12138
26,16,9532
16,26,12878
26,17,10487
17,26,13922
26,18,11474
18,26,14926
26,19,12509
19,26,15911
26,20,13515
20,26,16957
26,21,14550
21,26,17998
26,22,15643
22,26,19054
26,23,16726
23,26,20182
26,24,17834
24,26,21038
26,25,18870
25,26,22122
26,26,19964
27,5,1752
5,27,3870
27,6,2219
6,27,4665
27,7,2754
7,27,5490
27,8,3329
8,27,6315
27,9,4021
9,27,7188
27,10,4743
10,27,8067
27,11,5471
11,27,8868
27,12,6245
12,27,9806
27,13,7140
13,27,10740
27,14,8026
14,27,11729
27,15,8990
15,27,12748
27,16,9901
16,27,13668
27,17,10915
17,27,14706
27,18,11975
18,27,15739
27,19,13062
19,27,16797
27,20,14132
20,27,17906
27,21,15267
21,27,19007
27,22,16395
22,27,20186
27,23,17601
23,27,21314
27,24,18667
24,27,22225
27,25,19887
25,27,23436
27,26,21069
26,27,24585
27,27,22224
28,5,1694
5,28,4060
28,6,2292
6,28,4890
28,7,2864
7,28,5729
28,8,3453
8,28,6574
28,9,4245
9,28,7517
28,10,4854
10,28,8438
28,11,5682
11,28,9326
28,12,6530
12,28,10253
28,13,7431
13,28,11326
28,14,8360
14,28,12341
28,15,9364
15,28,13420
28,16,10312
16,28,14341
28,17,11377
17,28,15473
28,18,12533
18,28,16559
28,19,13612
19,28,17767
28,20,14742
20,28,18802
28,21,15964
21,28,20049
28,22,17158
22,28,21233
28,23,18367
23,28,22493
28,24,19569
24,28,23480
28,25,20937
25,28,24743
28,26,22133
26,28,25994
28,27,23396
27,28,27248
28,28,24600
29,5,1739
5,29,4238
29,6,2342
6,29,5138
29,7,2935
7,29,5995
29,8,3519
8,29,7053
29,9,4237
9,29,7903
29,10,5050
10,29,8829
29,11,5871
11,29,9793
29,12,6733
12,29,10811
29,13,7654
13,29,11923
29,14,8756
14,29,12954
29,15,9749
15,29,14096
29,16,10716
16,29,15028
29,17,11858
17,29,16351
29,18,12983
18,29,17516
29,19,14191
19,29,18610
29,20,15384
20,29,19854
29,21,16632
21,29,21056
29,22,17926
22,29,22349
29,23,19224
23,29,23653
29,24,20494
24,29,24770
29,25,21838
25,29,26128
29,26,23173
26,29,27405
29,27,24530
27,29,28767
29,28,25848
28,29,30115
29,29,27193
30,5,1770
5,30,4456
30,6,2398
6,30,5364
30,7,3018
7,30,6307
30,8,3635
8,30,7253
30,9,4421
9,30,8272
30,10,5204
10,30,9213
30,11,6095
11,30,10242
30,12,6970
12,30,11328
30,13,7949
13,30,12424
30,14,8979
14,30,13558
30,15,10087
15,30,14796
30,16,11145
16,30,15759
30,17,12313
17,30,17076
30,18,13569
18,30,18252
30,19,14755
19,30,19554
30,20,16018
20,30,20835
30,21,17336
21,30,22183
30,22,18706
22,30,23504
30,23,20058
23,30,24876
30,24,21376
24,30,26037
30,25,22809
25,30,27504
30,26,24223
26,30,28873
30,27,25679
27,30,30269
30,28,27067
28,30,31704
30,29,28557
29,30,33180
30,30,29933
31,5,1826
5,31,4681
31,6,2465
6,31,5625
31,7,3099
7,31,6600
31,8,3753
8,31,7701
31,9,4537
9,31,8671
31,10,5369
10,31,9667
31,11,6256
11,31,10728
31,12,7286
12,31,11860
31,13,8209
13,31,13029
31,14,9280
14,31,14249
31,15,10427
15,31,15475
31,16,11519
16,31,16519
31,17,12764
17,31,17871
31,18,14021
18,31,19139
31,19,15324
19,31,20500
31,20,16629
20,31,21826
31,21,18054
21,31,23324
31,22,19472
22,31,24678
31,23,20892
23,31,26097
31,24,22298
24,31,27319
31,25,23761
25,31,28896
31,26,25287
26,31,30366
31,27,26841
27,31,31833
31,28,28314
28,31,33325
31,29,29858
29,31,34929
31,30,31440
30,31,36423
31,31,32931
32,5,1868
5,32,4820
32,6,2509
6,32,5790
32,7,3146
7,32,6838
32,8,3847
8,32,7918
32,9,4643
9,32,8960
32,10,5505
10,32,10038
32,11,6442
11,32,11165
32,12,7380
12,32,12276
32,13,8455
13,32,13543
32,14,9554
14,32,14768
32,15,10701
15,32,16125
32,16,11877
16,32,17199
32,17,13158
17,32,18623
32,18,14456
18,32,20001
32,19,15805
19,32,21359
32,20,17170
20,32,22729
32,21,18610
21,32,24248
32,22,20106
22,32,25771
32,23,21589
23,32,27314
32,24,23034
24,32,28562
32,25,24638
25,32,30182
32,26,26198
26,32,31778
32,27,27785
27,32,33338
32,28,29357
28,32,34887
32,29,31010
29,32,36513
32,30,32606
30,32,38171
32,31,34248
31,32,39802
32,32,35786
33,5,1906
5,33,5054
33,6,2611
6,33,6109
33,7,3267
7,33,7136
33,8,3956
8,33,8224
33,9,4773
9,33,9354
33,10,5690
10,33,10504
33,11,6724
11,33,11677
33,12,7621
12,33,12857
33,13,8744
13,33,14144
33,14,9901
14,33,15463
33,15,11107
15,33,16856
33,16,12279
16,33,18014
33,17,13594
17,33,19447
33,18,15000
18,33,20886
33,19,16394
19,33,22374
33,20,17837
20,33,23821
33,21,19321
21,33,25356
33,22,20857
22,33,26933
33,23,22425
23,33,28634
33,24,23976
24,33,29909
33,25,25600
25,33,31689
33,26,27243
26,33,33352
33,27,28914
27,33,34903
33,28,30576
28,33,36605
33,29,32304
29,33,38300
33,30,33971
30,33,39977
33,31,35720
31,33,41739
33,32,37408
32,33,43224
33,33,39130
34,5,1962
5,34,5274
34,6,2735
6,34,6402
34,7,3324
7,34,7449
34,8,4082
8,34,8587
