X,Y,time_us
5,5,497
6,5,334
5,6,828
6,6,336
7,5,289
5,7,590
7,6,371
6,7,712
7,7,444
8,5,297
5,8,643
8,6,463
6,8,797
8,7,511
7,8,847
8,8,474
9,5,313
5,9,729
9,6,485
6,9,806
9,7,512
7,9,907
9,8,514
8,9,921
9,9,538
10,5,371
5,10,790
10,6,447
6,10,781
10,7,564
7,10,961
10,8,611
8,10,946
10,9,584
9,10,1034
10,10,627
11,5,374
5,11,716
11,6,445
6,11,835
11,7,580
7,11,974
11,8,628
8,11,921
11,9,669
9,11,1004
11,10,652
10,11,1149
11,11,701
12,5,377
5,12,818
12,6,527
6,12,823
12,7,572
7,12,919
12,8,604
8,12,957
12,9,697
9,12,1126
12,10,666
10,12,1129
12,11,748
11,12,1151
12,12,771
13,5,394
5,13,765
13,6,488
6,13,845
13,7,544
7,13,975
13,8,596
8,13,1004
13,9,692
9,13,1051
13,10,697
10,13,1205
13,11,790
11,13,1343
13,12,865
12,13,1378
13,13,926
14,5,374
5,14,781
14,6,489
6,14,925
14,7,535
7,14,935
14,8,576
8,14,1116
14,9,647
9,14,1082
14,10,711
10,14,1170
14,11,876
11,14,1288
14,12,977
12,14,1421
14,13,940
13,14,1417
14,14,1036
15,5,423
5,15,903
15,6,505
6,15,1002
15,7,627
7,15,960
15,8,629
8,15,1032
15,9,747
9,15,1211
15,10,752
10,15,1218
15,11,847
11,15,1348
15,12,966
12,15,1446
15,13,1035
13,15,1607
15,14,1063
14,15,1623
15,15,1109
16,5,392
5,16,804
16,6,500
6,16,983
16,7,556
7,16,1016
16,8,620
8,16,1038
16,9,700
9,16,1279
16,10,811
10,16,1289
16,11,982
11,16,1462
16,12,929
12,16,1567
16,13,1009
13,16,1620
16,14,1087
14,16,1672
16,15,1198
15,16,1750
16,16,1266
17,5,429
5,17,893
17,6,526
6,17,994
17,7,580
7,17,1080
17,8,642
8,17,1202
17,9,726
9,17,1193
17,10,810
10,17,1323
17,11,954
11,17,1467
17,12,1031
12,17,1500
17,13,1134
13,17,1533
17,14,1166
14,17,1712
17,15,1257
15,17,1820
17,16,1318
16,17,1936
17,17,1377
18,5,500
5,18,889
18,6,508
6,18,917
18,7,592
7,18,1019
18,8,645
8,18,1078
18,9,731
9,18,1223
18,10,805
10,18,1297
18,11,952
11,18,1464
18,12,1020
12,18,1557
18,13,1118
13,18,1789
18,14,1188
14,18,1873
18,15,1406
15,18,1869
18,16,1372
16,18,1959
18,17,1472
17,18,2095
18,18,1548
19,5,419
5,19,929
19,6,522
6,19,993
19,7,614
7,19,1090
19,8,675
8,19,1214
19,9,760
9,19,1294
19,10,882
10,19,1423
19,11,980
11,19,1552
