X,Y,time_us
66,78,187
66,39,87
40,55,74
9,86,29
12,96,43
90,48,139
39,90,112
30,32,33
31,33,38
17,26,19
36,47,56
28,45,45
73,26,63
6,14,8
59,91,170
38,58,72
94,78,233
81,56,147
74,61,145
44,30,45
5,71,18
54,99,169
64,14,32
71,99,222
74,92,216
77,64,159
68,36,82
57,96,173
65,73,151
86,100,279
61,35,75
70,70,162
8,25,11
35,36,45
52,55,92
85,32,89
73,67,156
58,14,30
21,19,19
22,44,34
88,94,266
50,45,79
17,5,14
43,16,27
57,66,126
22,43,36
79,8,25
15,84,47
5,81,17
60,55,105
45,8,17
70,11,27
68,88,195
37,67,82
64,34,71
51,79,130
43,78,106
16,71,40
55,22,42
28,72,68
67,98,209
20,77,52
62,96,189
29,47,45
14,8,9
28,56,55
92,16,50
68,86,187
32,41,47
69,39,89
24,58,49
50,95,150
23,47,44
41,65,88
15,34,20
47,38,61
85,70,190
87,18,52
36,25,33
85,69,187
88,38,109
61,29,60
100,16,55
13,77,37
23,60,48
60,15,32
87,69,190
19,68,47
32,7,12
36,36,46
6,18,7
92,97,286
28,92,89
46,17,29
68,48,113
6,21,9
8,92,26
22,51,43
90,66,195
21,66,48
6,6,5
49,85,133
62,19,42
82,70,184
87,93,260
72,18,50
63,48,105
73,37,89
29,61,60
88,19,58
100,76,242
81,25,70
49,78,130
17,53,33
12,20,13
28,52,51
59,68,130
86,56,162
5,32,10
94,20,61
40,68,88
19,44,32
16,81,45
77,97,241
31,19,29
94,78,233
33,91,104
23,60,46
52,83,145
78,40,101
36,13,18
57,32,62
96,55,169
77,33,84
71,94,217
29,10,17
81,47,126
45,33,51
48,48,77
66,25,57
61,59,118
47,84,128
93,95,284
59,40,81
34,46,54
75,16,42
26,62,57
83,33,97
83,83,223
14,53,29
93,44,132
60,95,183
67,94,200
68,65,144
50,47,77
41,78,104
12,57,26
78,23,61
86,77,211
26,57,53
83,46,124
19,26,22
58,75,140
41,37,53
39,65,82
58,95,177
89,73,205
16,31,21
15,16,13
27,64,60
75,84,201
74,16,42
73,95,218
80,54,141
44,13,25
85,63,170
18,39,28
29,36,39
5,71,20
12,96,41
15,77,41
24,85,68
15,59,32
7,44,16
29,63,61
45,62,93
96,41,126
8,58,18
89,29,83
63,76,153
85,93,257
25,70,60
74,39,96
27,76,69
36,67,81
43,71,100
20,26,22
23,9,10
19,66,45
76,5,17
75,50,127
55,53,96
34,24,30
45,80,117
75,12,33
15,15,11
67,40,86
71,72,164
15,92,48
15,27,17
89,68,199
8,35,15
8,69,26
30,5,12
85,43,123
88,43,122
78,48,120
25,18,21
67,27,62
45,27,44
97,15,49
62,30,62
60,61,118
62,56,114
18,93,58
74,20,51
47,81,121
5,63,16
25,52,45
84,78,213
65,99,207
17,64,39
9,64,24
24,88,71
9,24,11
36,81,95
82,39,106
73,65,152
82,93,249
5,64,16
76,57,141
47,10,22
11,44,18
77,93,232
20,62,47
54,9,21
79,42,108
78,34,86
47,67,104
29,64,61
9,30,14
62,80,166
49,73,115
27,16,18
8,59,19
72,53,123
72,49,116
8,41,16
78,97,245
23,41,35
57,80,147
96,10,36
24,74,60
61,27,56
47,38,61
79,70,177
74,34,83
40,10,18
46,38,60
48,66,101
15,51,30
82,29,78
6,53,14
74,17,44
38,60,77
56,7,16
94,86,262
59,51,101
56,72,133
66,61,130
92,83,246
34,98,113
66,67,147
87,23,67
43,37,55
88,37,106
68,93,206
48,29,52
78,85,211
52,29,54
66,61,131
98,11,39
93,19,59
35,42,51
34,75,84
11,8,9
85,53,143
42,8,14
57,16,34
14,44,24
68,77,166
87,65,181
26,53,49
71,91,213
89,13,45
34,31,43
55,65,117
26,17,20
57,8,20
15,55,30
73,97,230
44,85,124
92,43,128
98,33,104
20,27,23
97,80,253
19,85,58
11,96,39
69,94,210
21,7,12
40,64,86
50,50,83
6,89,22
74,56,140
56,59,108
