X,Y,time_us
25,35,21
42,188,125
70,104,115
166,177,456
118,38,70
95,184,277
23,30,13
63,122,122
147,81,188
89,155,214
84,111,145
82,43,55
180,188,525
98,169,259
68,78,84
111,29,51
180,39,113
200,98,303
195,81,247
95,57,87
196,72,220
139,21,47
173,155,416
130,154,313
123,72,139
60,135,126
128,189,376
127,90,177
97,128,196
156,44,109
107,100,169
93,92,134
189,55,161
92,20,30
190,152,449
50,140,109
134,121,255
143,186,413
37,184,108
193,171,512
171,88,234
54,185,155
107,190,318
66,166,171
98,85,130
47,108,79
107,109,187
178,110,306
36,138,79
157,71,173
40,22,16
139,93,204
121,108,203
50,114,89
114,38,68
119,53,100
147,187,428
39,150,93
129,35,71
182,75,214
89,165,229
50,86,68
190,101,301
134,67,141
58,136,122
101,92,148
83,58,76
139,166,361
63,75,77
86,52,70
107,36,61
111,129,224
132,25,53
141,178,390
130,36,73
117,173,317
31,168,83
76,139,167
183,41,117
63,161,158
181,55,154
170,116,309
60,37,36
150,186,434
41,176,113
123,117,227
130,118,240
93,194,282
118,53,100
190,24,75
25,44,18
128,187,372
105,31,51
170,35,93
196,35,107
95,93,138
153,185,440
21,146,49
144,137,308
182,153,433
