size,result,time_us
18, 165.923747, 1567
11, 4.397137, 351
60, 6.499887e+26, 32913
9, -1.064188, 266
31, -6.200364e+09, 5143
81, 2.296972e+38, 79291
36, 4.022970e+11, 7703
32, 429909959.688267, 5555
66, 4.891432e+28, 43515
79, 1.451867e+39, 73603
14, -35.169149, 568
89, -1.963672e+45, 104587
21, 3750.999638, 1964
11, 0.286283, 330
13, -13.234982, 449
51, -2.740523e+20, 20630
14, -59.259587, 571
26, 4171378.868217, 3298
86, 1.047716e+44, 94460
96, 3.127496e+49, 130531
76, 2.521559e+37, 65610
78, 2.108821e+38, 70938
49, -2.665320e+17, 18438
70, -1.019131e+32, 51660
26, -3439684.926075, 3302
72, 2.537523e+34, 55984
76, 1.242031e+36, 65626
76, -3.620062e+37, 65616
24, -852614.486861, 2639
99, -1.383921e+54, 143078
72, -1.101308e+35, 56002
83, -2.065706e+42, 85161
100, -3.621420e+54, 147265
71, -1.641446e+32, 53861
75, 1.536133e+35, 63237
26, 425668.286005, 3329
53, 1.793836e+20, 23035
23, -19680.738487, 2426
27, -61013442.222830, 3597
85, 1.242006e+43, 91283
66, 3.436548e+29, 43546
75, -1.025698e+36, 63234
83, -1.339798e+41, 85119
80, -7.632109e+39, 76267
70, -7.020044e+31, 51679
100, -8.822593e+52, 147267
54, 2.714247e+22, 24341
38, -1.412772e+11, 8990
51, 3.770332e+19, 20645
99, -1.710914e+53, 143073
94, 2.774192e+49, 122818
28, -41978232.971864, 3926
96, -1.025258e+52, 130487
56, 3.788889e+22, 26920
39, 3.646673e+13, 9663
10, -9.021794, 311
24, 58636.922861, 2599
53, 1.189529e+21, 23036
27, 2574072.336478, 3635
8, 4.041107, 198
50, 5.190077e+19, 19460
29, -176796300.155824, 4349
47, -2.343194e+15, 16321
79, 3.182730e+38, 73640
65, -2.435189e+30, 41672
95, -1.188135e+51, 126661
40, -6.479271e+13, 10286
73, 4.619441e+33, 58437
75, -4.159625e+35, 63226
53, 1.902631e+21, 23053
32, 3.121056e+09, 5572
12, 57.395729, 406
10, -1.477541, 302
32, 2.865206e+09, 5537
87, 3.397578e+44, 97747
55, -2.549033e+22, 25626
93, -7.134387e+49, 119047
18, 3261.154124, 1431
41, 2.179039e+14, 11119
56, -3.980282e+22, 26935
6, 0.765767, 147
80, 1.557810e+37, 76267
16, -160.289773, 792
71, -1.943687e+33, 53826
75, 7.825405e+35, 63249
95, 5.092138e+50, 126676
32, 922898481.102872, 5575
6, -0.733967, 137
42, -1.532811e+14, 11911
91, 1.176681e+48, 111580
60, -2.480630e+25, 32893
21, -1166.854533, 1967
20, 27580.961612, 1693
14, 20.408213, 569
60, -3.363364e+25, 32883
60, -7.801910e+24, 32890
100, 4.332277e+54, 147255
52, -2.640081e+19, 21728
92, -4.820228e+46, 115131
60, 5.435718e+23, 32895
