size,time_us
5,159
35,7338
59,31427
38,8966
6,134
92,115110
64,39653
53,23037
78,70924
98,138852
15,671
36,7656
65,41652
66,43484
49,18400
18,1357
34,6593
11,344
27,3546
57,28401
54,24265
33,6119
76,65593
5,123
42,11853
76,65584
22,2138
8,199
19,1506
30,4685
52,21709
56,26882
33,6068
23,2369
17,1219
26,3242
71,53782
22,2128
44,13460
88,100961
63,37976
14,568
31,5108
23,2366
85,91308
22,2116
37,8325
58,29868
62,36249
40,10279
59,31363
26,3248
23,2363
92,115112
57,28439
67,45462
70,51608
11,345
26,3240
98,138862
71,53812
57,28404
82,82145
69,49496
35,7132
46,15352
100,147253
80,76257
50,19494
80,76244
48,17269
88,100946
85,91276
34,6622
99,143044
90,107985
50,19465
54,24329
99,143056
61,34536
41,11083
30,4728
47,16298
48,17233
59,31385
59,31383
14,552
23,2354
53,23024
49,18403
48,17245
21,1893
77,68287
92,115093
85,91260
23,2369
69,49519
30,4707
88,100949
97,134726
49,18442
96,130507
45,14444
48,17283
78,70923
34,6614
40,10270
80,76263
56,26889
19,1536
73,58395
38,8951
35,7128
5,115
28,3883
38,8951
75,63188
87,97715
6,141
90,107990
31,5160
5,117
44,13481
37,8296
45,14417
50,19514
13,460
19,1483
79,73585
84,88039
87,97715
20,1692
99,143076
73,58404
77,68266
99,143023
28,3902
70,51663
22,2131
85,91286
27,3586
26,3248
37,8330
7,155
68,47348
65,41618
51,20597
79,73561
73,58390
52,21716
91,111583
67,45433
52,21713
93,118967
58,29886
84,88028
13,465
53,23019
99,143042
89,104543
43,12688
53,23045
58,29863
81,79260
62,36226
43,12662
76,65576
30,4709
100,147252
91,111560
44,13498
54,24310
37,8302
20,1673
9,244
42,11842
53,23034
16,779
57,28416
86,94460
74,60757
78,70895
92,115121
18,1375
53,23024
70,51646
78,70904
94,122802
24,2593
77,68251
100,147232
17,1232
58,29883
14,559
74,60776
57,28422
98,138858
97,134724
31,5144
30,4704
65,41621
32,5531
