size,result,time_us
46, -1.957080e+17, 2812
53, 6.415981e+20, 3655
18, -1309.385254, 431
10, -5.681642, 91
85, inf, 12134
14, 44.117523, 164
49, -2.686016e+20, 2927
89, -inf, 13768
16, 106.566261, 211
8, 1.846908, 65
9, -0.550268, 66
34, 3.276495e+10, 1312
53, -1.315890e+22, 3597
71, -2.550871e+33, 7653
93, -inf, 15503
92, inf, 14906
51, 2.656863e+20, 3287
91, -inf, 14755
32, -314973120.000000, 1115
8, -0.676653, 72
98, inf, 17924
89, -inf, 13733
76, -3.013281e+35, 8913
26, -650310.500000, 805
95, inf, 16525
88, -inf, 13201
81, -inf, 10658
18, 649.816284, 431
48, 1.382522e+19, 2727
81, -inf, 10710
36, -2.960968e+10, 1427
30, 29809774.000000, 1039
95, inf, 16512
93, -inf, 15449
44, 8.577910e+15, 2231
48, -1.983764e+18, 2777
54, -8.637139e+21, 3787
50, 3.727950e+19, 3142
100, -inf, 18764
67, -3.639913e+30, 6545
67, 1.141974e+30, 6596
61, -5.673850e+26, 5121
61, -2.448351e+26, 5113
72, -2.780585e+33, 7782
15, -21.453840, 191
48, -7.411660e+18, 2771
8, -0.845365, 83
94, -inf, 16043
85, -inf, 12121
90, inf, 14218
24, 3396747.250000, 608
98, -inf, 17902
46, 1.126950e+17, 2541
33, 1.832767e+10, 1250
73, -5.697125e+34, 8146
64, 2.751314e+28, 5720
84, inf, 11699
68, 4.751528e+30, 6645
98, inf, 17943
58, 1.113582e+25, 4516
16, 38.625923, 226
95, inf, 16569
25, -10687197.000000, 694
86, inf, 12570
36, 3.266025e+11, 1430
78, -2.559475e+37, 9733
47, -4.295797e+17, 2738
45, 2.574581e+18, 2419
76, -9.365845e+35, 8948
5, -0.554718, 64
34, 3.397933e+09, 1321
52, -4.143128e+20, 3384
68, 1.303459e+31, 6689
35, -2.997185e+09, 1431
35, 1.522854e+09, 1404
56, -7.920473e+21, 4074
97, -inf, 17380
27, 12179906.000000, 822
95, inf, 16521
31, 3.077392e+09, 1082
69, -1.684568e+32, 7022
32, 3.165775e+09, 1144
100, -inf, 18761
92, -inf, 14909
72, 9.351124e+32, 7728
91, -inf, 14768
48, -2.671563e+18, 2755
85, inf, 12155
77, -1.138840e+38, 9291
31, -1.212874e+09, 1137
29, 266639584.000000, 971
84, -inf, 11639
80, -inf, 10216
17, 200.827484, 351
36, 8.735586e+10, 1418
19, 30.889551, 439
18, 1615.940552, 363
18, -5699.698730, 394
96, inf, 16711
44, -8.428245e+15, 2236
84, inf, 11676
62, -4.641134e+27, 5350
77, -7.565490e+36, 9365
14, 153.429291, 167
83, -inf, 11539
46, -9.556052e+16, 2584
36, -1.030426e+12, 1474
62, -4.785491e+26, 5370
91, -inf, 14772
20, 9342.675781, 437
48, -2.710509e+19, 2725
13, 32.531918, 152
5, 0.144062, 47
40, -5.368606e+11, 1820
27, 3582001.250000, 861
82, inf, 11075
20, 438.891174, 438
85, -inf, 12107
83, -inf, 11492
61, 1.035577e+27, 5085
80, -inf, 10262
52, 3.231433e+19, 3357
50, 5.308282e+18, 3143
64, 9.426330e+28, 5719
59, -1.033377e+26, 4773
91, -inf, 14763
67, 8.124819e+29, 6546
76, 3.124416e+36, 8967
81, -inf, 10714
81, -inf, 10677
70, -9.920368e+31, 7298
19, -210.841125, 456
11, -14.417110, 104
62, 6.525601e+26, 5335
77, -6.518219e+37, 9339
15, 39.450172, 191
68, -1.555040e+31, 6681
43, -7.413510e+15, 2218
47, -2.023705e+16, 2730
49, 6.476417e+17, 2972
90, inf, 14256
74, 5.096439e+34, 8439
90, -inf, 14263
60, 6.538002e+24, 4817
70, -1.067571e+33, 7333
58, 2.438066e+24, 4538
12, 2.072736, 130
34, 1.222470e+12, 1327
91, inf, 14775
66, -8.609209e+29, 6255
9, 0.368691, 95
92, -inf, 14934
48, 1.806643e+19, 2756
63, -1.408110e+27, 5616
13, 3.198900, 149
29, -2.074914e+09, 949
39, 6.130233e+13, 1765
21, -7220.662109, 505
37, 1.239097e+12, 1508
19, -2137.559814, 447
11, 15.222133, 125
99, -inf, 18505
72, 5.495764e+33, 7739
53, 1.695558e+21, 3581
44, -2.442158e+15, 2262
18, 129.634430, 432
34, 4.491701e+10, 1277
42, -2.678039e+14, 2076
23, 317711.531250, 609
95, -inf, 16548
31, 130897120.000000, 1080
66, -7.195737e+28, 6286
72, 3.103784e+33, 7769
84, -inf, 11693
42, -3.079119e+13, 2068
11, -21.760754, 119
23, 31690.966797, 655
53, -2.297457e+21, 3526
84, inf, 11706
19, 880.670105, 419
85, -inf, 12107
97, inf, 17354
66, -1.048311e+29, 6242
60, 9.572270e+25, 4867
8, -0.200649, 80
82, inf, 11107
29, -190901440.000000, 921
29, 34317944.000000, 876
61, -1.152399e+27, 5045
20, -758.572754, 478
32, -6.330921e+09, 1076
67, 2.997593e+30, 6603
38, 2.109418e+13, 1686
87, -inf, 13088
22, -220.048279, 555
44, 2.651886e+16, 2211
68, 7.907612e+30, 6689
6, -0.484705, 58
92, -inf, 14928
32, 567747520.000000, 1115
34, -4.237996e+10, 1302
7, -0.523749, 72
55, -2.025995e+21, 3980
82, -inf, 11125
29, -34220624.000000, 934
33, 3.167456e+10, 1169
12, -0.129159, 129
45, 7.656885e+16, 2426
61, -6.844345e+27, 5107
94, -inf, 16035
30, 98011984.000000, 1016
73, 8.651450e+33, 8091
58, -1.980465e+23, 4552
81, -inf, 10717
38, -5.559633e+12, 1651
44, -1.970907e+15, 2262
22, -22.659962, 583
15, 654.987183, 183
46, -1.617313e+17, 2530
81, -inf, 10704
90, -inf, 14212
84, inf, 11649
77, -4.418803e+37, 9308
32, 1.968951e+10, 1168
72, 2.503623e+35, 7783
69, -2.931717e+32, 7012
93, inf, 15486
50, 1.325863e+20, 3111
84, inf, 11692
36, -6.458941e+10, 1431
6, -0.479154, 60
22, 59225.921875, 599
43, 1.594474e+15, 2152
27, -2924136.000000, 841
82, -inf, 11065
18, -3064.863525, 367
91, -inf, 14711
42, -6.858129e+14, 2053
91, -inf, 14770
19, -36231.710938, 413
100, -inf, 18689
48, 2.112053e+18, 2762
9, -1.252427, 90
49, -1.500334e+18, 2981
6, -1.512559, 62
44, -2.234969e+15, 2267
48, -1.355106e+18, 2785
49, -2.349217e+17, 2983
63, 6.308675e+26, 5611
86, inf, 12619
37, -6.224892e+11, 1537
72, -7.074656e+32, 7784
70, 1.703255e+33, 7358
85, -inf, 12151
60, -6.885716e+24, 4818
34, 1.336494e+11, 1347
83, inf, 11521
6, 0.124076, 54
18, 435.528351, 394
10, 7.952979, 95
49, -4.260994e+19, 2919
18, 419.706909, 417
13, 97.220581, 163
95, inf, 16540
11, 17.654905, 102
62, 6.322634e+27, 5325
80, inf, 10253
13, 6.238568, 145
21, 36633.414062, 518
99, inf, 18488
68, -7.522538e+30, 6645
56, -5.814781e+22, 4102
36, 1.212782e+12, 1483
88, -inf, 13251
58, 1.449527e+23, 4524
61, 8.327921e+26, 5124
57, -1.074516e+24, 4321
76, 2.422392e+36, 8965
71, -2.241817e+32, 7624
27, 758302.187500, 867
95, inf, 16518
39, 1.725462e+13, 1747
41, 1.198219e+14, 1970
92, -inf, 14946
43, 2.091330e+15, 2181
29, 131821312.000000, 947
48, 9.195689e+16, 2718
52, -1.359832e+20, 3388
91, -inf, 14772
59, -1.586087e+25, 4734
76, -3.916827e+35, 8968
81, -inf, 10707
9, 1.656257, 87
22, 7040.264160, 581
77, inf, 9289
63, 9.022405e+26, 5575
44, 1.314521e+15, 2280
83, inf, 11530
67, 3.440164e+31, 6543
40, -1.878646e+13, 1833
15, -61.143658, 197
7, -5.593972, 48
70, 6.102619e+32, 7326
15, -85.919281, 189
16, -158.693390, 201
41, -3.002187e+14, 1946
75, -3.286267e+37, 8840
18, -11232.909180, 421
77, -1.268551e+37, 9305
5, 0.061515, 60
89, -inf, 13780
53, 8.782321e+21, 3589
73, -9.765376e+35, 8137
92, -inf, 14950
34, 1.016387e+10, 1305
93, inf, 15484
26, 7371660.000000, 753
49, 4.299014e+18, 2930
7, -0.981492, 71
84, -inf, 11683
71, -1.814619e+34, 7614
26, -2464697.750000, 810
37, 5.776481e+10, 1506
55, -2.667987e+22, 3955
98, -inf, 17949
92, -inf, 14900
56, 6.858674e+22, 4046
45, 3.043274e+17, 2419
54, -4.220986e+22, 3783
99, -inf, 18553
11, 0.642656, 110
12, -17.410397, 114
66, -1.898071e+30, 6255
31, 1.055821e+09, 1129
52, 1.101030e+20, 3392
49, -2.170479e+19, 2966
52, 4.454181e+20, 3391
40, -3.157156e+13, 1824
76, 9.172800e+35, 8957
18, 1087.734863, 418
56, -4.808162e+21, 4031
82, -inf, 11113
23, -1821597.750000, 588
93, inf, 15440
78, -3.570071e+36, 9679
64, 8.297907e+27, 5721
50, -1.225871e+19, 3149
8, -0.324251, 84
11, 0.063747, 93
42, -3.931604e+14, 2059
15, 1152.493896, 191
38, 6.053954e+12, 1649
60, 7.443665e+24, 4865
99, inf, 18546
88, inf, 13201
66, -3.749176e+29, 6242
97, -inf, 17405
90, inf, 14226
70, -6.291360e+32, 7303
57, 3.203061e+23, 4329
7, 1.451627, 66
73, 1.589592e+34, 8138
65, -4.027489e+29, 6026
38, -1.364496e+13, 1697
64, 1.061343e+28, 5734
58, 2.501646e+23, 4546
66, -3.863457e+30, 6302
53, -8.104072e+21, 3588
80, inf, 10277
14, -183.828400, 163
22, -60028.109375, 569
30, 3.690234e+09, 962
57, -2.638830e+25, 4386
20, 10798.825195, 479
89, inf, 13730
72, -2.437041e+34, 7726
84, -inf, 11692
28, -858337.250000, 841
47, 1.608681e+18, 2664
59, -2.728432e+24, 4763
30, 1.929332e+09, 1059
49, 7.389414e+17, 2942
32, 1.376496e+09, 1146
20, 2222.845459, 463
79, 1.588194e+37, 10065
91, -inf, 14778
52, 7.812828e+20, 3350
99, -inf, 18537
85, -inf, 12089
61, 1.132258e+26, 5089
22, -41108.011719, 588
66, 2.812350e+28, 6258
50, 3.188934e+20, 3156
61, -2.924938e+27, 5105
22, 59785.644531, 583
54, 2.040008e+22, 3743
98, inf, 17961
82, inf, 11077
90, -inf, 14222
