X,Y,time_us
42,74,49
61,71,22
52,65,10
65,99,9
56,83,11
82,63,16
76,54,8
92,60,9
76,66,8
66,33,11
23,97,8
79,27,8
66,72,8
74,46,14
39,72,22
68,85,10
76,91,18
54,85,17
42,58,9
50,73,8
52,57,8
64,24,8
100,78,9
66,79,9
25,34,9
37,73,7
61,84,10
58,70,8
41,51,8
59,40,10
35,98,6
100,97,16
53,34,11
66,32,7
85,61,14
55,82,9
98,32,8
51,57,8
98,36,9
75,60,10
28,49,7
63,50,16
53,38,16
98,43,10
35,94,8
50,72,7
46,31,23
32,64,15
67,72,9
98,24,8
20,84,9
37,56,22
90,60,7
33,94,15
72,35,9
98,82,16
69,36,18
76,27,9
66,58,8
75,53,8
56,20,9
22,26,9
98,32,7
84,90,7
65,62,7
33,85,8
45,96,7
83,78,9
37,74,8
38,73,14
58,87,8
26,76,9
90,69,8
26,55,8
32,27,8
21,42,10
27,30,8
28,41,8
64,84,8
86,79,8
84,68,16
62,78,7
47,100,9
96,68,7
99,23,10
74,73,9
20,62,8
35,60,9
71,99,8
50,95,16
77,62,9
60,52,9
97,93,9
40,91,8
80,72,8
46,39,10
58,29,16
77,90,16
93,31,10
24,53,8
