X,Y,time_us
14,56,28
60,19,10
67,92,9
25,16,6
72,73,6
87,22,6
43,29,5
97,29,6
26,93,13
81,80,13
37,12,12
7,67,5
44,83,6
23,89,5
28,44,12
6,40,6
67,89,7
49,65,5
68,25,5
85,68,13
19,62,12
61,42,6
61,10,17
87,17,12
100,60,7
77,51,13
20,64,5
23,28,13
98,56,6
47,83,13
73,9,14
98,98,13
21,12,13
69,27,14
47,66,15
61,73,5
89,70,5
46,69,13
72,57,5
86,69,6
66,50,13
62,82,12
48,53,11
76,23,5
6,25,14
67,5,14
88,77,6
79,57,12
12,12,13
40,23,13
53,32,6
51,78,6
48,45,14
70,46,6
100,6,13
43,35,13
8,43,12
84,62,6
87,45,11
17,25,6
80,60,5
17,85,6
92,13,6
49,55,6
61,89,12
98,100,13
25,39,5
88,98,12
79,49,12
29,100,4
23,68,13
24,62,11
59,22,6
76,51,5
95,53,12
37,33,5
93,81,13
55,20,5
66,16,14
29,9,5
79,64,12
40,26,6
20,25,13
44,43,6
55,60,6
21,55,12
28,12,5
61,88,5
11,16,13
38,22,12
76,76,7
53,39,4
28,80,13
100,68,5
59,80,17
42,90,6
20,44,5
20,43,15
83,24,5
73,68,12
33,52,12
19,76,4
6,14,24
91,100,14
5,7,20
68,29,10
72,89,5
45,10,5
11,45,13
70,60,5
62,73,6
55,87,6
34,53,7
67,10,6
54,59,13
55,31,12
26,52,13
99,96,14
40,6,14
41,86,14
56,72,5
42,90,13
45,93,6
45,52,7
41,9,6
12,11,11
59,27,13
28,96,13
64,60,7
15,6,8
99,69,6
16,74,6
42,13,5
83,54,6
5,17,8
55,76,5
68,26,5
5,68,12
43,16,6
47,80,17
52,92,12
67,52,12
50,65,12
53,76,13
29,59,7
97,92,13
93,32,14
90,75,5
44,10,6
82,40,5
98,77,11
21,78,13
7,44,11
82,30,19
36,64,7
31,7,12
22,42,4
63,98,12
15,53,6
81,56,6
56,20,13
99,73,12
30,97,5
23,85,13
73,35,13
100,41,7
47,28,6
6,67,13
84,96,13
66,87,12
95,21,12
24,39,17
53,25,6
88,31,13
59,40,13
35,71,4
98,10,5
58,10,13
42,36,6
46,60,4
82,17,6
86,12,12
97,17,7
34,24,12
45,48,11
18,71,7
90,26,5
54,51,4
75,65,11
75,62,7
42,39,12
40,86,5
98,33,6
35,66,12
62,92,12
29,13,11
92,18,6
81,11,17
79,76,5
76,8,14
64,56,7
45,89,6
69,39,13
58,63,14
64,49,12
95,43,16
62,24,8
81,54,12
27,46,13
69,42,13
97,29,5
83,65,6
70,29,12
80,58,7
32,89,17
13,79,13
27,44,13
28,73,6
62,87,13
20,66,12
16,21,12
21,26,13
96,34,6
46,17,5
18,25,5
94,93,13
17,63,12
85,24,13
62,14,13
59,64,13
11,58,6
77,5,6
55,32,12
79,20,13
9,78,13
6,92,4
11,91,10
