size,time_us
100,24
100,12
100,3
100,2
100,1
100,1
100,12
100,1
100,1
100,2
100,13
100,1
100,1
100,2
100,2
100,2
100,1
100,1
100,2
100,1
100,13
100,1
100,2
100,1
100,13
100,1
100,2
100,1
100,1
100,1
100,11
100,1
100,2
100,1
100,1
100,1
100,1
100,2
100,2
100,1
100,2
100,1
100,1
100,2
100,1
100,1
100,1
100,1
100,1
100,2
100,1
100,2
100,14
100,1
100,2
100,1
100,1
100,1
100,2
100,1
100,1
100,2
100,2
100,2
100,1
100,1
100,13
100,1
100,1
100,1
100,1
100,12
100,1
100,2
100,1
100,12
100,2
100,1
100,13
100,11
100,2
100,1
100,11
100,1
100,1
100,12
100,1
100,2
100,14
100,12
100,2
100,2
100,13
100,1
100,1
100,1
100,14
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,2
100,2
100,12
100,1
100,2
100,2
100,2
100,1
100,2
100,1
100,1
100,1
100,12
100,2
100,1
100,1
100,1
100,1
100,1
100,1
100,2
100,1
100,2
100,13
100,1
100,1
100,1
100,2
100,1
100,1
100,1
100,2
100,1
100,2
100,1
100,1
100,2
100,2
100,2
100,12
100,1
100,2
100,1
100,1
100,1
100,2
100,13
100,1
100,2
100,2
100,13
100,2
100,13
100,1
100,13
100,1
100,2
100,12
100,1
100,1
100,1
100,1
100,2
100,2
100,1
100,2
100,13
100,2
100,1
100,1
100,1
100,13
100,14
100,12
100,1
100,2
100,1
100,2
100,13
100,1
100,1
100,1
100,2
100,12
100,1
100,1
100,1
100,2
100,1
100,3
100,1
100,1
100,13
100,2
100,1
100,1
100,2
100,1
100,13
100,2
100,14
100,13
100,2
100,2
100,2
100,1
100,2
100,12
100,13
100,1
100,1
100,2
100,1
100,1
100,2
100,1
100,12
100,1
100,2
100,1
100,1
100,13
100,2
100,11
100,5
100,2
100,13
100,2
100,1
100,2
100,1
100,12
100,2
100,1
100,1
100,1
100,13
100,1
100,2
100,1
100,2
100,2
100,1
100,13
100,2
100,2
100,2
100,1
100,1
100,1
100,1
100,13
100,1
100,1
100,1
100,1
100,12
100,13
100,14
100,2
100,13
100,1
100,2
100,2
100,1
100,1
100,2
100,1
100,1
100,1
100,2
100,1
100,1
100,14
100,2
100,1
100,2
100,11
100,13
100,2
100,1
100,12
100,1
100,2
100,1
100,2
100,2
100,1
100,2
100,1
100,14
100,11
100,13
100,13
100,1
100,2
100,12
100,13
100,12
100,1
100,1
100,1
100,12
100,1
100,1
100,2
100,1
100,12
100,1
100,1
100,1
100,13
100,2
100,1
100,2
100,1
100,1
100,1
100,1
100,1
100,2
100,2
100,1
100,1
100,1
100,1
100,12
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,2
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,2
100,1
100,1
100,2
100,1
100,1
100,2
100,11
100,2
100,12
100,1
100,2
100,1
100,1
100,14
100,1
100,2
100,1
100,2
100,1
100,2
100,1
100,1
100,1
100,2
100,2
100,2
100,13
100,13
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,2
100,13
100,1
100,2
100,1
100,1
100,2
100,1
100,1
100,2
100,1
100,12
100,1
100,1
100,1
100,2
100,1
100,2
100,1
100,2
100,2
100,1
100,12
100,2
100,1
100,1
100,1
100,1
100,12
100,1
100,2
100,12
100,1
100,1
100,2
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,13
100,2
100,13
100,1
100,2
100,1
100,1
100,1
100,2
100,12
100,1
100,1
100,1
100,1
100,1
100,1
100,2
100,14
100,13
100,1
100,1
100,1
100,2
100,1
100,1
100,1
100,1
100,1
100,1
100,12
100,2
100,2
100,13
100,2
100,2
100,12
100,1
100,13
100,13
100,13
100,1
100,1
100,2
100,1
100,1
100,1
100,1
100,2
100,1
100,2
100,1
100,2
100,1
100,1
100,2
100,1
100,12
100,2
100,12
100,1
100,12
100,2
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,13
100,1
100,1
100,1
100,13
100,1
100,1
100,1
100,1
100,2
100,13
100,1
100,2
100,1
100,1
100,1
100,1
100,1
100,1
100,2
100,1
100,1
100,1
100,1
100,2
100,14
100,13
100,1
100,1
100,2
100,1
100,12
100,1
100,2
100,2
100,14
100,1
100,2
100,1
100,1
100,1
100,1
100,1
100,2
100,1
100,1
100,1
100,1
100,13
100,1
100,1
100,13
100,1
100,1
100,2
100,2
100,1
100,1
100,1
100,13
100,1
100,1
100,1
100,2
100,2
100,1
100,1
100,1
100,1
100,12
100,1
100,12
100,1
100,13
100,1
100,13
100,1
100,1
100,12
100,1
100,2
100,2
100,1
100,1
100,1
100,2
100,14
100,2
100,2
100,13
100,2
100,1
100,1
100,1
100,1
100,2
100,1
100,1
100,2
100,1
100,12
100,2
100,1
100,13
100,2
100,2
100,2
100,2
100,1
100,2
100,2
100,1
100,2
100,12
100,1
100,1
100,13
100,1
100,1
100,1
100,2
100,2
100,1
100,1
100,1
100,1
100,1
100,2
100,13
100,2
100,1
100,1
100,1
100,2
100,1
100,1
100,1
100,1
100,1
100,1
100,12
100,1
100,2
100,2
100,1
100,13
100,1
100,1
100,2
100,13
100,2
100,12
100,1
100,11
100,2
100,1
100,1
100,2
100,13
100,12
100,2
100,1
100,1
100,1
100,2
100,1
100,1
100,2
100,1
100,1
100,1
100,11
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,2
100,1
100,2
100,2
100,13
100,2
100,1
100,1
100,1
100,1
100,13
100,1
100,1
100,1
100,1
100,2
100,1
100,1
100,11
100,1
100,2
100,12
100,1
100,1
100,2
100,13
100,1
100,1
100,1
100,1
100,12
100,1
100,2
100,2
100,2
100,13
100,1
100,2
100,1
100,12
100,1
100,1
100,13
100,2
100,1
100,12
100,2
100,1
100,2
100,1
100,1
100,2
100,2
100,1
100,1
100,1
100,1
100,13
100,1
100,1
100,1
100,13
100,11
100,1
100,1
100,2
100,1
100,11
100,1
100,14
100,14
100,13
100,1
100,2
100,2
100,12
100,1
100,1
100,2
100,1
100,1
100,2
100,1
100,1
100,1
100,2
100,2
100,1
100,1
100,12
100,1
100,1
100,1
100,1
100,2
100,12
100,13
100,1
100,1
100,1
100,1
100,1
100,2
100,1
100,1
100,1
100,1
100,1
100,2
100,1
100,12
100,1
100,1
100,2
100,1
100,2
100,1
100,12
100,1
100,12
100,1
100,1
100,2
100,2
100,2
100,1
100,1
100,2
100,13
100,1
100,1
100,2
100,12
100,1
100,2
100,1
100,1
100,2
100,1
100,1
100,2
100,2
100,13
100,1
100,1
100,1
100,1
100,1
100,1
100,2
100,1
100,12
100,1
100,2
100,2
100,1
100,1
100,2
100,1
100,12
100,13
100,2
100,1
100,1
100,13
100,1
100,2
100,12
100,1
100,2
100,1
100,1
100,13
100,5
100,1
100,2
100,2
100,2
100,2
100,12
100,1
100,1
100,2
100,2
100,1
100,2
100,2
100,2
100,2
100,12
100,1
100,1
100,12
100,1
100,1
100,1
100,12
100,1
100,1
100,2
100,2
100,1
100,12
100,1
100,1
100,1
100,13
100,13
100,1
100,12
100,1
100,2
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,2
100,1
100,1
100,1
100,2
100,1
100,1
100,1
100,1
100,2
100,12
100,1
100,1
100,2
100,1
100,2
100,1
100,1
100,2
100,1
100,1
100,2
100,1
100,2
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,12
100,1
100,1
100,11
100,2
100,2
100,1
100,11
100,2
100,1
100,2
100,1
100,1
100,2
100,14
100,13
100,2
100,2
100,1
100,2
100,2
100,13
100,2
100,11
100,2
100,12
100,1
100,2
100,13
100,1
100,2
100,2
100,1
100,12
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,12
100,13
100,12
100,13
100,1
100,1
100,1
100,1
100,2
100,2
100,2
100,2
100,1
100,12
100,2
100,2
100,2
100,2
100,12
100,1
100,1
100,1
100,13
100,1
100,2
100,1
100,1
100,1
100,1
