SOURCE:
[0, 0, 0, 0]
[0, 0, 0, 0]
[0, 0, 0, 0]
[0, 0, 0, 0]
TIME:
1
rows/cols,time_us
5,0
7,1
9,1
11,0
13,2
15,0
17,1
19,0
21,0
23,1
25,3
27,1
29,1
31,1
33,1
35,2
37,1
39,0
41,3
43,1
45,1
47,3
49,1
51,1
53,2
55,1
57,2
59,1
61,2
63,0
65,2
67,1
69,2
71,0
73,2
75,0
77,2
79,0
81,3
83,2
85,0
87,2
89,2
91,1
93,3
95,5
97,2
99,1
101,2
103,2
105,2
107,3
109,1
111,2
113,2
115,2
117,2
119,2
121,3
123,3
125,2
127,5
129,5
131,4
133,4
135,5
137,5
139,5
141,5
143,5
145,5
147,5
149,5
151,5
153,5
155,5
157,5
159,5
161,10
163,5
165,4
167,6
169,5
171,5
173,5
175,5
177,4
179,4
181,5
183,5
185,4
187,4
189,5
191,4
193,5
195,4
197,5
199,5
201,5
203,5
205,5
207,5
209,5
211,5
213,4
215,5
217,5
219,5
221,4
223,12
225,5
227,5
229,4
231,5
233,5
235,5
237,4
239,5
241,4
243,5
245,5
247,4
249,5
251,4
253,4
255,4
257,5
259,5
261,5
263,5
265,5
267,5
269,5
271,6
273,5
275,5
277,5
279,5
281,5
283,5
285,12
287,5
289,5
291,5
293,4
295,6
297,5
299,5
301,5
303,5
305,4
307,4
309,5
311,5
313,5
315,5
317,5
319,6
321,4
323,5
325,5
327,6
329,5
331,6
333,5
335,5
337,6
339,6
341,5
343,6
345,5
347,13
349,5
351,5
353,5
355,5
357,5
359,6
361,5
363,6
365,6
367,5
369,5
371,5
373,5
375,6
377,5
379,5
381,6
383,5
385,5
387,5
389,5
391,5
393,6
395,6
397,6
399,6
401,5
403,5
405,6
407,5
409,13
411,6
413,5
415,6
417,5
419,5
421,5
423,6
425,5
427,6
429,5
431,5
433,6
435,6
437,5
439,6
441,5
443,5
445,6
447,5
449,6
451,6
453,6
455,9
457,5
459,5
461,5
463,5
465,6
467,6
469,5
471,13
473,6
475,5
477,6
479,6
481,5
483,5
485,5
487,9
489,5
491,5
493,6
495,5
497,6
499,5
EOF
