SOURCE:
[0, 0, 0, 0]
[0, 0, 0, 0]
[0, 0, 0, 0]
[0, 0, 0, 0]
TIME:
1
rows/cols,time_us
5,1
7,0
9,1
11,1
13,0
15,1
17,3
19,1
21,1
23,1
25,0
27,1
29,1
31,1
33,1
35,2
37,1
39,1
41,0
43,1
45,1
47,2
49,1
51,1
53,1
55,1
57,2
59,1
61,1
63,1
65,3
67,1
69,1
71,0
73,3
75,0
77,1
79,1
81,2
83,0
85,1
87,2
89,0
91,1
93,2
95,1
97,2
99,1
101,1
103,2
105,1
107,3
109,1
111,0
113,3
115,1
117,3
119,1
121,6
123,1
125,2
127,1
129,2
131,1
133,3
135,1
137,3
139,1
141,2
143,0
145,2
147,0
149,2
151,3
153,1
155,2
157,1
159,2
161,3
163,1
165,3
167,2
169,1
171,3
173,2
175,1
177,2
179,5
181,1
183,7
185,5
187,4
189,4
191,3
193,2
195,3
197,1
199,3
201,2
203,2
205,0
207,3
209,15
211,3
213,8
215,3
217,0
219,3
221,3
223,3
225,3
227,3
229,3
231,2
233,1
235,2
237,2
239,3
241,3
243,2
245,2
247,3
249,2
251,3
253,2
255,2
257,3
259,3
261,2
263,5
265,4
267,3
269,5
271,3
273,5
275,4
277,4
279,10
281,5
283,4
285,4
287,4
289,4
291,4
293,4
295,4
297,4
299,4
301,4
303,4
305,4
307,5
309,4
311,4
313,4
315,4
317,4
319,4
321,4
323,5
325,4
327,4
329,4
331,4
333,4
335,4
337,4
339,5
341,13
343,4
345,4
347,4
349,4
351,4
353,4
355,4
357,4
359,4
361,4
363,4
365,4
367,4
369,4
371,4
373,4
375,4
377,4
379,4
381,4
383,4
385,5
387,5
389,4
391,4
393,4
395,4
397,5
399,4
401,5
403,13
405,5
407,4
409,4
411,4
413,4
415,4
417,5
419,5
421,6
423,5
425,5
427,5
429,5
431,5
433,79
435,6
437,5
439,5
441,6
443,5
445,5
447,5
449,5
451,5
453,6
455,5
457,5
459,5
461,5
463,5
465,14
467,5
469,5
471,5
473,5
475,5
477,5
479,5
481,5
483,5
485,5
487,5
489,5
491,5
493,5
495,5
497,5
499,5
EOF
