SOURCE:
[                    0,                     0,                     0,                     0]
[                    0,                     0,                     0, 6.61013079161172e-310]
[                    0,                     0,                     0, 4.24399158193054e-314]
[                    0,                     0,                     0, 6.61013078694928e-310]
TIME:
1
rows/cols,time_us
5,1
7,1
9,1
11,0
13,1
15,1
17,0
19,1
21,1
23,1
25,1
27,1
29,1
31,1
33,1
35,1
37,0
39,0
41,1
43,1
45,0
47,1
49,0
51,1
53,1
55,1
57,1
59,1
61,1
63,1
65,1
67,1
69,1
71,1
73,1
75,2
77,2
79,2
81,2
83,2
85,1
87,1
89,2
91,2
93,2
95,1
97,1
99,2
101,2
103,1
105,2
EOF
