SOURCE:
[           0,  1.78833e-14,     0.744133,    4.103e-42]
[           0,     4.47e-41,  4.59135e-41,            0]
[-2.86318e-34,  2.27192e-14,   2.2866e-14,  1.81391e-14]
[           0,     4.47e-41,     4.47e-41,     4.47e-41]
TIME:
1
rows/cols,time_us
5,1
7,1
9,1
11,1
13,0
15,1
17,1
19,1
21,1
23,1
25,1
27,1
29,1
31,0
33,1
35,1
37,1
39,0
41,1
43,1
45,1
47,1
49,1
51,1
53,1
55,1
57,1
59,1
61,1
63,1
65,1
67,1
69,1
71,1
73,1
75,0
77,0
79,1
81,2
83,1
85,1
87,1
89,1
91,2
93,2
95,1
97,2
99,2
101,2
103,2
105,2
107,2
109,2
111,2
113,2
115,2
117,1
119,2
121,2
123,2
125,1
127,2
129,2
131,2
133,2
135,2
137,2
139,2
141,2
143,3
145,2
147,2
149,2
EOF
