SOURCE:
[  0.680375434309419,   0.823294715873569,  -0.444450578393624,  -0.270431054416313]
[ -0.211234146361814,  -0.604897261413232,   0.107939911590861,   0.026801820391231]
[  0.566198447517212,  -0.329554488570222, -0.0452058962756795,   0.904459450349426]
[  0.596880066952147,   0.536459189623808,   0.257741849523849,   0.832390136007401]
COPY:
[  0.680375434309419,   0.823294715873569,  -0.444450578393624,  -0.270431054416313]
[ -0.211234146361814,  -0.604897261413232,   0.107939911590861,   0.026801820391231]
[  0.566198447517212,  -0.329554488570222, -0.0452058962756795,   0.904459450349426]
[  0.596880066952147,   0.536459189623808,   0.257741849523849,   0.832390136007401]
TIME:
1
rows/cols,time_us
5,0
7,0
9,3
11,0
13,2
15,0
17,1
19,0
21,2
23,1
25,1
27,2
29,1
31,3
33,1
35,3
37,1
39,3
41,3
43,1
45,3
47,3
49,1
51,3
53,3
55,3
57,3
59,3
61,3
63,3
65,3
67,3
69,3
71,4
73,4
75,4
77,4
79,4
81,9
83,4
85,4
87,6
89,7
91,5
93,8
95,9
97,12
99,13
101,23
103,16
105,20
107,29
109,23
111,32
113,28
115,37
117,31
119,42
121,44
123,45
125,47
127,50
129,59
131,67
133,56
135,62
137,58
139,66
141,62
143,78
145,65
147,67
149,68
151,73
153,74
155,88
157,79
159,77
161,80
163,112
165,82
167,87
169,89
171,92
173,92
175,95
177,95
179,99
181,113
183,103
185,108
187,116
189,114
191,120
193,110
195,125
197,123
199,209
201,127
203,127
205,146
207,134
209,134
211,139
213,197
215,202
217,149
219,155
221,159
223,156
225,160
227,171
229,167
231,161
233,173
235,167
237,173
239,176
241,186
243,183
245,188
247,186
249,193
EOF
