SOURCE:
[  0.680375,   0.823295,  -0.444451,  -0.270431]
[ -0.211234,  -0.604897,    0.10794,  0.0268018]
[  0.566198,  -0.329554, -0.0452059,   0.904459]
[   0.59688,   0.536459,   0.257742,    0.83239]
COPY:
[  0.680375,   0.823295,  -0.444451,  -0.270431]
[ -0.211234,  -0.604897,    0.10794,  0.0268018]
[  0.566198,  -0.329554, -0.0452059,   0.904459]
[   0.59688,   0.536459,   0.257742,    0.83239]
TIME:
0
rows/cols,time_us
5,0
7,1
9,1
11,1
13,4
15,1
17,3
19,1
21,0
23,1
25,1
27,2
29,1
31,1
33,1
35,1
37,3
39,1
41,1
43,3
45,1
47,1
49,3
51,1
53,3
55,1
57,1
59,2
61,1
63,3
65,2
67,3
69,1
71,3
73,1
75,3
77,3
79,1
81,2
83,3
85,2
87,4
89,3
91,2
93,4
95,4
97,1
99,4
101,3
103,3
105,3
107,2
109,3
111,6
113,5
115,4
117,4
119,5
121,6
123,5
125,9
127,6
129,8
131,9
133,11
135,10
137,11
139,19
141,13
143,16
145,17
147,25
149,18
151,34
153,30
155,24
157,33
159,26
161,36
163,36
165,32
167,41
169,42
171,42
173,44
175,41
177,50
179,52
181,54
183,64
185,53
187,55
189,57
191,64
193,65
195,64
197,65
199,74
201,77
203,77
205,82
207,69
209,72
211,71
213,70
215,71
217,69
219,71
221,73
223,86
225,78
227,84
229,82
231,83
233,81
235,83
237,82
239,87
241,89
243,86
245,92
247,92
249,94
EOF
