SOURCE:
[  0.680375434309419,   0.823294715873569,  -0.444450578393624,  -0.270431054416313]
[ -0.211234146361814,  -0.604897261413232,   0.107939911590861,   0.026801820391231]
[  0.566198447517212,  -0.329554488570222, -0.0452058962756795,   0.904459450349426]
[  0.596880066952147,   0.536459189623808,   0.257741849523849,   0.832390136007401]
DETERMINANT:
0.0966315
TIME:
3
rows/cols,time_us
5,1
7,1
9,4
11,2
13,4
15,3
17,9
19,4
21,5
23,5
25,5
27,8
29,6
31,9
33,51
35,13
37,9
39,11
41,12
43,12
45,14
47,15
49,14
51,18
53,18
55,20
57,21
59,24
61,24
63,27
65,42
67,29
69,51
71,34
73,36
75,39
77,40
79,43
81,44
83,49
85,68
87,54
89,57
91,59
93,70
95,72
97,82
99,84
101,86
103,98
105,106
107,113
109,118
111,149
113,136
115,137
117,196
119,158
121,160
123,166
125,181
127,255
129,277
131,212
133,209
135,222
137,236
139,249
141,235
143,246
145,355
147,297
149,275
151,291
153,285
155,306
157,297
159,366
161,330
163,336
165,355
167,358
169,384
171,420
173,381
175,402
177,414
179,425
181,426
183,464
185,465
187,478
189,483
191,502
193,523
195,535
197,540
199,555
201,566
203,694
205,631
207,617
209,630
211,648
213,657
215,670
217,715
219,702
221,701
223,743
225,757
227,793
229,783
231,813
233,826
235,958
237,872
239,879
241,910
243,927
245,928
247,953
249,990
251,1000
253,1014
255,1059
257,1092
259,1066
261,1095
263,1104
265,1122
267,1154
269,1167
271,1206
273,1216
275,1256
277,1286
279,1304
281,1315
283,1342
285,1361
287,1381
289,1399
291,1434
293,1502
295,1512
297,1548
299,1637
301,1571
303,1638
305,1672
307,1726
309,1694
311,1738
313,1759
315,1799
317,1808
319,1851
321,1855
323,1901
325,1905
327,1956
329,1964
331,2031
333,2031
335,2100
337,2099
339,2183
341,2246
343,2258
345,2282
347,2302
349,2381
351,2361
353,2392
355,2451
357,2440
359,2574
361,2518
363,2588
365,2648
367,2684
369,2711
371,2813
373,2771
375,2829
377,2864
379,2885
381,2934
383,3013
385,3040
387,3069
389,3096
391,3133
393,3176
395,3218
397,3245
399,3293
401,3311
403,3382
405,3404
407,3495
409,3550
411,3592
413,3590
415,3644
417,3692
419,3823
421,3838
423,3894
425,3882
427,3984
429,3968
431,4078
433,4091
435,4150
437,4183
439,4281
441,4271
443,4356
445,4383
447,4467
449,4491
451,4561
453,4610
455,4709
457,4741
459,4827
461,4885
463,4959
465,4945
467,5033
469,5080
471,5149
473,5191
475,5297
477,5290
479,5392
481,5459
483,5615
485,5499
487,5716
489,5781
491,5829
493,5964
495,6027
497,6124
499,6093
EOF
