SOURCE:
[  0.680375,   0.823295,  -0.444451,  -0.270431]
[ -0.211234,  -0.604897,    0.10794,  0.0268018]
[  0.566198,  -0.329554, -0.0452059,   0.904459]
[   0.59688,   0.536459,   0.257742,    0.83239]
DETERMINANT:
0.0966315
TIME:
3
rows/cols,time_us
5,2
7,2
9,2
11,2
13,2
15,2
17,10
19,4
21,5
23,5
25,7
27,6
29,8
31,6
33,7
35,7
37,10
39,9
41,9
43,12
45,11
47,11
49,14
51,13
53,13
55,17
57,15
59,19
61,30
63,83
65,28
67,24
69,23
71,27
73,24
75,29
77,28
79,32
81,32
83,32
85,36
87,54
89,37
91,42
93,44
95,44
97,47
99,51
101,53
103,56
105,56
107,65
109,74
111,68
113,67
115,71
117,73
119,87
121,76
123,81
125,85
127,88
129,90
131,111
133,101
135,122
137,118
139,122
141,131
143,128
145,148
147,157
149,152
151,193
153,170
155,186
157,186
159,207
161,193
163,195
165,223
167,239
169,225
171,258
173,223
175,254
177,231
179,243
181,264
183,280
185,283
187,281
189,274
191,314
193,322
195,363
197,384
199,336
201,337
203,344
205,386
207,351
209,368
211,371
213,405
215,474
217,402
219,405
221,420
223,430
225,441
227,451
229,465
231,513
233,476
235,472
237,491
239,505
241,515
243,517
245,526
247,542
249,556
251,562
253,588
255,590
257,595
259,604
261,618
263,633
265,634
267,634
269,647
271,683
273,687
275,688
277,702
279,745
281,725
283,740
285,767
287,785
289,779
291,794
293,815
295,842
297,826
299,852
301,867
303,898
305,898
307,928
309,926
311,960
313,949
315,990
317,995
319,1013
321,1010
323,1032
325,1052
327,1076
329,1079
331,1114
333,1146
335,1150
337,1193
339,1187
341,1364
343,1250
345,1233
347,1262
349,1285
351,1304
353,1318
355,1346
357,1353
359,1384
361,1396
363,1395
365,1427
367,1463
369,1467
371,1494
373,1501
375,1551
377,1550
379,1588
381,1606
383,1649
385,1641
387,1671
389,1669
391,1721
393,1709
395,1757
397,1740
399,1782
401,1796
403,1826
405,1865
407,1888
409,1933
411,1943
413,1956
415,1999
417,1991
419,2036
421,2052
423,2095
425,2100
427,2149
429,2162
431,2192
433,2211
435,2224
437,2280
439,2378
441,2293
443,2382
445,2354
447,2447
449,2446
451,2475
453,2499
455,2599
457,2547
459,2576
461,2626
463,2701
465,2720
467,2742
469,2781
471,2784
473,2787
475,2836
477,3092
479,2889
481,2901
483,2955
485,3014
487,3075
489,3054
491,3080
493,3157
495,3220
497,3201
499,3248
EOF
