SOURCE:
[  0.680375434309419,   0.823294715873569,  -0.444450578393624,  -0.270431054416313]
[ -0.211234146361814,  -0.604897261413232,   0.107939911590861,   0.026801820391231]
[  0.566198447517212,  -0.329554488570222, -0.0452058962756795,   0.904459450349426]
[  0.596880066952147,   0.536459189623808,   0.257741849523849,   0.832390136007401]
DETERMINANT:
0.0966315
TIME:
1
rows/cols,time_us
5,2
7,2
9,2
11,2
13,3
15,3
17,11
19,7
21,17
23,9
25,10
27,7
29,10
31,8
33,12
35,10
37,13
39,14
41,13
43,16
45,16
47,18
49,16
51,20
53,21
55,23
57,24
59,26
61,26
63,29
65,30
67,33
69,34
71,37
73,50
75,44
77,42
79,46
81,47
83,53
85,60
87,57
89,62
91,63
93,76
95,69
97,73
99,75
EOF
