SOURCE:
[  0.680375,   0.823295,  -0.444451,  -0.270431]
[ -0.211234,  -0.604897,    0.10794,  0.0268018]
[  0.566198,  -0.329554, -0.0452059,   0.904459]
[   0.59688,   0.536459,   0.257742,    0.83239]
DETERMINANT:
0.0966315
TIME:
1
rows/cols,time_us
5,2
7,2
9,2
11,3
13,4
15,4
17,11
19,8
21,6
23,9
25,8
27,8
29,9
31,14
33,9
35,9
37,10
39,22
41,11
43,12
45,16
47,15
49,17
51,15
53,19
55,18
57,20
59,23
61,21
63,27
65,26
67,29
69,28
71,31
73,31
75,31
77,34
79,36
81,35
83,40
85,39
87,43
89,42
91,47
93,46
95,54
97,52
99,54
101,58
103,58
105,61
107,64
109,69
111,70
113,71
115,83
117,78
119,82
121,81
123,90
125,94
127,96
129,99
131,101
133,116
135,115
137,109
139,115
141,123
143,125
145,130
147,130
149,139
EOF
