SOURCE:
[  0.680375434309419,   0.823294715873569,  -0.444450578393624,  -0.270431054416313]
[ -0.211234146361814,  -0.604897261413232,   0.107939911590861,   0.026801820391231]
[  0.566198447517212,  -0.329554488570222, -0.0452058962756795,   0.904459450349426]
[  0.596880066952147,   0.536459189623808,   0.257741849523849,   0.832390136007401]
COMPUTABLE:
1
VALUES:
[   (0.754819282532636,0.527518329534158)]
[  (0.754819282532636,-0.527518329534158)]
[ (-0.323488076218682,0.0964570605944974)]
[(-0.323488076218682,-0.0964570605944974)]
VECTORS:
[ (-0.263706158235175,-0.587225576487531),   (-0.263706158235175,0.587225576487531),   (-0.15146250847843,-0.167124906015385),    (-0.15146250847843,0.167124906015385)]
[  (0.0472753269666779,0.107740260177228),  (0.0472753269666779,-0.107740260177228),  (-0.150821666924333,0.0971032478961311), (-0.150821666924333,-0.0971032478961311)]
[  (-0.365618271131961,0.320579440716387),  (-0.365618271131961,-0.320579440716387),  (-0.858173469775235,-0.238971797973864),   (-0.858173469775235,0.238971797973864)]
[  (-0.328069478492401,0.477184223870653),  (-0.328069478492401,-0.477184223870653),     (0.329388764603808,0.12200809665267),    (0.329388764603808,-0.12200809665267)]
TIME:
21
rows/cols,time_us,computable
5,9,1
7,9,1
9,15,1
11,22,1
13,31,1
15,43,1
17,53,1
19,61,1
21,76,1
23,88,1
25,110,1
27,126,1
29,178,1
31,179,1
33,222,1
35,248,1
37,313,1
39,333,1
41,412,1
43,422,1
45,447,1
47,512,1
49,545,1
51,634,1
53,689,1
55,804,1
57,827,1
59,967,1
61,1079,1
63,1071,1
65,1233,1
67,1356,1
69,1482,1
71,1493,1
73,1686,1
75,1809,1
77,1930,1
79,2001,1
81,2200,1
83,2328,1
85,2516,1
87,2704,1
89,2854,1
91,3063,1
93,3253,1
95,3504,1
97,3726,1
99,3942,1
101,3947,1
103,4479,1
105,4499,1
107,4933,1
109,5320,1
111,5069,1
113,5558,1
115,5934,1
117,6392,1
119,6941,1
121,7142,1
123,7351,1
125,7482,1
127,8501,1
129,8557,1
131,8799,1
133,8955,1
135,9326,1
137,9645,1
139,10583,1
141,10605,1
143,11503,1
145,12015,1
147,12148,1
149,13093,1
151,13500,1
153,14405,1
155,14210,1
157,14504,1
159,15408,1
161,16307,1
163,16734,1
165,17503,1
167,16907,1
169,17939,1
171,21550,1
173,18965,1
175,19537,1
177,20670,1
179,21245,1
181,21743,1
183,23438,1
185,23653,1
187,24566,1
189,25691,1
191,25180,1
193,27420,1
195,28990,1
197,30088,1
199,29711,1
201,29307,1
203,31843,1
205,34889,1
207,31665,1
209,32885,1
211,34263,1
213,35796,1
215,36581,1
217,36596,1
219,38786,1
221,39212,1
223,40759,1
225,42812,1
227,44090,1
229,45196,1
231,44903,1
233,46878,1
235,47210,1
237,47300,1
239,53351,1
241,53929,1
243,55144,1
245,55875,1
247,60941,1
249,58865,1
EOF
