SOURCE:
[  0.680375,   0.823295,  -0.444451,  -0.270431]
[ -0.211234,  -0.604897,    0.10794,  0.0268018]
[  0.566198,  -0.329554, -0.0452059,   0.904459]
[   0.59688,   0.536459,   0.257742,    0.83239]
COMPUTABLE:
1
VALUES:
[   (0.754819,0.527518)]
[  (0.754819,-0.527518)]
[ (-0.323488,0.0964574)]
[(-0.323488,-0.0964574)]
VECTORS:
[   (0.624677,0.155412),   (0.624677,-0.155412),  (-0.224545,0.0212416), (-0.224545,-0.0212416)]
[ (-0.113927,-0.029385),   (-0.113927,0.029385),  (-0.0125337,0.178939), (-0.0125337,-0.178939)]
[(-0.0262156,-0.485552),  (-0.0262156,0.485552),   (-0.705242,0.544245),  (-0.705242,-0.544245)]
[ (-0.172559,-0.552773),   (-0.172559,0.552773),   (0.294946,-0.190762),    (0.294946,0.190762)]
TIME:
19
rows/cols,time_us,computable
5,10,1
7,14,1
9,19,1
11,30,1
13,49,1
15,79,1
17,77,1
19,84,1
21,102,1
23,121,1
25,122,1
27,154,1
29,187,1
31,205,1
33,252,1
35,269,1
37,316,1
39,359,1
41,421,1
43,441,1
45,451,1
47,717,1
49,792,1
51,746,1
53,699,1
55,780,1
57,854,1
59,931,1
61,989,1
63,1075,1
65,1116,1
67,1264,1
69,1317,1
71,1519,1
73,1454,1
75,1626,1
77,1644,1
79,1808,1
81,1877,1
83,2012,1
85,2218,1
87,2271,1
89,2391,1
91,2583,1
93,2759,1
95,2906,1
97,3010,1
99,3355,1
101,3268,1
103,3659,1
105,3403,1
107,3906,1
109,4082,1
111,4162,1
113,4495,1
115,4781,1
117,4809,1
119,5170,1
121,5224,1
123,5560,1
125,6041,1
127,6131,1
129,6587,1
131,6903,1
133,6817,1
135,6731,1
137,7401,1
139,7820,1
141,8035,1
143,9089,1
145,8620,1
147,8836,1
149,9663,1
151,9872,1
153,10234,1
155,10389,1
157,11319,1
159,11980,1
161,11388,1
163,11110,1
165,12120,1
167,13180,1
169,13343,1
171,14361,1
173,12957,1
175,13921,1
177,15292,1
179,14975,1
181,15594,1
183,15677,1
185,16668,1
187,16194,1
189,17489,1
191,18491,1
193,16609,1
195,19043,1
197,20068,1
199,19400,1
201,20588,1
203,21522,1
205,28757,1
207,20788,1
209,20872,1
211,24673,1
213,25604,1
215,26159,1
217,24245,1
219,24075,1
221,27115,1
223,27669,1
225,27851,1
227,29902,1
229,29606,1
231,27324,1
233,31379,1
235,32634,1
237,32640,1
239,33555,1
241,37402,1
243,33576,1
245,34407,1
247,41464,1
249,36342,1
EOF
