SOURCE:
[  0.680375,   0.823295,  -0.444451,  -0.270431]
[ -0.211234,  -0.604897,    0.10794,  0.0268018]
[  0.566198,  -0.329554, -0.0452059,   0.904459]
[   0.59688,   0.536459,   0.257742,    0.83239]
INVERSE:
[    2.5264,    5.63028,   -1.07698,    1.80973]
[ -0.716383,   -2.70554, -0.0343515,  -0.108302]
[   1.36996,     6.1642,   -2.70536,     3.1862]
[   -1.7741,   -4.20231,     1.6321,   -1.01311]
TIME:
6
rows/cols,time_us
5,2
7,3
9,4
11,5
13,10
15,10
17,14
19,7
21,11
23,10
25,12
27,13
29,14
31,16
33,20
35,23
37,19
39,22
41,23
43,27
45,29
47,33
49,32
51,34
53,39
55,44
57,43
59,48
61,60
63,67
65,66
67,65
69,66
71,73
73,72
75,80
77,110
79,94
81,106
83,108
85,111
87,123
89,117
91,130
93,141
95,144
97,171
99,168
101,195
103,196
105,215
107,215
109,230
111,240
113,256
115,284
117,292
119,322
121,287
123,308
125,332
127,339
129,466
131,504
133,650
135,544
137,445
139,452
141,545
143,480
145,477
147,514
149,519
151,537
153,554
155,573
157,584
159,613
161,625
163,656
165,683
167,706
169,677
171,712
173,728
175,755
177,753
179,785
181,998
183,886
185,875
187,907
189,921
191,1128
193,972
195,1012
197,1015
199,1065
201,1060
203,1103
205,1211
207,1143
209,1309
211,1174
213,1262
215,1311
217,1289
219,1294
221,1301
223,1344
225,1366
227,1400
229,1425
231,1478
233,1555
235,1547
237,1633
239,1680
241,1705
243,1749
245,1782
247,1850
249,1833
251,1887
253,1930
255,2025
257,1996
259,2053
261,2133
263,2196
265,2207
267,2238
269,2279
271,2320
273,2361
275,2414
277,2469
279,2556
281,2557
283,2649
285,2696
287,2734
289,2735
291,2808
293,2882
295,2985
297,2948
299,3001
301,3054
303,3131
305,3136
307,3251
309,3307
311,3355
313,3343
315,3475
317,3492
319,3586
321,3672
323,3755
325,3804
327,3965
329,3928
331,4024
333,4087
335,4250
337,4043
339,4286
341,4519
343,4398
345,4261
347,4339
349,4420
351,4537
353,4506
355,4669
357,4685
359,4858
361,4770
363,4910
365,4987
367,5074
369,5064
371,5237
373,5476
375,5638
377,5559
379,5589
381,5594
383,5742
385,5722
387,5832
389,5911
391,6017
393,6140
395,6150
397,6261
399,6348
401,6347
403,6497
405,6598
407,6770
409,6799
411,6962
413,6942
415,7130
417,7029
419,7220
421,7246
423,7424
425,7375
427,7943
429,7784
431,7941
433,8057
435,8121
437,8101
439,8373
441,8223
443,8395
445,8473
447,8681
449,8655
451,8811
453,8895
455,9237
457,9158
459,9333
461,9330
463,9645
465,9869
467,10025
469,9962
471,9995
473,9959
475,10159
477,10279
479,10561
481,10665
483,11233
485,11022
487,11035
489,10900
491,11218
493,11270
495,11954
497,11569
499,11649
EOF
