SOURCE:
[  0.680375,   0.823295,  -0.444451,  -0.270431]
[ -0.211234,  -0.604897,    0.10794,  0.0268018]
[  0.566198,  -0.329554, -0.0452059,   0.904459]
[   0.59688,   0.536459,   0.257742,    0.83239]
INVERSE:
[    2.5264,    5.63028,   -1.07698,    1.80973]
[ -0.716383,   -2.70554, -0.0343515,  -0.108302]
[   1.36996,     6.1642,   -2.70536,     3.1862]
[   -1.7741,   -4.20231,     1.6321,   -1.01311]
TIME:
8
rows/cols,time_us
5,2
7,3
9,4
11,4
13,9
15,10
17,16
19,9
21,11
23,10
25,15
27,19
29,20
31,27
33,17
35,22
37,22
39,29
41,27
43,29
45,35
47,37
49,38
51,40
53,47
55,48
57,48
59,57
61,62
63,65
65,88
67,70
69,74
71,84
73,81
75,86
77,106
79,95
81,103
83,111
85,114
87,122
89,119
91,129
93,142
95,143
97,190
99,227
101,212
103,199
105,198
107,229
109,217
111,242
113,234
115,261
117,267
119,295
121,285
123,364
125,326
127,346
129,615
131,632
133,382
135,412
137,413
139,424
141,458
143,472
145,485
147,512
149,509
151,552
153,580
155,571
157,589
159,626
161,756
163,658
165,684
167,718
169,684
171,731
173,730
175,786
177,755
179,789
181,829
183,908
185,881
187,925
189,926
191,985
193,963
195,1012
197,1024
199,1092
201,1081
203,1127
205,1233
207,1161
209,1157
211,1195
213,1267
215,1331
217,1289
219,1291
221,1312
223,1347
225,1366
227,1422
229,1426
231,1496
233,1574
235,1578
237,1659
239,1695
241,1704
243,1751
245,1778
247,1846
249,1861
251,1917
253,1970
255,2081
257,2027
259,2069
261,2235
263,2205
265,2216
267,2297
269,2288
271,2354
273,2361
275,2393
277,2451
279,2599
281,2564
283,2750
285,2655
287,2746
289,2769
291,2804
293,2914
295,2971
297,2985
299,3049
301,3068
303,3179
305,3142
307,3296
309,3328
311,3360
313,3385
315,3536
317,3506
319,3620
321,3658
323,3827
325,3872
327,3923
329,3890
331,4046
333,4064
335,4236
337,3976
339,4106
341,4482
343,4322
345,4338
347,4474
349,4466
351,4766
353,4602
355,4836
357,4748
359,5075
361,4912
363,5069
365,5039
367,5297
369,5256
371,5449
373,5371
375,5606
377,5596
379,5688
381,5736
383,5937
385,5901
387,5933
389,6107
391,6241
393,6327
395,6498
397,6407
399,6457
401,6409
403,6506
405,6602
407,6756
409,6781
411,7459
413,7200
415,7600
417,7593
419,7599
421,7720
423,7824
425,8177
427,8089
429,8112
431,8413
433,8331
435,8458
437,8554
439,8845
441,8713
443,8948
445,8975
447,9228
449,9115
451,9290
453,9396
455,9680
457,9463
459,9761
461,9831
463,10092
465,9971
467,10272
469,10294
471,10685
473,10472
475,10861
477,10868
479,11068
481,10992
483,11349
485,11315
487,11735
489,11741
491,11979
493,11913
495,12101
497,11986
499,12217
EOF
