SOURCE:
[  0.680375434309419,   0.823294715873569,  -0.444450578393624,  -0.270431054416313]
[ -0.211234146361814,  -0.604897261413232,   0.107939911590861,   0.026801820391231]
[  0.566198447517212,  -0.329554488570222, -0.0452058962756795,   0.904459450349426]
[  0.596880066952147,   0.536459189623808,   0.257741849523849,   0.832390136007401]
TEMP:
[  1.41139419262422, -0.696949243726797, -0.110595090485705,  0.508108894618963]
[-0.696949243726797,  0.422889923544959, 0.0991078011819174,  -0.40045394271485]
[-0.110595090485705, 0.0991078011819174,   1.24927731329215,  0.902371706961066]
[ 0.508108894618963,  -0.40045394271485,  0.902371706961066,   1.40335847597503]
LLT:
[   1.18802112465403,  -0.696949243726797,  -0.110595090485705,   0.508108894618963]
[ -0.586647180983219,   0.280597591916612,  0.0991078011819174,   -0.40045394271485]
[-0.0930918551788481,   0.158574870385813,    1.10248139679254,   0.902371706961066]
[  0.427693484631373,  -0.532965249664041,    0.93126413313269,   0.262929488970077]
TIME:
3
rows,cols,time_us
5,5,0
7,5,1
5,7,1
7,7,0
9,5,1
5,9,1
9,7,1
7,9,1
9,9,1
11,5,1
5,11,1
11,7,1
7,11,1
11,9,1
9,11,0
11,11,2
13,5,1
5,13,1
13,7,1
7,13,1
13,9,1
9,13,1
13,11,1
11,13,1
13,13,1
15,7,0
7,15,1
15,9,0
9,15,1
15,11,1
11,15,1
15,13,1
13,15,1
15,15,2
17,7,1
7,17,1
17,9,1
9,17,1
17,11,1
11,17,1
17,13,2
13,17,1
17,15,1
15,17,1
17,17,1
19,7,1
7,19,2
19,9,1
9,19,1
19,11,1
11,19,1
19,13,1
13,19,2
19,15,1
15,19,2
19,17,2
17,19,2
19,19,2
21,9,1
9,21,2
21,11,1
11,21,2
21,13,1
13,21,2
21,15,1
15,21,2
21,17,2
17,21,2
21,19,2
19,21,2
21,21,2
23,9,1
9,23,2
23,11,1
11,23,2
23,13,1
13,23,2
23,15,1
15,23,2
23,17,2
17,23,2
23,19,2
19,23,2
23,21,2
21,23,2
23,23,2
25,9,1
9,25,2
25,11,1
11,25,2
25,13,1
13,25,2
25,15,1
15,25,2
25,17,1
17,25,2
25,19,2
19,25,2
25,21,2
21,25,2
25,23,2
23,25,2
25,25,2
27,11,1
11,27,3
27,13,2
13,27,2
27,15,1
15,27,2
27,17,1
17,27,2
27,19,1
19,27,2
27,21,2
21,27,2
27,23,2
23,27,3
27,25,3
25,27,3
27,27,3
29,11,1
11,29,3
29,13,1
13,29,2
29,15,1
15,29,2
29,17,2
17,29,2
29,19,1
19,29,2
29,21,2
21,29,2
29,23,2
23,29,2
29,25,2
25,29,3
29,27,2
27,29,3
29,29,3
31,11,1
11,31,3
31,13,2
13,31,3
31,15,2
15,31,2
31,17,2
17,31,3
31,19,2
19,31,2
31,21,2
21,31,3
31,23,2
23,31,3
31,25,2
25,31,3
31,27,3
27,31,3
31,29,3
29,31,3
31,31,3
33,13,1
13,33,7
33,15,1
15,33,5
33,17,2
17,33,4
33,19,2
19,33,5
33,21,2
21,33,5
33,23,2
23,33,5
33,25,2
25,33,5
33,27,3
27,33,5
33,29,3
29,33,5
33,31,3
31,33,5
33,33,6
35,13,2
13,35,5
35,15,2
15,35,4
35,17,2
17,35,5
35,19,2
19,35,5
35,21,2
21,35,5
35,23,2
23,35,5
35,25,3
25,35,6
35,27,3
27,35,6
35,29,3
29,35,5
35,31,3
31,35,6
35,33,6
33,35,6
35,35,6
37,13,1
13,37,5
37,15,2
15,37,5
37,17,2
17,37,4
37,19,2
19,37,5
37,21,2
21,37,5
37,23,2
23,37,6
37,25,3
25,37,5
37,27,3
27,37,6
37,29,3
29,37,6
37,31,3
31,37,6
37,33,5
33,37,6
37,35,7
35,37,6
37,37,6
39,15,1
15,39,6
39,17,2
17,39,5
39,19,1
19,39,5
39,21,2
21,39,5
39,23,2
23,39,7
39,25,2
25,39,6
39,27,3
27,39,6
39,29,3
29,39,6
39,31,4
31,39,6
39,33,6
33,39,7
39,35,6
35,39,7
39,37,6
37,39,7
39,39,7
41,15,2
15,41,6
41,17,2
17,41,5
41,19,2
19,41,5
41,21,2
21,41,5
41,23,2
23,41,6
41,25,2
25,41,9
41,27,3
27,41,6
41,29,4
29,41,6
41,31,4
31,41,7
41,33,5
33,41,7
41,35,7
35,41,7
41,37,6
37,41,7
41,39,7
39,41,8
41,41,7
43,17,2
17,43,6
43,19,2
19,43,6
43,21,3
21,43,6
43,23,1
23,43,5
43,25,3
25,43,7
43,27,3
27,43,7
43,29,3
29,43,7
43,31,4
31,43,7
43,33,8
33,43,8
43,35,6
35,43,8
43,37,7
37,43,8
43,39,8
39,43,8
43,41,8
41,43,8
43,43,18
45,17,3
17,45,7
45,19,2
19,45,6
45,21,3
21,45,6
45,23,2
23,45,6
45,25,2
25,45,7
45,27,3
27,45,7
45,29,3
29,45,7
45,31,4
31,45,7
45,33,6
33,45,8
45,35,6
35,45,8
45,37,6
37,45,7
45,39,7
39,45,8
45,41,8
41,45,9
45,43,8
43,45,8
45,45,8
47,17,2
17,47,7
47,19,2
19,47,7
47,21,2
21,47,7
47,23,2
23,47,7
47,25,3
25,47,8
47,27,3
27,47,8
47,29,3
29,47,8
47,31,3
31,47,9
47,33,5
33,47,8
47,35,6
35,47,9
47,37,6
37,47,9
47,39,7
39,47,9
47,41,7
41,47,9
47,43,8
43,47,9
47,45,8
45,47,9
47,47,9
49,19,2
19,49,7
49,21,2
21,49,7
49,23,2
23,49,6
49,25,2
25,49,8
49,27,3
27,49,8
49,29,3
29,49,8
49,31,3
31,49,8
49,33,5
33,49,8
49,35,6
35,49,9
49,37,6
37,49,9
49,39,14
39,49,9
49,41,7
41,49,9
49,43,9
43,49,9
49,45,9
45,49,10
49,47,9
47,49,10
49,49,10
51,19,2
19,51,8
51,21,2
21,51,7
51,23,2
23,51,9
51,25,3
25,51,8
51,27,3
27,51,8
51,29,3
29,51,9
51,31,4
31,51,9
51,33,6
33,51,9
51,35,6
35,51,9
51,37,7
37,51,9
51,39,7
39,51,10
51,41,8
41,51,10
51,43,7
43,51,10
51,45,9
45,51,10
51,47,10
47,51,11
51,49,10
49,51,11
51,51,11
53,19,2
19,53,8
53,21,2
21,53,8
53,23,3
23,53,9
53,25,3
25,53,9
53,27,3
27,53,9
53,29,3
29,53,8
53,31,3
31,53,9
53,33,5
33,53,10
53,35,6
35,53,10
53,37,6
37,53,10
53,39,7
39,53,11
53,41,8
41,53,10
53,43,8
43,53,10
53,45,8
45,53,11
53,47,10
47,53,11
53,49,10
49,53,11
53,51,11
51,53,11
53,53,11
55,21,2
21,55,9
55,23,2
23,55,10
55,25,2
25,55,10
55,27,3
27,55,9
55,29,3
29,55,9
55,31,3
31,55,10
55,33,5
33,55,11
55,35,6
35,55,11
55,37,12
37,55,10
55,39,8
39,55,11
55,41,8
41,55,12
55,43,9
43,55,12
55,45,9
45,55,12
55,47,9
47,55,12
55,49,10
49,55,12
55,51,11
51,55,12
55,53,11
53,55,12
55,55,12
57,21,2
21,57,9
57,23,2
23,57,10
57,25,3
25,57,10
57,27,3
27,57,16
57,29,3
29,57,10
57,31,4
31,57,16
57,33,6
33,57,10
57,35,6
35,57,11
57,37,8
37,57,18
57,39,12
39,57,14
57,41,8
41,57,11
57,43,9
43,57,12
57,45,9
45,57,12
57,47,10
47,57,12
57,49,9
49,57,12
57,51,11
51,57,12
57,53,12
53,57,12
57,55,13
55,57,12
57,57,12
59,21,3
21,59,9
59,23,2
23,59,11
59,25,2
25,59,10
59,27,3
27,59,10
59,29,4
29,59,11
59,31,3
31,59,11
59,33,5
33,59,12
59,35,6
35,59,12
59,37,6
37,59,12
59,39,8
39,59,13
59,41,8
41,59,13
59,43,9
43,59,13
59,45,8
45,59,13
59,47,10
47,59,13
59,49,10
49,59,13
59,51,10
51,59,13
59,53,11
53,59,14
59,55,13
55,59,14
59,57,13
57,59,14
59,59,14
61,23,2
23,61,12
61,25,3
25,61,17
61,27,5
27,61,15
61,29,5
29,61,13
61,31,5
31,61,13
61,33,7
33,61,15
61,35,8
35,61,15
61,37,8
37,61,15
61,39,9
39,61,14
61,41,9
41,61,15
61,43,10
43,61,16
61,45,10
45,61,16
61,47,10
47,61,13
61,49,10
49,61,14
61,51,11
51,61,14
61,53,12
53,61,14
61,55,13
55,61,15
61,57,14
57,61,15
61,59,15
59,61,15
61,61,14
63,23,3
23,63,12
63,25,3
25,63,21
63,27,4
27,63,11
63,29,4
