SOURCE:
[  0.680375,   0.823295,  -0.444451,  -0.270431]
[ -0.211234,  -0.604897,    0.10794,  0.0268018]
[  0.566198,  -0.329554, -0.0452059,   0.904459]
[   0.59688,   0.536459,   0.257742,    0.83239]
TEMP:
[  1.41139, -0.696949, -0.110595,  0.508109]
[-0.696949,   0.42289, 0.0991078, -0.400454]
[-0.110595, 0.0991078,   1.24928,  0.902372]
[ 0.508109, -0.400454,  0.902372,   1.40336]
LLT:
[   1.18802,  -0.696949,  -0.110595,   0.508109]
[ -0.586647,   0.280598,  0.0991078,  -0.400454]
[-0.0930919,   0.158575,    1.10248,   0.902372]
[  0.427694,  -0.532965,   0.931264,   0.262929]
TIME:
2
rows,cols,time_us
5,5,2
7,5,1
5,7,0
7,7,1
9,5,1
5,9,2
9,7,1
7,9,1
9,9,1
11,5,1
5,11,1
11,7,1
7,11,2
11,9,1
9,11,2
11,11,1
13,5,1
5,13,1
13,7,1
7,13,1
13,9,1
9,13,1
13,11,1
11,13,1
13,13,1
15,7,1
7,15,2
15,9,1
9,15,2
15,11,1
11,15,2
15,13,2
13,15,2
15,15,1
17,7,2
7,17,2
17,9,1
9,17,2
17,11,1
11,17,1
17,13,2
13,17,2
17,15,2
15,17,2
17,17,1
19,7,1
7,19,2
19,9,1
9,19,1
19,11,2
11,19,2
19,13,1
13,19,2
19,15,2
15,19,2
19,17,2
17,19,2
19,19,2
21,9,1
9,21,2
21,11,1
11,21,2
21,13,2
13,21,2
21,15,2
15,21,2
21,17,1
17,21,2
21,19,2
19,21,2
21,21,2
23,9,1
9,23,2
23,11,1
11,23,2
23,13,1
13,23,2
23,15,2
15,23,2
23,17,2
17,23,2
23,19,2
19,23,2
23,21,11
21,23,3
23,23,2
25,9,0
9,25,3
25,11,1
11,25,2
25,13,2
13,25,2
25,15,2
15,25,2
25,17,1
17,25,2
25,19,2
19,25,2
25,21,1
21,25,2
25,23,2
23,25,2
25,25,2
27,11,1
11,27,3
27,13,2
13,27,2
27,15,2
15,27,2
27,17,2
17,27,2
27,19,2
19,27,2
27,21,2
21,27,2
27,23,2
23,27,2
27,25,3
25,27,3
27,27,2
29,11,1
11,29,3
29,13,1
13,29,2
29,15,1
15,29,2
29,17,2
17,29,3
29,19,2
19,29,2
29,21,2
21,29,2
29,23,2
23,29,2
29,25,2
25,29,3
29,27,2
27,29,3
29,29,2
31,11,1
11,31,3
31,13,1
13,31,2
31,15,2
15,31,2
31,17,2
17,31,2
31,19,2
19,31,2
31,21,2
21,31,2
31,23,2
23,31,2
31,25,3
25,31,3
31,27,3
27,31,3
31,29,2
29,31,3
31,31,3
33,13,1
13,33,6
33,15,2
15,33,3
33,17,2
17,33,4
33,19,2
19,33,4
33,21,2
21,33,4
33,23,2
23,33,4
33,25,2
25,33,4
33,27,2
27,33,4
33,29,3
29,33,4
33,31,2
31,33,5
33,33,6
35,13,2
13,35,10
35,15,1
15,35,3
35,17,2
17,35,4
35,19,2
19,35,4
35,21,2
21,35,3
35,23,2
23,35,5
35,25,3
25,35,5
35,27,3
27,35,5
35,29,3
29,35,5
35,31,3
31,35,5
35,33,5
33,35,6
35,35,6
37,13,1
13,37,4
37,15,2
15,37,4
37,17,2
17,37,4
37,19,2
19,37,4
37,21,2
21,37,4
37,23,2
23,37,4
37,25,2
25,37,5
37,27,3
27,37,5
37,29,3
29,37,5
37,31,3
31,37,6
37,33,5
33,37,5
37,35,6
35,37,6
37,37,5
39,15,1
15,39,5
39,17,2
17,39,5
39,19,2
19,39,5
39,21,2
21,39,5
39,23,2
23,39,5
39,25,2
25,39,6
39,27,3
27,39,6
39,29,3
29,39,6
39,31,3
31,39,6
39,33,5
33,39,6
39,35,6
35,39,6
39,37,13
37,39,6
39,39,6
41,15,2
15,41,4
41,17,1
17,41,4
41,19,2
19,41,4
41,21,2
21,41,4
41,23,2
23,41,5
41,25,2
25,41,5
41,27,2
27,41,5
41,29,3
29,41,6
41,31,3
31,41,5
41,33,5
33,41,6
41,35,5
35,41,6
41,37,6
37,41,6
41,39,6
39,41,6
41,41,6
43,17,2
17,43,6
43,19,2
19,43,5
43,21,2
21,43,5
43,23,2
23,43,6
43,25,2
25,43,6
43,27,3
27,43,6
43,29,3
29,43,6
43,31,3
31,43,6
43,33,4
33,43,7
43,35,5
35,43,6
43,37,5
37,43,7
43,39,6
39,43,6
43,41,6
41,43,7
43,43,6
45,17,1
17,45,6
45,19,2
19,45,5
45,21,2
21,45,5
45,23,2
23,45,6
45,25,2
25,45,6
45,27,2
27,45,6
45,29,3
29,45,6
45,31,3
31,45,7
45,33,5
33,45,7
45,35,5
35,45,7
45,37,5
37,45,7
45,39,6
39,45,7
45,41,6
41,45,7
45,43,7
43,45,7
45,45,7
47,17,2
17,47,6
47,19,2
19,47,5
47,21,2
21,47,6
47,23,2
23,47,6
47,25,2
25,47,6
47,27,3
27,47,6
47,29,3
29,47,7
47,31,3
31,47,8
47,33,5
33,47,7
47,35,5
35,47,8
47,37,6
37,47,7
47,39,6
39,47,9
47,41,6
41,47,8
47,43,7
43,47,8
47,45,7
45,47,8
47,47,8
49,19,2
19,49,6
49,21,3
21,49,8
49,23,3
23,49,8
49,25,3
25,49,6
49,27,4
27,49,8
49,29,11
29,49,27
49,31,3
31,49,6
49,33,5
33,49,7
49,35,6
35,49,7
49,37,6
37,49,6
49,39,7
39,49,7
49,41,6
41,49,7
49,43,8
43,49,10
49,45,8
45,49,8
49,47,9
47,49,8
49,49,7
51,19,2
19,51,7
51,21,2
21,51,6
51,23,2
23,51,7
51,25,3
25,51,7
51,27,2
27,51,7
51,29,3
29,51,6
51,31,3
31,51,7
51,33,4
33,51,8
51,35,6
35,51,8
51,37,6
37,51,8
51,39,6
39,51,8
51,41,6
41,51,8
51,43,7
43,51,9
51,45,8
45,51,9
51,47,8
47,51,8
51,49,8
49,51,8
51,51,9
53,19,2
19,53,7
53,21,2
21,53,7
53,23,2
23,53,6
53,25,2
25,53,7
53,27,2
27,53,7
53,29,5
29,53,7
53,31,3
31,53,7
53,33,4
33,53,8
53,35,5
35,53,8
53,37,6
37,53,8
53,39,6
39,53,9
53,41,6
41,53,8
53,43,7
43,53,9
53,45,8
45,53,9
