SOURCE:
[  0.680375434309419,   0.823294715873569,  -0.444450578393624,  -0.270431054416313]
[ -0.211234146361814,  -0.604897261413232,   0.107939911590861,   0.026801820391231]
[  0.566198447517212,  -0.329554488570222, -0.0452058962756795,   0.904459450349426]
[  0.596880066952147,   0.536459189623808,   0.257741849523849,   0.832390136007401]
LU:
[  0.904459450349426,   0.566198447517212,  -0.329554488570222, -0.0452058962756795]
[ -0.298997433563037,   0.849667317004441,   0.724758769571893,  -0.457967025361969]
[  0.920317804945063,  0.0892085090868664,   0.775099403873407,   0.340200196298345]
[ 0.0296329706996555,  -0.268354782870965,  -0.516887380721857,    0.16222704332329]
TIME:
2
rows,cols,time_us
5,5,1
7,5,2
5,7,1
7,7,2
9,5,0
5,9,1
9,7,1
7,9,1
9,9,2
11,5,2
5,11,1
11,7,2
7,11,2
11,9,2
9,11,2
11,11,2
13,5,1
5,13,1
13,7,2
7,13,2
13,9,2
9,13,2
13,11,2
11,13,1
13,13,2
15,7,1
7,15,2
15,9,2
9,15,2
15,11,3
11,15,2
15,13,3
13,15,4
15,15,3
17,7,2
7,17,2
17,9,2
9,17,2
17,11,2
11,17,2
17,13,2
13,17,3
17,15,2
15,17,2
17,17,3
19,7,2
7,19,2
19,9,2
9,19,2
19,11,2
11,19,2
19,13,2
13,19,3
19,15,3
15,19,3
19,17,3
17,19,4
19,19,4
21,9,2
9,21,2
21,11,2
11,21,2
21,13,3
13,21,3
21,15,3
15,21,4
21,17,3
17,21,4
21,19,4
19,21,4
21,21,35
23,9,2
9,23,2
23,11,3
11,23,2
23,13,3
13,23,3
23,15,4
15,23,4
23,17,4
17,23,4
23,19,5
19,23,5
23,21,6
21,23,5
23,23,6
25,9,3
9,25,3
25,11,3
11,25,3
25,13,3
13,25,4
25,15,4
15,25,4
25,17,5
17,25,5
25,19,5
19,25,5
25,21,6
21,25,15
25,23,6
23,25,6
25,25,7
27,11,3
11,27,3
27,13,3
13,27,4
27,15,14
15,27,4
27,17,4
17,27,5
27,19,5
19,27,6
27,21,6
21,27,6
27,23,7
23,27,7
27,25,8
25,27,7
27,27,8
29,11,3
11,29,4
29,13,4
13,29,4
29,15,4
15,29,5
29,17,5
17,29,5
29,19,6
19,29,16
29,21,6
21,29,7
29,23,7
23,29,7
29,25,8
25,29,18
29,27,9
27,29,9
29,29,9
31,11,3
11,31,4
31,13,4
13,31,4
31,15,4
15,31,5
31,17,5
17,31,5
31,19,6
19,31,6
31,21,16
21,31,7
31,23,8
23,31,18
31,25,14
25,31,9
31,27,10
27,31,10
31,29,10
29,31,10
31,31,11
33,13,4
13,33,5
33,15,14
15,33,5
33,17,5
17,33,6
33,19,7
19,33,7
33,21,7
21,33,7
33,23,7
23,33,8
33,25,9
25,33,9
33,27,25
27,33,10
33,29,11
29,33,11
33,31,11
31,33,12
33,33,13
35,13,4
13,35,4
35,15,5
15,35,5
35,17,6
17,35,7
35,19,7
19,35,7
35,21,7
21,35,8
35,23,8
23,35,9
35,25,9
25,35,10
35,27,10
27,35,11
35,29,11
29,35,12
35,31,13
31,35,12
35,33,14
33,35,14
35,35,14
37,13,5
13,37,5
37,15,5
15,37,6
37,17,6
17,37,7
37,19,7
19,37,8
37,21,8
21,37,8
37,23,8
23,37,18
37,25,10
25,37,10
37,27,11
27,37,11
37,29,12
29,37,12
37,31,13
31,37,13
37,33,14
33,37,15
37,35,15
35,37,15
37,37,16
39,15,5
15,39,6
39,17,6
17,39,6
39,19,7
19,39,7
39,21,8
21,39,9
39,23,9
23,39,10
39,25,10
25,39,11
39,27,11
27,39,12
39,29,13
29,39,13
39,31,14
31,39,14
39,33,15
33,39,15
39,35,17
35,39,16
39,37,18
37,39,18
39,39,19
41,15,6
15,41,6
41,17,7
17,41,6
41,19,7
19,41,8
41,21,8
21,41,9
41,23,9
23,41,10
41,25,11
25,41,12
41,27,18
27,41,13
41,29,13
29,41,14
41,31,15
31,41,16
41,33,17
33,41,17
41,35,18
35,41,18
41,37,19
37,41,20
41,39,21
39,41,22
41,41,23
43,17,7
17,43,8
43,19,8
19,43,9
43,21,9
21,43,10
43,23,10
23,43,11
43,25,11
25,43,12
43,27,13
27,43,13
43,29,14
29,43,15
43,31,16
31,43,17
43,33,19
33,43,25
43,35,19
35,43,20
43,37,21
37,43,21
43,39,22
39,43,23
43,41,32
41,43,24
43,43,25
45,17,7
17,45,8
45,19,8
19,45,8
45,21,9
21,45,10
45,23,11
23,45,11
45,25,11
25,45,12
45,27,13
27,45,14
45,29,15
29,45,15
45,31,16
31,45,17
45,33,18
33,45,18
45,35,19
35,45,20
45,37,21
37,45,21
45,39,23
39,45,23
45,41,24
41,45,25
45,43,26
43,45,26
45,45,28
47,17,8
17,47,8
47,19,8
19,47,9
47,21,10
21,47,11
47,23,47
23,47,12
47,25,12
25,47,13
47,27,14
27,47,13
47,29,15
29,47,16
47,31,15
31,47,17
47,33,19
33,47,20
47,35,21
35,47,21
47,37,22
37,47,22
47,39,24
39,47,24
47,41,25
41,47,26
47,43,27
43,47,28
47,45,30
45,47,29
47,47,31
49,19,8
19,49,9
49,21,10
21,49,11
49,23,12
23,49,12
49,25,13
25,49,13
49,27,14
27,49,15
49,29,16
29,49,17
49,31,18
31,49,19
49,33,20
33,49,20
49,35,22
35,49,22
49,37,23
37,49,23
49,39,25
39,49,25
49,41,27
41,49,28
49,43,29
43,49,29
49,45,31
45,49,31
49,47,32
47,49,34
49,49,60
51,19,9
19,51,10
51,21,10
21,51,11
51,23,12
23,51,69
51,25,14
25,51,14
51,27,15
27,51,16
51,29,25
29,51,17
51,31,18
31,51,28
51,33,20
33,51,21
51,35,22
35,51,23
51,37,24
37,51,24
51,39,39
39,51,27
51,41,28
41,51,29
51,43,30
43,51,40
51,45,32
45,51,41
51,47,34
47,51,41
51,49,45
49,51,37
51,51,39
53,19,10
19,53,10
53,21,11
21,53,11
53,23,12
23,53,12
53,25,13
25,53,14
53,27,16
27,53,16
53,29,17
29,53,18
53,31,19
31,53,30
53,33,21
33,53,22
53,35,23
35,53,24
53,37,25
37,53,26
53,39,27
39,53,28
53,41,28
41,53,29
53,43,39
43,53,32
53,45,34
45,53,35
53,47,36
47,53,50
53,49,39
49,53,39
53,51,41
51,53,41
53,53,43
55,21,11
21,55,12
55,23,13
23,55,13
55,25,14
25,55,15
55,27,16
27,55,17
55,29,18
29,55,19
55,31,20
31,55,21
55,33,22
33,55,23
55,35,24
35,55,63
55,37,50
37,55,51
55,39,53
39,55,52
55,41,55
41,55,57
55,43,58
43,55,59
55,45,63
45,55,63
55,47,70
47,55,70
55,49,57
49,55,41
55,51,44
51,55,43
55,53,46
53,55,46
55,55,48
57,21,12
21,57,12
57,23,14
23,57,14
57,25,14
25,57,16
57,27,17
27,57,18
57,29,18
29,57,19
57,31,21
31,57,22
57,33,23
33,57,23
57,35,25
35,57,26
57,37,63
37,57,28
57,39,30
39,57,31
57,41,32
41,57,33
57,43,34
43,57,36
57,45,37
45,57,38
57,47,39
47,57,40
57,49,42
49,57,44
57,51,44
51,57,45
57,53,47
53,57,48
57,55,49
55,57,50
57,57,52
59,21,12
21,59,13
59,23,13
23,59,14
59,25,15
25,59,16
59,27,18
27,59,17
59,29,19
29,59,20
59,31,21
31,59,22
59,33,23
33,59,25
59,35,26
35,59,27
59,37,28
37,59,29
59,39,30
39,59,32
59,41,33
41,59,34
59,43,44
43,59,37
59,45,39
45,59,44
59,47,41
47,59,42
59,49,43
49,59,46
59,51,47
51,59,47
59,53,51
53,59,50
59,55,52
55,59,52
59,57,54
57,59,117
59,59,59
61,23,14
23,61,15
61,25,17
25,61,17
61,27,18
27,61,19
61,29,20
29,61,21
61,31,22
31,61,23
61,33,25
33,61,25
61,35,27
35,61,28
61,37,29
37,61,31
61,39,32
39,61,33
61,41,35
41,61,36
61,43,38
43,61,38
61,45,40
45,61,41
61,47,43
47,61,45
61,49,46
49,61,47
61,51,48
51,61,49
61,53,52
53,61,52
61,55,54
55,61,55
61,57,57
57,61,66
61,59,60
59,61,61
61,61,63
63,23,15
23,63,15
63,25,17
25,63,18
63,27,19
27,63,20
63,29,19
29,63,22
63,31,23
31,63,23
63,33,25
33,63,26
63,35,27
35,63,29
63,37,31
37,63,31
63,39,33
39,63,34
63,41,44
41,63,38
63,43,39
43,63,40
63,45,42
45,63,44
63,47,44
47,63,46
63,49,59
49,63,50
63,51,50
51,63,52
63,53,53
53,63,54
63,55,56
55,63,66
63,57,59
57,63,60
63,59,62
59,63,63
63,61,66
61,63,66
63,63,69
65,23,14
23,65,16
65,25,15
25,65,17
65,27,18
27,65,20
65,29,21
29,65,22
65,31,23
31,65,25
65,33,26
33,65,27
65,35,29
35,65,29
65,37,31
37,65,32
65,39,34
39,65,35
65,41,37
41,65,38
65,43,39
43,65,41
65,45,43
45,65,45
65,47,46
47,65,48
65,49,49
49,65,51
65,51,52
51,65,53
65,53,55
53,65,57
65,55,59
55,65,60
65,57,62
57,65,63
65,59,65
59,65,133
65,61,69
61,65,69
65,63,72
63,65,72
65,65,75
67,25,17
25,67,18
67,27,20
27,67,21
67,29,22
29,67,23
67,31,24
31,67,25
67,33,27
33,67,28
67,35,30
35,67,31
67,37,32
37,67,33
67,39,35
39,67,37
67,41,38
41,67,40
67,43,42
43,67,44
67,45,44
45,67,47
67,47,47
47,67,50
67,49,51
49,67,54
67,51,54
51,67,55
67,53,58
53,67,67
67,55,61
55,67,62
67,57,64
57,67,66
67,59,68
59,67,68
67,61,71
61,67,72
67,63,75
63,67,75
67,65,86
65,67,78
67,67,81
69,25,18
25,69,19
69,27,20
27,69,21
69,29,22
29,69,24
69,31,25
31,69,26
69,33,27
33,69,29
69,35,31
35,69,31
69,37,33
37,69,35
69,39,36
39,69,38
69,41,47
41,69,43
69,43,42
43,69,44
69,45,45
45,69,49
69,47,49
47,69,51
69,49,52
49,69,55
69,51,56
51,69,57
69,53,59
53,69,61
69,55,70
55,69,65
69,57,67
57,69,68
69,59,70
59,69,71
69,61,74
61,69,75
69,63,78
63,69,79
69,65,92
65,69,82
69,67,85
67,69,85
69,69,93
71,25,22
25,71,20
71,27,72
27,71,22
71,29,23
29,71,26
71,31,26
31,71,28
71,33,29
33,71,31
71,35,31
35,71,33
71,37,34
37,71,36
71,39,37
39,71,41
71,41,41
41,71,43
71,43,44
43,71,46
71,45,48
45,71,49
71,47,50
47,71,52
71,49,54
49,71,64
71,51,62
51,71,60
71,53,61
53,71,63
71,55,64
55,71,67
71,57,69
57,71,72
71,59,73
59,71,74
71,61,85
61,71,78
71,63,81
63,71,82
71,65,85
65,71,86
71,67,88
67,71,90
71,69,92
69,71,93
71,71,96
73,27,21
27,73,24
73,29,24
29,73,27
73,31,27
31,73,29
73,33,30
33,73,32
73,35,32
35,73,34
73,37,36
37,73,37
73,39,39
39,73,42
73,41,42
41,73,53
73,43,45
43,73,48
73,45,48
45,73,51
73,47,52
47,73,54
73,49,56
49,73,58
73,51,59
51,73,62
73,53,63
53,73,65
73,55,68
55,73,69
73,57,71
57,73,74
73,59,74
59,73,78
73,61,80
61,73,81
73,63,84
63,73,93
73,65,88
65,73,89
73,67,93
67,73,142
73,69,98
69,73,96
73,71,103
71,73,110
73,73,111
75,27,22
27,75,25
75,29,24
29,75,27
75,31,27
31,75,29
75,33,30
33,75,31
75,35,33
35,75,35
75,37,36
37,75,39
75,39,39
39,75,41
75,41,43
41,75,45
75,43,47
43,75,49
75,45,50
45,75,52
75,47,54
47,75,56
75,49,58
49,75,60
75,51,61
51,75,63
75,53,65
53,75,76
75,55,70
55,75,74
75,57,73
57,75,77
75,59,77
59,75,89
75,61,82
61,75,84
75,63,95
63,75,88
75,65,91
65,75,92
75,67,95
67,75,96
75,69,99
69,75,109
75,71,112
71,75,109
75,73,113
73,75,115
75,75,117
77,27,22
27,77,24
77,29,25
29,77,27
77,31,28
31,77,30
77,33,31
33,77,32
77,35,34
35,77,36
77,37,38
37,77,39
77,39,40
39,77,44
77,41,44
41,77,50
77,43,48
43,77,50
77,45,51
45,77,54
77,47,55
47,77,58
77,49,67
49,77,62
77,51,64
51,77,66
77,53,69
53,77,70
77,55,72
55,77,77
77,57,77
57,77,80
77,59,91
59,77,83
77,61,86
61,77,88
77,63,91
63,77,91
77,65,95
65,77,96
77,67,107
67,77,108
77,69,108
69,77,103
77,71,113
71,77,113
77,73,113
73,77,123
77,75,122
75,77,122
77,77,123
79,29,26
29,79,28
79,31,29
31,79,31
79,33,32
33,79,34
79,35,35
35,79,37
79,37,39
37,79,40
79,39,42
39,79,45
79,41,46
41,79,48
79,43,49
43,79,51
79,45,53
45,79,56
79,47,58
47,79,60
79,49,62
49,79,64
79,51,74
51,79,69
79,53,70
53,79,73
79,55,75
55,79,79
79,57,79
57,79,83
79,59,84
59,79,95
79,61,89
61,79,91
79,63,94
63,79,95
79,65,112
65,79,99
79,67,103
67,79,127
79,69,109
69,79,113
79,71,112
71,79,116
79,73,117
73,79,131
79,75,128
75,79,128
79,77,129
77,79,128
79,79,134
81,29,26
29,81,29
81,31,37
31,81,31
81,33,33
33,81,35
81,35,36
35,81,38
81,37,39
37,81,42
81,39,43
39,81,46
81,41,47
41,81,50
81,43,51
43,81,54
81,45,55
45,81,58
81,47,59
47,81,62
81,49,63
49,81,66
81,51,67
51,81,71
81,53,72
53,81,75
81,55,76
55,81,82
81,57,89
57,81,86
81,59,86
59,81,89
81,61,90
61,81,93
81,63,95
63,81,98
81,65,110
65,81,102
81,67,105
67,81,107
81,69,110
69,81,112
81,71,115
71,81,125
81,73,122
73,81,125
81,75,127
75,81,128
81,77,184
77,81,141
81,79,143
79,81,143
81,81,143
83,31,31
31,83,33
83,33,34
33,83,36
83,35,37
35,83,48
83,37,41
37,83,44
83,39,44
39,83,47
83,41,48
41,83,51
83,43,52
43,83,55
83,45,56
45,83,59
83,47,60
47,83,62
83,49,65
49,83,70
83,51,70
51,83,73
83,53,74
53,83,78
83,55,79
55,83,85
83,57,84
57,83,89
83,59,89
59,83,91
83,61,93
61,83,96
83,63,98
63,83,108
83,65,109
65,83,113
83,67,108
67,83,115
83,69,117
69,83,120
83,71,123
71,83,125
83,73,141
73,83,128
83,75,134
75,83,130
83,77,187
77,83,146
83,79,141
79,83,142
83,81,146
81,83,194
83,83,160
85,31,31
31,85,33
85,33,35
33,85,37
85,35,38
35,85,41
85,37,42
37,85,44
85,39,46
39,85,48
85,41,49
41,85,52
85,43,54
43,85,56
85,45,67
45,85,60
85,47,62
47,85,65
85,49,67
49,85,71
85,51,72
51,85,75
85,53,77
53,85,80
85,55,90
55,85,88
85,57,86
57,85,92
85,59,92
59,85,95
85,61,97
