SOURCE:
[  0.680375,   0.823295,  -0.444451,  -0.270431]
[ -0.211234,  -0.604897,    0.10794,  0.0268018]
[  0.566198,  -0.329554, -0.0452059,   0.904459]
[   0.59688,   0.536459,   0.257742,    0.83239]
LU:
[  0.904459,   0.566198,  -0.329554, -0.0452059]
[ -0.298997,   0.849667,   0.724759,  -0.457967]
[  0.920318,  0.0892085,   0.775099,     0.3402]
[  0.029633,  -0.268355,  -0.516887,   0.162227]
TIME:
3
rows,cols,time_us
5,5,1
7,5,2
5,7,2
7,7,1
9,5,2
5,9,2
9,7,1
7,9,2
9,9,2
11,5,1
5,11,1
11,7,1
7,11,1
11,9,1
9,11,2
11,11,2
13,5,2
5,13,2
13,7,2
7,13,2
13,9,2
9,13,1
13,11,2
11,13,3
13,13,3
15,7,2
7,15,2
15,9,2
9,15,1
15,11,2
11,15,3
15,13,2
13,15,3
15,15,3
17,7,2
7,17,2
17,9,3
9,17,2
17,11,2
11,17,3
17,13,3
13,17,3
17,15,3
15,17,3
17,17,4
19,7,2
7,19,2
19,9,2
9,19,2
19,11,2
11,19,2
19,13,2
13,19,3
19,15,3
15,19,4
19,17,4
17,19,4
19,19,4
21,9,3
9,21,2
21,11,3
11,21,3
21,13,3
13,21,3
21,15,4
15,21,4
21,17,4
17,21,3
21,19,5
19,21,4
21,21,5
23,9,3
9,23,3
23,11,3
11,23,2
23,13,3
13,23,4
23,15,4
15,23,4
23,17,3
17,23,5
23,19,4
19,23,4
23,21,5
21,23,6
23,23,6
25,9,3
9,25,3
25,11,3
11,25,3
25,13,3
13,25,3
25,15,4
15,25,4
25,17,4
17,25,5
25,19,5
19,25,5
25,21,5
21,25,6
25,23,6
23,25,6
25,25,7
27,11,3
11,27,4
27,13,4
13,27,4
27,15,4
15,27,3
27,17,4
17,27,4
27,19,5
19,27,6
27,21,6
21,27,6
27,23,7
23,27,7
27,25,7
25,27,8
27,27,8
29,11,4
11,29,4
29,13,4
13,29,4
29,15,4
15,29,5
29,17,5
17,29,6
29,19,5
19,29,8
29,21,6
21,29,7
29,23,7
23,29,7
29,25,8
25,29,8
29,27,9
27,29,9
29,29,9
31,11,4
11,31,4
31,13,4
13,31,4
31,15,4
15,31,5
31,17,5
17,31,6
31,19,6
19,31,7
31,21,7
21,31,6
31,23,7
23,31,8
31,25,8
25,31,9
31,27,9
27,31,9
31,29,10
29,31,10
31,31,11
33,13,5
13,33,5
33,15,4
15,33,6
33,17,5
17,33,6
33,19,6
19,33,7
33,21,7
21,33,8
33,23,8
23,33,8
33,25,8
25,33,9
33,27,9
27,33,10
33,29,10
29,33,11
33,31,12
31,33,11
33,33,12
35,13,5
13,35,5
35,15,5
15,35,6
35,17,6
17,35,7
35,19,6
19,35,7
35,21,7
21,35,8
35,23,8
23,35,9
35,25,9
25,35,10
35,27,9
27,35,10
35,29,11
29,35,11
35,31,12
31,35,14
35,33,13
33,35,14
35,35,14
37,13,5
13,37,5
37,15,5
15,37,6
37,17,5
17,37,7
37,19,6
19,37,7
37,21,7
21,37,8
37,23,8
23,37,9
37,25,9
25,37,10
37,27,10
27,37,11
37,29,11
29,37,12
37,31,12
31,37,13
37,33,13
33,37,14
37,35,14
35,37,15
37,37,16
39,15,5
15,39,6
39,17,6
17,39,7
39,19,7
19,39,8
39,21,8
21,39,9
39,23,8
23,39,9
39,25,9
25,39,11
39,27,11
27,39,12
39,29,12
29,39,13
39,31,13
31,39,14
39,33,14
33,39,15
39,35,16
35,39,16
39,37,17
37,39,17
39,39,58
41,15,6
15,41,6
41,17,6
17,41,7
41,19,7
19,41,9
41,21,8
21,41,10
41,23,9
23,41,10
41,25,10
25,41,11
41,27,11
27,41,12
41,29,12
29,41,13
41,31,14
31,41,15
41,33,15
33,41,16
41,35,16
35,41,17
41,37,18
37,41,18
41,39,19
39,41,19
41,41,21
43,17,7
17,43,8
43,19,7
19,43,9
43,21,8
21,43,9
43,23,9
23,43,11
43,25,11
25,43,12
43,27,12
27,43,13
43,29,13
29,43,14
43,31,15
31,43,16
43,33,16
33,43,17
43,35,24
35,43,18
43,37,18
37,43,19
43,39,20
39,43,20
43,41,22
41,43,22
43,43,23
45,17,7
17,45,8
45,19,8
19,45,9
45,21,8
21,45,10
45,23,10
23,45,11
45,25,11
25,45,13
45,27,12
27,45,14
45,29,14
29,45,15
45,31,15
31,45,16
45,33,17
33,45,18
45,35,18
35,45,19
45,37,20
37,45,20
45,39,21
39,45,22
45,41,23
41,45,23
45,43,24
43,45,24
45,45,36
47,17,8
17,47,8
47,19,8
19,47,9
47,21,9
21,47,11
47,23,10
23,47,12
47,25,11
25,47,13
47,27,13
27,47,14
47,29,14
29,47,16
47,31,16
31,47,17
47,33,17
33,47,19
47,35,19
35,47,19
47,37,21
37,47,22
47,39,23
39,47,23
47,41,24
41,47,25
47,43,26
43,47,27
47,45,28
45,47,28
47,47,29
49,19,9
19,49,10
49,21,10
21,49,11
49,23,11
23,49,14
49,25,12
25,49,14
49,27,13
27,49,15
49,29,15
29,49,16
49,31,16
31,49,18
49,33,18
33,49,19
49,35,20
35,49,21
49,37,22
37,49,22
49,39,22
39,49,24
49,41,25
41,49,26
49,43,27
43,49,29
49,45,29
45,49,30
49,47,31
47,49,32
49,49,32
51,19,9
19,51,10
51,21,9
21,51,12
51,23,11
23,51,13
51,25,12
25,51,14
51,27,13
27,51,15
51,29,15
29,51,21
51,31,17
31,51,19
51,33,19
33,51,21
51,35,20
35,51,22
51,37,22
37,51,23
51,39,24
39,51,26
51,41,27
41,51,27
51,43,27
43,51,29
51,45,30
45,51,31
51,47,32
47,51,32
51,49,35
49,51,34
51,51,43
53,19,9
19,53,11
53,21,10
21,53,11
53,23,11
23,53,12
53,25,13
25,53,14
53,27,14
27,53,16
53,29,16
29,53,18
53,31,18
31,53,19
53,33,20
33,53,20
53,35,21
35,53,22
53,37,23
37,53,25
53,39,25
39,53,28
53,41,27
41,53,28
53,43,29
43,53,31
53,45,31
45,53,32
53,47,33
47,53,45
53,49,35
49,53,36
53,51,37
51,53,39
53,53,39
55,21,11
21,55,12
55,23,12
23,55,14
55,25,13
25,55,15
55,27,15
27,55,17
55,29,16
29,55,18
55,31,18
31,55,20
55,33,20
33,55,22
55,35,22
35,55,24
55,37,24
37,55,26
55,39,26
39,55,28
55,41,28
41,55,30
55,43,32
43,55,46
55,45,53
45,55,44
55,47,35
47,55,36
55,49,38
49,55,39
55,51,39
51,55,40
55,53,42
53,55,43
55,55,44
57,21,11
21,57,13
57,23,12
23,57,14
57,25,14
25,57,16
57,27,16
27,57,18
57,29,80
29,57,21
57,31,20
31,57,21
57,33,21
33,57,23
57,35,23
35,57,25
57,37,26
37,57,27
57,39,28
39,57,31
57,41,30
41,57,31
57,43,32
43,57,34
57,45,34
45,57,36
57,47,37
47,57,38
57,49,39
49,57,53
57,51,41
51,57,42
57,53,43
53,57,44
57,55,49
55,57,47
57,57,48
59,21,12
21,59,13
59,23,13
23,59,16
59,25,14
25,59,17
59,27,16
27,59,19
59,29,18
29,59,20
59,31,19
31,59,22
59,33,21
33,59,23
59,35,24
35,59,26
59,37,26
37,59,31
59,39,28
39,59,30
59,41,30
41,59,33
59,43,33
43,59,34
59,45,35
45,59,37
59,47,37
47,59,39
59,49,40
49,59,42
59,51,42
51,59,44
59,53,45
53,59,46
59,55,57
55,59,49
59,57,50
57,59,51
59,59,56
61,23,13
23,61,16
61,25,15
25,61,18
61,27,16
27,61,20
61,29,18
29,61,21
61,31,20
31,61,23
61,33,22
33,61,25
61,35,24
35,61,27
61,37,27
37,61,31
61,39,29
39,61,31
61,41,31
41,61,34
61,43,34
43,61,36
61,45,36
45,61,38
61,47,39
47,61,41
61,49,42
49,61,45
61,51,45
51,61,46
61,53,48
53,61,49
61,55,51
55,61,52
61,57,59
57,61,53
61,59,55
59,61,56
61,61,58
63,23,14
23,63,16
63,25,15
25,63,18
63,27,17
27,63,20
63,29,19
29,63,22
63,31,21
31,63,24
63,33,23
33,63,26
63,35,25
35,63,29
63,37,28
37,63,32
63,39,30
39,63,32
63,41,43
41,63,35
63,43,34
43,63,37
63,45,38
45,63,40
63,47,40
47,63,43
63,49,43
49,63,47
63,51,46
51,63,48
63,53,49
53,63,51
63,55,52
55,63,53
63,57,57
57,63,59
63,59,60
59,63,58
63,61,60
61,63,62
63,63,63
65,23,14
23,65,16
65,25,16
25,65,19
65,27,17
27,65,21
65,29,19
29,65,23
65,31,22
31,65,24
65,33,24
33,65,27
65,35,59
35,65,29
65,37,28
37,65,31
65,39,31
39,65,34
65,41,33
41,65,36
65,43,36
43,65,39
65,45,39
45,65,42
65,47,42
47,65,44
65,49,45
49,65,49
65,51,48
51,65,59
65,53,51
53,65,52
65,55,54
55,65,55
65,57,56
57,65,58
65,59,59
59,65,61
65,61,62
61,65,63
65,63,66
63,65,78
65,65,69
67,25,17
25,67,19
67,27,17
27,67,22
67,29,20
29,67,23
67,31,22
31,67,25
67,33,24
33,67,27
67,35,27
35,67,29
67,37,30
37,67,32
67,39,32
39,67,35
67,41,35
41,67,38
67,43,37
43,67,41
67,45,41
45,67,44
67,47,43
47,67,47
67,49,46
49,67,51
67,51,49
51,67,51
67,53,51
53,67,55
67,55,55
55,67,57
67,57,58
57,67,79
67,59,62
59,67,63
67,61,65
61,67,67
67,63,68
63,67,70
67,65,72
65,67,72
67,67,75
69,25,17
25,69,19
69,27,19
27,69,24
69,29,20
29,69,24
69,31,23
31,69,26
69,33,25
33,69,28
69,35,28
35,69,31
69,37,31
37,69,33
69,39,33
39,69,36
69,41,36
41,69,38
69,43,38
43,69,42
69,45,42
45,69,45
69,47,45
47,69,49
69,49,48
49,69,52
69,51,51
51,69,54
69,53,54
53,69,56
69,55,57
55,69,60
69,57,60
57,69,63
69,59,64
59,69,76
69,61,67
61,69,69
69,63,71
63,69,73
69,65,75
65,69,75
69,67,78
67,69,79
69,69,81
71,25,26
25,71,20
71,27,19
27,71,22
71,29,21
29,71,24
71,31,24
31,71,27
71,33,26
33,71,30
71,35,29
35,71,32
71,37,31
37,71,35
71,39,34
39,71,37
71,41,37
41,71,40
71,43,40
43,71,44
71,45,43
45,71,55
71,47,46
47,71,50
71,49,49
49,71,52
71,51,52
51,71,55
71,53,55
53,71,59
71,55,59
55,71,62
71,57,62
57,71,66
71,59,68
59,71,70
71,61,70
61,71,72
71,63,74
63,71,75
71,65,76
65,71,79
71,67,80
67,71,92
71,69,84
69,71,86
71,71,88
73,27,21
27,73,23
73,29,22
29,73,25
73,31,24
31,73,28
73,33,27
33,73,31
73,35,30
35,73,32
73,37,32
37,73,35
73,39,35
39,73,49
73,41,38
41,73,42
73,43,41
43,73,46
73,45,44
45,73,49
73,47,48
47,73,52
73,49,51
49,73,54
73,51,54
51,73,58
73,53,58
53,73,70
73,55,61
55,73,65
73,57,65
57,73,68
73,59,68
59,73,72
73,61,72
61,73,75
73,63,76
63,73,90
73,65,79
65,73,81
73,67,83
67,73,86
73,69,87
69,73,88
73,71,91
71,73,92
73,73,103
75,27,21
27,75,23
75,29,22
29,75,26
75,31,25
31,75,29
75,33,28
33,75,31
75,35,30
35,75,34
75,37,33
37,75,37
75,39,36
39,75,41
75,41,39
41,75,44
75,43,43
43,75,53
75,45,46
45,75,50
75,47,49
47,75,52
75,49,51
49,75,57
75,51,55
51,75,59
75,53,59
53,75,63
75,55,63
55,75,67
75,57,74
57,75,71
75,59,70
59,75,74
75,61,75
61,75,78
75,63,79
63,75,80
75,65,82
65,75,92
75,67,86
67,75,88
75,69,90
69,75,92
75,71,94
71,75,96
75,73,98
73,75,106
75,75,108
77,27,21
27,77,24
77,29,23
29,77,27
77,31,25
31,77,29
77,33,28
33,77,32
77,35,31
35,77,35
77,37,34
37,77,38
77,39,37
39,77,41
77,41,40
41,77,45
77,43,47
43,77,49
77,45,47
45,77,51
77,47,51
47,77,55
77,49,54
49,77,59
77,51,58
51,77,62
77,53,61
53,77,65
77,55,73
55,77,70
77,57,70
57,77,73
77,59,73
59,77,77
77,61,77
61,77,80
77,63,81
63,77,85
77,65,87
65,77,89
77,67,90
67,77,93
77,69,94
69,77,95
77,71,98
71,77,106
77,73,108
73,77,108
77,75,110
75,77,112
77,77,115
79,29,24
29,79,28
79,31,26
31,79,31
79,33,29
33,79,38
79,35,32
35,79,36
79,37,35
37,79,39
79,39,38
39,79,43
79,41,41
41,79,47
79,43,44
43,79,50
79,45,48
45,79,53
79,47,52
47,79,56
79,49,62
49,79,60
79,51,59
51,79,63
79,53,62
53,79,68
79,55,67
55,79,71
79,57,71
57,79,76
79,59,74
59,79,85
79,61,79
61,79,84
79,63,83
63,79,87
79,65,88
65,79,92
79,67,92
67,79,108
79,69,97
69,79,101
79,71,108
71,79,108
79,73,110
73,79,112
79,75,120
75,79,111
79,77,115
77,79,116
79,79,119
81,29,24
29,81,29
81,31,27
31,81,31
81,33,30
33,81,34
81,35,33
35,81,49
81,37,36
37,81,40
81,39,39
39,81,44
81,41,43
41,81,49
81,43,46
43,81,50
81,45,50
45,81,54
81,47,53
47,81,58
81,49,57
49,81,69
81,51,61
51,81,66
81,53,64
53,81,70
81,55,69
55,81,74
81,57,73
57,81,78
81,59,77
59,81,95
81,61,82
61,81,85
81,63,86
63,81,90
81,65,90
65,81,94
81,67,94
67,81,106
81,69,108
69,81,108
81,71,109
71,81,112
81,73,114
73,81,115
81,75,121
75,81,124
81,77,124
77,81,125
81,79,124
79,81,125
81,81,137
83,31,28
31,83,32
83,33,31
33,83,35
83,35,34
35,83,38
83,37,37
37,83,42
83,39,40
39,83,45
83,41,43
41,83,49
83,43,47
43,83,53
83,45,51
45,83,57
83,47,55
47,83,60
83,49,58
49,83,65
83,51,62
51,83,68
83,53,67
53,83,72
83,55,71
55,83,76
83,57,76
57,83,80
83,59,78
59,83,84
83,61,83
61,83,87
83,63,88
63,83,93
83,65,100
65,83,98
83,67,99
67,83,108
83,69,107
69,83,111
83,71,112
71,83,117
83,73,113
73,83,117
83,75,118
75,83,119
83,77,123
77,83,125
83,79,133
79,83,128
83,81,136
81,83,138
83,83,141
85,31,29
31,85,33
85,33,31
33,85,36
85,35,34
35,85,39
85,37,38
37,85,42
85,39,41
39,85,47
85,41,45
41,85,50
85,43,48
43,85,54
85,45,53
45,85,57
85,47,56
47,85,62
85,49,60
49,85,65
85,51,64
51,85,70
85,53,68
53,85,74
85,55,72
55,85,79
85,57,77
57,85,91
85,59,82
59,85,87
85,61,86
61,85,91
85,63,90
63,85,96
85,65,96
65,85,107
85,67,108
67,85,110
85,69,110
69,85,114
85,71,115
71,85,120
85,73,121
73,85,123
85,75,125
75,85,129
85,77,131
