--------------------------------------------------
SOURCE:
[  0.680375434309419,   0.823294715873569,  -0.444450578393624,  -0.270431054416313]
[ -0.211234146361814,  -0.604897261413232,   0.107939911590861,   0.026801820391231]
[  0.566198447517212,  -0.329554488570222, -0.0452058962756795,   0.904459450349426]
[  0.596880066952147,   0.536459189623808,   0.257741849523849,   0.832390136007401]
QR:
[   -1.08829090435262,   -0.754883653315118,    0.180970350380541,   -0.752817567171844]
[  -0.119431314852528,    0.932877365507815,   -0.151605158206146,   -0.706064740537006]
[    0.32012733840207,    0.618675074037028,   -0.471091693294592,   -0.691873163136702]
[   0.337474657545456, -0.00286371566172809,    0.917139252826706,   -0.202042934736408]
Q:
[ -0.625177911152487,   0.376639141780015,   0.582076652993588,    0.35844428622313]
[  0.194097134798227,  -0.491357732695369, 0.00356253724363284,   0.849047224312036]
[ -0.520263879127082,  -0.774263813272375,   0.145270970934673,  -0.329753526950447]
[ -0.548456359016626,   0.131248172774328,   -0.80004401339668,   0.204692735644818]
R:
[ -1.08829090435262, -0.754883653315118,  0.180970350380541, -0.752817567171844]
[                 0,  0.932877365507815, -0.151605158206146, -0.706064740537006]
[                 0,                  0, -0.471091693294592, -0.691873163136702]
[                 0,                  0,                  0, -0.202042934736408]
Q * R:
[  0.680375434309419,   0.823294715873569,  -0.444450578393625,  -0.270431054416313]
[ -0.211234146361814,  -0.604897261413232,   0.107939911590861,  0.0268018203912309]
[  0.566198447517212,  -0.329554488570222, -0.0452058962756795,   0.904459450349426]
[  0.596880066952147,   0.536459189623808,   0.257741849523849,   0.832390136007402]
ERROR:
3.48882e-16
TIME:
7
--------------------------------------------------
rows,cols,time_us
5,5,2
7,5,2
5,7,18
7,7,2
9,5,2
5,9,4
9,7,2
7,9,4
9,9,2
11,5,2
5,11,3
11,7,2
7,11,3
11,9,2
9,11,5
11,11,2
13,5,1
5,13,4
13,7,2
7,13,4
13,9,2
9,13,4
13,11,2
11,13,6
13,13,3
15,7,2
7,15,4
15,9,2
9,15,4
15,11,2
11,15,6
15,13,3
13,15,8
15,15,3
17,7,2
7,17,3
17,9,2
9,17,4
17,11,3
11,17,5
17,13,3
13,17,6
17,15,4
15,17,8
17,17,4
19,7,2
7,19,3
19,9,2
9,19,5
19,11,3
11,19,6
19,13,3
13,19,8
19,15,3
15,19,9
19,17,4
17,19,9
19,19,4
21,9,3
9,21,5
21,11,3
11,21,5
21,13,3
13,21,6
21,15,4
15,21,7
21,17,3
17,21,9
21,19,5
19,21,12
21,21,5
23,9,3
9,23,5
23,11,3
11,23,6
23,13,4
13,23,6
23,15,4
15,23,8
23,17,5
17,23,11
23,19,5
19,23,10
23,21,5
21,23,11
23,23,6
25,9,3
9,25,5
25,11,3
11,25,6
25,13,3
13,25,7
25,15,4
15,25,8
25,17,5
17,25,9
25,19,5
19,25,10
25,21,6
21,25,11
25,23,6
23,25,15
25,25,7
27,11,3
11,27,6
27,13,4
13,27,7
27,15,4
15,27,8
27,17,5
17,27,9
27,19,8
19,27,10
27,21,6
21,27,12
27,23,7
23,27,13
27,25,6
25,27,17
27,27,8
29,11,4
11,29,7
29,13,4
13,29,7
29,15,4
15,29,9
29,17,5
17,29,9
29,19,6
19,29,11
29,21,6
21,29,12
29,23,7
23,29,14
29,25,8
25,29,15
29,27,8
27,29,18
29,29,9
