--------------------------------------------------
SOURCE:
[  0.680375,   0.823295,  -0.444451,  -0.270431]
[ -0.211234,  -0.604897,    0.10794,  0.0268018]
[  0.566198,  -0.329554, -0.0452059,   0.904459]
[   0.59688,   0.536459,   0.257742,    0.83239]
QR:
[   -1.08829,   -0.754884,     0.18097,   -0.752818]
[  -0.119431,    0.932877,   -0.151605,   -0.706065]
[   0.320127,    0.618675,   -0.471092,   -0.691873]
[   0.337475, -0.00286376,    0.917139,   -0.202043]
Q:
[ -0.625178,   0.376639,   0.582077,   0.358444]
[  0.194097,  -0.491358, 0.00356241,   0.849047]
[ -0.520264,  -0.774264,   0.145271,  -0.329754]
[ -0.548456,   0.131248,  -0.800044,   0.204693]
R:
[ -1.08829, -0.754884,   0.18097, -0.752818]
[        0,  0.932877, -0.151605, -0.706065]
[        0,         0, -0.471092, -0.691873]
[        0,         0,         0, -0.202043]
Q * R:
[  0.680375,   0.823295,   -0.44445,  -0.270431]
[ -0.211234,  -0.604897,    0.10794,  0.0268018]
[  0.566198,  -0.329555, -0.0452059,   0.904459]
[   0.59688,   0.536459,   0.257742,    0.83239]
ERROR:
1.91699e-07
TIME:
6
--------------------------------------------------
rows,cols,time_us
5,5,2
7,5,2
5,7,8
7,7,2
9,5,1
5,9,2
9,7,3
7,9,3
9,9,2
11,5,2
5,11,3
11,7,3
7,11,2
11,9,3
9,11,5
11,11,3
13,5,2
5,13,3
13,7,2
7,13,3
13,9,3
9,13,4
13,11,2
11,13,6
13,13,3
15,7,3
7,15,4
15,9,3
9,15,4
15,11,2
11,15,5
15,13,4
13,15,7
15,15,3
17,7,2
7,17,4
17,9,3
9,17,5
17,11,3
11,17,6
17,13,4
13,17,6
17,15,4
15,17,7
17,17,4
19,7,3
7,19,4
19,9,3
9,19,4
19,11,3
11,19,5
19,13,3
13,19,6
19,15,4
15,19,7
19,17,4
17,19,9
19,19,5
21,9,3
9,21,4
21,11,3
11,21,6
21,13,4
13,21,6
21,15,4
15,21,7
21,17,4
17,21,9
21,19,5
19,21,10
21,21,5
23,9,3
9,23,5
23,11,3
11,23,5
23,13,4
13,23,8
23,15,4
15,23,7
23,17,4
17,23,9
23,19,5
19,23,9
23,21,5
21,23,12
23,23,6
25,9,3
9,25,4
25,11,3
11,25,5
25,13,3
13,25,6
25,15,4
15,25,8
25,17,4
17,25,8
25,19,5
19,25,10
25,21,5
21,25,13
25,23,6
23,25,12
25,25,6
27,11,3
11,27,5
27,13,4
13,27,7
27,15,4
15,27,7
27,17,5
17,27,8
27,19,5
19,27,12
27,21,6
21,27,10
27,23,6
23,27,12
27,25,7
25,27,13
27,27,7
29,11,4
11,29,5
29,13,3
13,29,6
29,15,3
15,29,8
29,17,4
17,29,9
29,19,5
