SOURCE:
[  0.680375,   0.823295,  -0.444451,  -0.270431]
[ -0.211234,  -0.604897,    0.10794,  0.0268018]
[  0.566198,  -0.329554, -0.0452059,   0.904459]
[   0.59688,   0.536459,   0.257742,    0.83239]
RANK:
4
TIME:
1
rows,cols,time_us,rank
5,5,1,5
7,5,1,5
5,7,0,5
7,7,1,7
9,5,0,5
5,9,1,5
9,7,1,7
7,9,1,7
9,9,1,9
11,5,1,5
5,11,1,5
11,7,1,7
7,11,1,7
11,9,1,9
9,11,1,9
11,11,1,11
13,5,1,5
5,13,1,5
13,7,1,7
7,13,1,7
13,9,1,9
9,13,1,9
13,11,1,11
11,13,1,11
13,13,1,13
15,7,1,7
7,15,1,7
15,9,1,9
9,15,1,9
15,11,1,11
11,15,1,11
15,13,1,13
13,15,1,13
15,15,1,15
17,7,1,7
7,17,1,7
17,9,1,9
9,17,1,9
17,11,1,11
11,17,1,11
17,13,1,13
13,17,0,13
17,15,1,15
15,17,1,15
17,17,1,17
19,7,1,7
7,19,0,7
19,9,1,9
9,19,0,9
19,11,1,11
11,19,1,11
19,13,1,13
13,19,1,13
19,15,1,15
15,19,1,15
19,17,1,17
17,19,1,17
19,19,1,19
21,9,1,9
9,21,1,9
21,11,1,11
11,21,1,11
21,13,1,13
13,21,1,13
21,15,1,15
15,21,1,15
21,17,1,17
17,21,1,17
21,19,1,19
19,21,1,19
21,21,1,21
23,9,1,9
9,23,1,9
23,11,1,11
11,23,1,11
23,13,1,13
13,23,1,13
23,15,1,15
15,23,1,15
23,17,1,17
17,23,1,17
23,19,1,19
19,23,1,19
23,21,0,21
21,23,1,21
23,23,1,23
25,9,1,9
9,25,1,9
25,11,1,11
11,25,1,11
25,13,1,13
13,25,1,13
25,15,1,15
15,25,1,15
25,17,1,17
17,25,1,17
25,19,1,19
19,25,1,19
25,21,1,21
21,25,0,21
25,23,1,23
23,25,1,23
25,25,1,25
27,11,0,11
11,27,0,11
27,13,1,13
13,27,1,13
27,15,1,15
15,27,1,15
27,17,1,17
17,27,1,17
27,19,1,19
19,27,1,19
27,21,1,21
21,27,1,21
27,23,1,23
23,27,1,23
27,25,1,25
25,27,1,25
27,27,1,27
29,11,1,11
11,29,1,11
29,13,1,13
13,29,1,13
29,15,1,15
15,29,0,15
29,17,1,17
17,29,1,17
29,19,1,19
19,29,1,19
29,21,1,21
21,29,1,21
29,23,1,23
23,29,1,23
29,25,1,25
25,29,1,25
29,27,1,27
27,29,1,27
29,29,1,29
31,11,0,11
11,31,1,11
31,13,1,13
13,31,1,13
31,15,1,15
15,31,1,15
31,17,1,17
17,31,1,17
31,19,1,19
19,31,0,19
31,21,1,21
21,31,1,21
31,23,1,23
23,31,1,23
31,25,1,25
25,31,1,25
31,27,1,27
27,31,1,27
31,29,1,29
29,31,1,29
31,31,1,31
33,13,1,13
13,33,1,13
33,15,1,15
15,33,1,15
33,17,1,17
17,33,1,17
33,19,1,19
19,33,1,19
33,21,1,21
21,33,1,21
33,23,1,23
23,33,1,23
33,25,1,25
25,33,1,25
33,27,1,27
27,33,0,27
33,29,1,29
29,33,1,29
33,31,1,31
31,33,1,31
33,33,1,33
35,13,1,13
13,35,1,13
35,15,1,15
15,35,1,15
35,17,1,17
17,35,1,17
35,19,1,19
