RESULT:
[   0.23606797289943,   0.384077370954695,   0.507778102417425,   0.613828959784896]
[  0.278566908621827,   0.621807487360623,   0.581797546376893,   0.885116036721765]
[  0.819533760151717,    0.34372593028092,   0.796725493342785, 0.00674923998460854]
[  0.667866897924772,   0.640035608932384,   0.737565598622329,   0.514750737816736]
TIME:
1
rows/cols,time_us
5,1
7,1
9,1
11,0
13,3
15,1
17,1
19,1
21,1
23,1
25,3
27,1
29,1
31,1
33,3
35,6
37,2
39,1
41,3
43,1
45,5
47,4
49,2
51,4
53,5
55,2
57,8
59,2
61,6
63,7
65,5
67,6
69,9
71,4
73,9
75,6
77,6
79,10
81,12
83,37
85,14
87,3
89,10
91,9
93,7
95,11
97,9
99,7
EOF
