size,time_us
59,132605
39,38897
16,2930
84,378818
87,421470
94,530969
61,146041
59,132409
41,45008
78,304088
60,138760
43,51863
41,44990
24,9461
55,107456
18,4390
99,555217
66,184789
35,28329
47,67415
26,12005
54,101686
23,8504
8,642
94,530988
21,6621
17,3779
17,3773
67,193340
17,3788
35,28362
72,239012
52,90652
51,85850
63,160936
55,107458
6,428
6,437
6,429
33,23836
86,407061
18,4390
6,425
66,184794
74,259909
17,3769
96,564660
45,59201
64,168165
88,435270
6,443
59,132400
18,4386
62,153342
9,810
100,571378
47,67381
76,280902
49,76198
63,160930
90,466250
68,201524
80,327369
20,5707
74,259930
67,193322
9,816
83,366208
48,71475
29,16359
71,229780
39,38881
88,435283
62,153393
42,48370
71,229792
55,107451
65,176484
70,220187
79,315977
7,541
55,107451
99,555201
57,119382
22,7525
90,466298
44,55228
40,41655
42,48347
43,51819
83,366218
18,4395
37,33249
73,249463
45,59217
67,193323
58,125767
68,201533
82,353095
80,327380
5,388
22,7477
16,2934
36,30560
73,249452
24,9453
95,548157
8,654
27,13413
40,41710
50,80985
54,101732
40,41671
17,3763
32,21626
10,996
15,2521
81,340258
22,7502
86,407027
72,239014
93,514053
20,5737
62,153363
89,450787
31,19882
41,44987
6,445
62,153368
84,378766
10,997
51,85939
11,1214
17,3818
68,201534
8,643
29,16362
10,994
61,146053
9,868
79,315991
50,81013
89,450808
93,514059
72,238996
18,4382
58,125802
35,28359
30,18069
25,10731
12,1456
98,538738
57,119410
62,153391
72,239011
96,564654
43,51840
44,55213
23,8498
80,327399
8,622
100,571357
21,6621
5,397
85,392915
70,220210
85,392904
7,522
7,508
15,2464
12,1422
51,85909
71,229783
38,36006
62,153371
52,90654
67,193349
89,450787
12,1446
73,249454
20,5746
48,71484
42,48335
6,445
33,23818
9,812
37,33247
46,63238
9,809
60,138794
55,107464
84,378796
20,5722
6,424
26,12005
23,8497
58,125770
84,378780
86,407018
36,30572
49,76199
77,292499
21,6595
41,44974
53,96125
27,13388
60,138758
23,8527
71,229791
20,5743
9,825
41,45014
20,5743
57,119412
72,239010
31,19866
41,44997
85,392900
61,146079
34,25995
42,48317
66,184806
55,107438
34,26019
53,96139
20,5712
46,63229
49,76177
47,67397
96,564679
84,378774
64,168161
17,3780
34,26021
43,51844
85,392895
27,13375
42,48331
81,340233
95,548202
58,125782
74,259907
8,602
53,96185
66,184790
83,366188
86,407034
48,71454
24,9461
54,101703
68,201526
58,125793
43,51846
71,229795
54,101714
18,4393
79,316000
25,10737
62,153416
29,16397
49,76237
78,304133
68,201538
55,107460
30,18055
68,201545
5,392
87,421492
42,48356
58,125815
87,421471
94,530997
94,530958
55,107452
36,30576
75,270619
72,238978
54,101719
11,1230
98,538738
88,435266
21,6612
77,292478
80,327377
87,421488
10,1005
45,59191
74,259928
19,5044
38,36000
94,530936
7,516
73,249458
37,33253
48,71464
55,107439
51,85875
59,132388
93,514073
68,201526
63,160946
93,514087
41,45005
30,18080
75,270632
81,340224
83,366187
73,249472
30,18086
89,450795
27,13375
21,6584
53,96099
74,259901
71,229778
82,353086
47,67425
84,378797
20,5719
32,21647
17,3780
69,210810
53,96143
25,10748
10,1010
47,67387
96,564644
52,90650
89,450823
38,35995
92,497188
69,210829
81,340208
44,55232
49,76191
93,514076
94,530955
14,2143
20,5755
75,270616
67,193342
40,41700
23,8511
91,482065
85,392900
21,6584
60,138797
72,238987
21,6600
52,90639
86,407051
77,292468
50,80971
55,107470
62,153382
13,1792
55,107466
73,249467
68,201539
18,4386
6,447
85,392881
26,12015
45,59186
85,392883
53,96162
9,803
37,33262
61,146065
56,112992
67,193343
64,168181
62,153387
21,6610
30,18137
89,450807
80,327378
69,210850
50,80962
74,259937
31,19881
64,168194
96,564640
55,107443
65,176466
47,67436
49,76214
62,153397
12,1453
14,2090
8,584
83,366217
29,16386
30,18078
24,9464
89,450797
77,292476
13,1777
45,59217
77,292469
67,193325
89,450794
23,8495
93,514103
48,71472
46,63208
93,514099
51,85899
60,138751
65,176492
19,5072
40,41663
11,1217
89,450815
99,555199
26,12031
82,353081
21,6606
70,220205
82,353057
39,38880
49,76175
50,80930
49,76174
95,548197
53,96147
16,2933
25,10731
87,421488
78,304088
43,51844
38,35989
15,2510
5,362
100,571357
31,19877
47,67394
81,340303
24,9465
15,2517
26,12013
45,59173
78,304123
24,9463
47,67449
87,421476
14,2109
91,482074
43,51842
87,421477
79,316007
30,18070
73,249462
72,238987
89,450755
54,101700
76,280882
69,210848
16,2937
42,48362
30,18066
58,125820
45,59195
40,41660
58,125775
47,67383
61,145996
27,13384
95,548194
94,530936
73,249450
17,3791
14,2115
63,160923
6,437
19,5068
79,315980
80,327354
21,6599
26,12018
93,514077
77,292479
24,9462
71,229798
69,210845
39,38892
59,132406
60,138773
96,564630
63,160905
20,5743
74,259903
100,571341
24,9445
84,378793
17,3779
23,8501
36,30579
27,13388
67,193333
63,160928
77,292465
81,340227
48,71449
77,292481
47,67437
48,71447
12,1459
16,2925
27,13377
13,1750
33,23824
60,138766
80,327359
88,435260
32,21627
50,80946
37,33241
72,239020
67,193346
12,1459
46,63232
84,378786
72,239001
84,378764
15,2522
99,555224
89,450768
47,67411
36,30564
85,392916
82,353070
69,210869
40,41680
27,13384
92,497168
84,378775
37,33246
81,340257
90,466258
9,818
63,160941
22,7538
15,2524
45,59228
29,16369
23,8484
32,21650
22,7490
51,85874
25,10722
70,220199
65,176468
25,10736
88,435280
91,482059
32,21647
22,7510
18,4371
7,524
71,229832
17,3804
90,466282
37,33240
65,176489
54,101713
17,3771
81,340256
57,119370
62,153369
75,270617
82,353041
23,8502
78,304092
92,497170
90,466271
27,13374
34,26057
69,210827
76,280879
7,549
91,482086
33,23818
44,55250
12,1446
77,292492
59,132441
93,514065
6,441
86,407010
26,12032
59,132382
15,2588
24,9477
22,7487
37,33215
29,16346
78,304096
54,101720
94,530971
49,76207
28,14689
59,132404
50,80961
80,327379
45,59202
66,184798
5,387
82,353118
16,2952
30,18091
31,19886
26,12007
97,522625
33,23805
58,125802
65,176502
93,514070
13,1781
22,7562
72,238995
41,45010
14,2123
90,466293
78,304085
21,6614
40,41666
85,392917
26,12010
92,497192
76,280856
92,497160
50,80975
68,201536
44,55236
23,8500
50,80974
32,21629
75,270641
6,433
45,59181
20,5714
69,210866
63,160939
87,421487
23,8482
61,146053
66,184769
100,571341
76,280879
52,90647
99,555202
8,650
15,2507
64,168200
56,112990
55,107434
58,125754
100,571358
41,44999
38,35986
85,392902
29,16350
13,1757
43,51826
72,239005
15,2522
65,176511
85,392897
19,5078
41,44985
66,184794
93,514086
91,482052
77,292464
28,14720
89,450782
33,23831
66,184769
69,210829
78,304081
65,176479
100,571368
27,13394
21,6584
84,378782
88,435296
26,12011
48,71440
7,536
57,119357
24,9462
67,193332
5,410
46,63242
53,96177
48,71453
72,239009
25,10752
72,239032
70,220197
93,514044
41,45012
86,407041
42,48327
16,2946
82,353093
85,392901
59,132418
57,119340
81,340240
12,1446
69,210842
16,2961
97,522609
61,146052
49,76210
15,2525
45,59203
22,7493
19,5057
92,497200
71,229811
66,184768
63,160951
49,76214
90,466276
11,1220
90,466278
13,1767
79,316026
13,1766
96,564637
70,220182
97,522596
99,555170
82,353091
6,450
40,41654
83,366218
56,113006
63,160933
18,4403
14,2113
50,80976
50,80940
53,96142
6,434
32,21662
28,14707
82,353084
17,3786
68,201558
18,4404
100,571366
96,564643
10,1007
13,1753
32,21686
27,13383
34,26034
65,176502
76,280874
93,514072
62,153382
93,514042
20,5769
10,1051
67,193315
34,26023
83,366189
11,1207
81,340279
96,564665
35,28336
66,184803
59,132400
41,44972
20,5717
88,435272
13,1791
19,5063
40,41640
13,1767
89,450833
19,5050
48,71450
5,381
33,23808
24,9474
75,270611
