size,time_us
21,1533
10,309
18,1026
89,58359
83,48233
66,25006
11,330
78,40136
28,2558
30,3060
62,20970
13,419
87,55170
55,15122
48,10133
99,80009
83,48233
90,60501
48,10133
75,36140
87,55154
72,31525
22,1495
96,72056
98,77361
10,283
37,5129
60,18831
66,24998
33,3873
7,192
52,12604
25,2019
94,68590
50,11614
46,9207
50,11542
27,2397
38,5539
84,49007
75,36123
92,63715
91,62764
27,2407
93,66154
18,1017
56,15490
62,21000
84,49026
31,3349
76,36791
68,26784
7,205
47,9814
81,44490
39,6001
19,1110
30,3068
87,55175
86,53113
49,10858
84,48998
50,11569
63,22080
62,20981
49,10849
83,48198
16,619
34,4143
28,2504
30,3045
9,233
6,144
52,12586
78,40153
24,1744
36,4751
21,1349
68,26772
75,36103
79,41879
65,23792
24,1779
10,266
6,139
8,166
66,24979
71,30929
36,4696
31,3343
43,7743
90,60502
80,42582
87,55162
65,23807
5,165
5,154
53,13421
72,31511
20,1176
14,519
22,1491
63,22057
40,6247
55,15111
29,2772
86,53118
70,29550
49,10852
75,36116
48,10127
18,1002
52,12577
27,2384
62,20992
57,16486
37,5134
83,48209
99,80007
31,3354
22,1509
88,56012
44,8040
24,1733
49,10851
64,22589
51,12268
59,18396
33,3836
24,1726
17,882
71,30898
83,48227
85,51085
18,1014
8,205
81,44495
96,72055
85,51073
10,293
57,16469
42,7216
76,36775
95,71029
43,7739
82,46318
25,1961
31,3327
82,46322
60,18811
66,24997
41,6710
94,68587
84,48986
74,34568
90,60504
26,2177
7,194
83,48203
15,601
33,3789
21,1304
49,10847
7,195
89,58311
72,31527
15,560
43,7725
29,2760
9,245
27,2424
35,4527
95,71031
19,1160
25,1953
37,5099
62,20987
30,3086
12,350
65,23797
27,2397
99,80000
83,48228
50,11547
22,1496
37,5115
17,872
71,30892
78,40148
87,55179
38,5548
58,17413
20,1203
13,411
80,42564
58,17428
7,185
87,55159
61,19874
82,46314
75,36104
35,4523
93,66170
100,81080
21,1319
96,72042
18,1012
36,4712
79,41878
99,79995
28,2515
64,22580
6,176
85,51092
41,6743
15,559
38,5526
95,71024
72,31526
32,3518
56,15501
92,63712
37,5139
