X,Y,time_us
30,18,2868
95,37,35453
9,5,146
54,16,4283
46,44,19100
96,39,39366
48,22,6546
99,83,148366
76,5,876
17,11,673
56,21,7183
95,54,68827
36,25,5730
55,55,34390
42,9,1254
35,23,4842
39,34,10296
34,21,4043
6,5,100
45,20,5152
34,28,6378
41,24,6297
13,11,516
55,53,32541
71,53,46200
16,16,1059
49,49,24517
49,30,11302
77,58,59509
34,11,1408
40,15,2791
9,5,135
49,12,2359
74,52,47240
62,61,47692
78,15,5657
65,33,18662
36,24,5374
93,77,120872
24,12,1138
16,9,469
41,22,5432
5,5,87
23,23,2832
85,75,102416
19,6,310
64,38,23309
18,12,817
25,8,620
70,19,7656
64,38,23301
32,10,1125
26,5,326
95,45,50081
82,21,10885
9,5,132
7,7,153
85,60,71557
63,44,29177
64,21,8307
91,46,49510
98,64,95578
45,34,12465
20,9,599
51,29,11186
33,14,2020
91,20,11154
100,76,130526
49,11,2049
94,64,90661
46,42,17810
44,13,2425
60,18,5917
34,17,2862
46,23,6722
28,23,3664
46,20,5281
95,41,42520
49,43,20175
19,5,243
100,5,1108
91,54,65290
60,26,11247
90,37,33305
94,56,72330
48,41,18218
71,48,39243
90,61,79122
61,27,12246
84,43,39997
5,5,90
55,51,30719
100,19,11232
32,24,4640
46,13,2537
91,70,100720
14,9,414
37,21,4454
49,27,9487
40,10,1421
29,27,4876
46,22,6220
27,27,4397
65,34,19646
40,20,4504
43,41,15613
68,7,1328
36,11,1491
5,5,88
50,28,10312
64,8,1560
100,81,144686
44,42,16753
55,27,10855
25,18,2198
14,13,674
64,57,45067
60,55,38968
57,16,4555
58,5,664
58,44,26222
55,36,17648
72,10,2565
62,10,2229
78,62,67412
47,40,17041
40,27,7406
70,41,29592
91,57,71626
39,30,8491
50,20,5801
91,85,136769
5,5,87
50,45,22235
59,16,4710
40,13,2199
40,37,12116
83,24,14021
8,7,173
12,5,163
70,39,27161
63,41,25973
68,5,784
78,78,96112
47,33,12553
5,5,86
51,20,5932
84,64,78331
88,20,10757
59,18,5809
8,6,149
34,24,4998
23,15,1501
10,7,217
50,25,8504
22,14,1288
99,61,89261
32,26,5257
12,10,388
56,26,10397
9,7,198
89,24,15114
59,23,8913
16,12,734
19,19,1690
57,36,18463
57,42,23750
64,31,16451
92,44,46400
41,7,823
80,21,10598
6,5,104
14,5,189
88,7,1691
97,60,84574
10,8,247
93,65,91748
18,17,1343
50,41,19265
53,41,20792
60,29,13595
71,13,3978
36,21,4327
32,27,5558
40,20,4512
56,39,20605
5,5,87
86,61,74660
29,29,5410
46,10,1639
41,9,1228
18,8,447
75,63,65560
62,29,14134
66,18,6559
37,37,10833
50,10,1772
35,13,1903
21,20,2068
75,65,68865
20,6,323
84,6,1261
69,39,26696
17,8,458
7,5,109
48,45,20994
69,12,3360
21,21,2189
26,8,662
92,70,102196
88,23,13821
65,26,12324
10,9,283
72,64,63511
23,6,377
70,54,46723
21,21,2195
90,45,46987
11,8,283
35,28,6614
33,33,7797
68,62,55819
17,13,885
52,5,602
96,20,11812
72,56,51454
37,19,3802
16,11,625
86,7,1651
84,20,10242
49,32,12573
22,13,1146
15,14,813
94,50,59491
25,6,427
20,18,1647
89,74,106879
76,56,55249
50,48,24494
58,24,9422
76,16,6174
62,22,8718
88,67,89743
46,19,4857
93,22,13555
57,13,3174
13,13,610
81,41,35243
49,17,4313
85,68,87730
100,24,17125
98,85,151899
40,7,809
28,11,1154
19,7,387
94,65,92995
72,22,10267
74,19,8145
32,31,6814
14,13,671
41,29,8559
9,9,253
7,7,155
21,18,1753
20,8,491
80,12,3897
68,66,61348
56,45,25947
24,6,393
85,60,71566
92,52,62019
26,20,2704
36,8,896
58,6,885
92,15,6726
57,20,6726
59,47,29811
59,57,40154
23,16,1653
90,14,5821
73,19,8028
12,8,296
48,11,1988
17,14,951
79,33,23410
30,11,1242
73,9,2171
39,11,1612
28,9,840
77,36,26490
34,32,7781
26,8,643
43,27,8105
51,20,5928
13,5,177
44,36,13230
6,5,100
88,38,33992
54,35,16457
50,7,986
31,7,628
13,6,216
92,39,37464
8,5,127
58,10,2070
46,16,3625
11,11,405
63,35,19886
38,10,1344
96,17,8815
71,38,26415
77,45,38945
30,11,1239
52,47,25081
55,32,14499
55,42,22688
62,53,38528
56,30,13268
56,55,35269
6,5,94
94,59,79052
68,18,6770
27,23,3501
5,5,90
75,26,14478
95,71,109144
91,90,149073
13,6,228
68,32,18651
21,7,425
5,5,110
49,24,7761
86,60,72640
11,7,228
29,17,2372
13,10,460
38,14,2342
42,19,4387
90,45,47008
37,5,446
50,24,7959
48,25,8124
62,38,22411
42,35,11895
10,9,308
86,81,117204
47,39,16372
65,14,4146
50,16,3952
38,13,2066
10,8,249
20,19,1785
85,23,13319
46,11,1925
15,15,898
16,16,1071
23,14,1350
99,87,159777
45,9,1344
40,21,4910
78,14,5020
44,6,690
35,7,733
39,29,8036
21,9,613
75,58,57474
87,28,19448
39,25,6346
85,44,42227
71,66,65284
75,29,17559
11,11,409
92,28,20704
36,34,9197
87,24,14738
30,26,4819
38,31,8610
65,44,30364
36,12,1715
26,17,2102
17,11,693
47,25,7920
86,73,99799
52,33,14243
11,11,404
84,77,104930
6,5,102
48,6,745
35,6,550
72,62,60443
23,8,571
73,27,15013
76,60,61788
67,32,18341
14,9,412
12,9,363
18,18,1440
47,34,13178
97,45,51345
10,5,174
32,14,1946
93,53,64919
88,72,100744
34,34,8498
44,25,7330
66,66,58724
88,62,79004
62,9,1850
78,41,33733
12,12,544
5,5,85
92,18,9309
80,39,31847
73,64,64748
93,87,146239
29,14,1759
95,85,145453
66,63,54809
73,45,36483
33,27,5800
40,14,2476
67,14,4274
71,67,66792
60,28,12787
69,55,47241
9,8,221
37,19,3784
39,37,11693
7,5,110
92,14,5938
10,9,291
47,45,20360
58,5,673
88,62,78988
83,14,5352
40,12,1918
49,18,4731
8,7,169
12,11,445
13,6,216
99,30,25410
64,48,34338
93,47,52757
7,5,112
93,32,26635
75,55,52702
90,45,47016
56,27,11094
58,48,30121
70,53,45353
26,14,1552
57,52,33248
65,28,14027
49,22,6684
94,39,38438
79,64,72155
95,53,66606
91,47,51399
33,7,676
19,10,659
9,6,161
15,14,809
25,12,1153
42,25,6927
22,6,382
36,12,1708
41,38,13051
75,37,26951
68,29,15726
83,70,88973
96,80,134144
27,20,2831
18,14,1020
98,52,66953
27,7,546
41,32,10023
99,80,139915
37,34,9570
87,37,32013
22,11,901
95,75,119290
52,44,22664
14,6,246
90,45,47017
52,44,22678
13,12,563
50,34,14248
83,34,26103
69,53,44493
40,35,11148
46,39,15911
33,5,396
48,29,10424
6,5,99
31,8,769
34,19,3424
63,6,990
49,8,1198
80,62,69738
31,20,3360
30,22,3736
90,87,139438
10,10,327
37,15,2553
61,22,8553
34,31,7421
24,17,1911
55,55,34356
12,9,344
37,9,1093
19,15,1193
32,17,2666
59,24,9607
64,20,7616
78,55,55472
35,33,8469
29,29,5394
64,20,7637
65,55,43560
42,11,1743
37,14,2274
64,29,14655
54,18,5259
27,15,1804
30,25,4550
85,30,21449
80,20,9718
96,93,169338
39,6,629
36,35,9619
94,90,156264
37,30,7915
40,25,6521
7,6,128
43,33,11198
60,42,25398
82,79,105356
50,47,23757
41,6,656
75,72,80528
76,61,63454
92,82,131511
62,61,47697
64,53,40223
74,73,80634
22,10,777
92,67,95140
93,51,60779
7,6,135
52,26,9542
15,14,821
86,32,24411
97,33,29515
97,48,57491
36,15,2492
28,13,1492
95,71,109108
93,60,80264
78,46,41107
39,31,8929
53,42,21632
20,7,415
57,52,33303
70,62,58127
54,37,18054
51,35,15304
58,48,30115
58,25,10101
72,38,26882
53,14,3351
70,6,1064
80,69,82688
70,24,11637
32,5,389
35,7,699
97,25,17879
75,22,10742
64,41,26480
19,16,1309
58,27,11549
91,87,141701
81,70,86014
85,35,28259
31,20,3359
59,53,35964
40,21,4900
24,21,2620
27,14,1641
68,20,8155
22,21,2353
78,17,7053
62,28,13297
32,10,1136
79,59,63289
100,51,66331
86,71,95497
51,50,26776
18,8,445
42,23,6027
55,15,3915
73,7,1427
59,32,15771
57,33,15948
38,8,941
65,28,14031
14,13,674
32,15,2180
34,32,7780
31,21,3627
85,13,4803
95,70,106614
36,18,3358
62,54,39650
60,45,28408
86,46,46260
27,21,3084
60,51,34677
99,59,84258
26,20,2704
85,38,32673
60,41,24439
53,6,814
85,62,75528
9,5,141
74,9,2197
27,10,956
99,25,18265
7,6,131
18,11,721
22,9,643
97,5,1079
84,39,33742
16,10,579
73,32,20259
15,7,306
33,29,6455
94,5,1042
53,40,20003
60,38,21503
69,20,8277
33,7,667
65,34,19646
87,37,32028
21,17,1634
79,23,12312
26,20,2701
87,55,63711
41,31,9540
69,49,39156
96,30,24562
88,39,35629
13,5,179
68,40,27405
73,15,5278
31,22,3890
30,15,2032
50,50,26009
12,9,375
86,29,20473
51,49,25978
32,22,4057
96,26,18967
17,9,502
89,34,28254
77,33,22732
89,38,34459
96,43,46788
10,8,268
99,42,46503
81,20,9859
80,11,3353
39,28,7599
13,9,401
24,21,2604
57,48,29410
8,8,192
78,45,39576
67,40,26904
44,20,5032
78,77,94283
99,41,44559
36,36,10036
33,5,398
59,13,3283
80,29,18887
67,32,18332
29,12,1372
32,30,6510
92,68,97447
92,74,111799
9,9,253
78,52,50519
71,42,31370
98,28,22191
50,48,24502
15,7,306
74,49,42780
62,57,43071
100,57,80476
55,31,13751
57,45,26552
43,36,12833
54,25,9317
69,33,20000
13,5,177
65,10,2298
37,24,5561
73,52,46411
29,6,468
95,45,50120
84,8,2032
36,27,6484
91,11,3820
44,26,7813
97,29,23384
69,20,8288
25,16,1832
14,7,292
20,15,1267
46,25,7722
96,42,44905
81,73,91809
28,5,352
62,35,19508
100,41,45062
52,7,1038
90,38,34919
70,38,25989
75,13,4221
18,17,1335
49,11,2036
8,6,144
6,5,98
81,57,61807
87,54,61768
100,92,176655
49,32,12575
13,10,434
36,32,8423
71,52,44786
87,75,105809
13,9,380
97,68,104397
83,56,61909
27,5,339
17,13,859
55,7,1070
39,10,1379
37,5,449
61,53,37675
9,5,133
14,8,350
15,12,657
80,19,8858
70,7,1371
57,48,29415
70,20,8402
63,61,48819
62,16,4976
92,64,88208
7,7,151
66,15,4762
54,33,14929
37,13,2027
99,56,77056
28,5,348
96,72,113181
57,20,6710
77,65,71420
75,46,39133
51,44,22080
83,69,86977
89,28,19961
94,44,47560
37,18,3467
68,65,59957
47,29,10168
44,32,10983
75,63,65570
26,5,326
52,51,28332
83,59,67465
64,47,33158
7,7,154
77,32,21510
65,45,31516
26,10,939
15,14,807
35,10,1226
27,24,3722
30,21,3472
21,17,1625
52,5,613
81,63,72759
32,13,1745
67,21,8744
76,5,880
44,11,1831
49,8,1223
32,6,500
9,8,219
80,31,21265
62,33,17643
75,25,13483
40,23,5699
16,16,1050
34,28,6357
60,54,37899
31,31,6519
58,55,37130
15,15,891
29,18,2598
22,11,887
66,43,29809
30,21,3475
51,7,1003
68,40,27372
10,9,310
77,55,54539
67,13,3756
40,19,4149
37,34,9582
82,42,37308
53,28,11054
98,62,90598
84,50,51878
15,12,651
81,10,2878
51,28,10567
41,41,14580
59,49,31834
61,30,14690
51,51,27547
42,13,2305
74,54,50266
33,13,1795
21,21,2188
