X,Y,time_us
84,10,962
28,18,763
73,53,11862
40,39,3412
64,14,1143
71,51,10748
30,7,217
29,20,878
84,72,23028
57,33,4089
8,5,83
52,34,3847
59,43,6506
29,26,1273
35,34,2357
81,56,14717
6,6,81
45,19,1295
71,49,10079
74,23,2974
69,55,11666
58,49,7779
97,85,36170
90,63,20358
44,35,3307
56,48,7200
72,12,1006
15,8,155
32,23,1201
86,82,28969
18,12,287
60,19,1756
98,58,19717
45,30,2674
26,12,390
15,8,165
44,35,3279
50,11,617
96,78,31194
95,42,10981
38,9,360
66,22,2454
37,24,1506
43,11,539
75,27,3962
47,31,2956
31,22,1092
46,39,4079
47,41,4534
91,84,32543
95,77,30124
75,43,8694
43,29,2415
24,5,135
52,13,825
23,15,462
80,24,3477
12,9,149
12,6,107
83,27,4413
96,63,22072
17,11,240
52,47,6329
33,22,1171
46,6,248
22,21,694
88,61,18769
68,29,4019
61,38,5555
89,74,25960
89,10,912
47,25,2103
21,21,657
96,76,29906
8,7,109
73,51,11133
94,86,35259
25,8,235
85,52,13847
92,29,5568
85,79,26962
5,5,81
47,15,947
72,6,371
53,29,3053
83,74,23610
14,9,166
93,22,3491
97,83,34852
63,57,10961
15,8,165
33,19,946
94,62,20943
59,5,235
46,20,1438
53,30,3211
98,32,7068
23,9,237
22,11,297
26,25,1063
62,44,7168
98,62,22018
12,11,178
71,34,5495
99,54,17667
94,70,25522
17,12,275
49,43,5147
84,60,17231
55,28,3000
7,5,78
56,14,1005
77,10,810
74,58,13882
100,21,3480
65,27,3397
79,42,8874
56,24,2375
41,21,1375
86,8,639
97,11,1131
53,50,7129
70,38,6524
17,6,130
11,11,167
59,52,8717
32,10,365
55,24,2331
76,41,8133
45,33,3091
16,13,270
76,59,14774
40,35,2909
46,21,1558
66,36,5585
26,8,231
5,5,62
11,7,115
66,61,12906
78,36,6741
86,42,9782
37,21,1234
48,6,256
62,32,4275
13,8,142
19,10,231
60,15,1187
53,9,485
35,21,1158
47,8,371
18,7,153
44,25,1942
11,7,113
90,35,7510
44,38,3714
79,47,10703
31,24,1225
32,23,1201
47,24,1956
100,54,17883
82,51,12813
36,12,517
39,15,780
23,16,504
24,12,373
33,26,1491
85,80,27470
47,41,4533
78,7,482
84,47,11524
67,35,5414
66,42,7173
72,57,13039
67,19,1949
43,43,4318
53,11,654
30,16,660
70,66,15727
60,23,2391
33,33,2090
34,16,755
57,9,508
99,82,35151
99,83,35836
41,26,1931
81,14,1440
94,13,1479
62,28,3422
38,20,1185
28,25,1159
15,10,195
94,23,3837
64,21,2214
36,7,250
49,22,1799
20,6,142
54,35,4223
30,28,1473
96,63,22078
94,44,11735
25,10,300
28,6,175
79,17,1907
26,6,165
25,18,654
38,13,614
41,22,1473
6,6,82
62,45,7439
82,65,19001
100,43,12104
38,20,1180
92,33,6972
9,6,89
85,7,523
69,12,954
27,20,811
68,43,7726
65,62,12918
56,21,1914
92,87,34834
27,24,1071
40,32,2582
71,62,14595
24,6,158
32,25,1363
15,5,100
59,52,8718
94,24,4116
88,23,3578
92,63,20911
94,25,4423
14,5,101
7,5,96
40,17,971
61,51,8833
10,5,84
21,6,148
98,9,843
37,22,1324
86,17,2084
93,12,1268
5,5,64
5,5,68
7,7,100
15,9,179
22,13,367
14,12,230
39,15,778
69,22,2560
23,16,504
84,78,26018
100,83,36284
8,6,106
9,5,90
53,19,1561
74,26,3668
73,60,14414
24,11,324
84,34,6633
35,23,1332
87,11,1041
32,32,1917
85,17,2064
10,6,94
91,75,27302
14,9,171
53,34,3941
59,22,2183
77,7,470
81,24,3524
68,36,5758
17,17,394
94,81,32154
100,46,13585
13,10,184
100,9,866
39,38,3184
17,16,370
49,47,5845
71,70,17484
40,25,1762
30,15,600
56,40,5440
73,40,7444
39,36,2944
74,14,1307
71,63,14964
28,12,410
54,29,3104
95,19,2775
77,19,2253
22,6,147
71,20,2255
83,11,992
8,7,99
66,9,595
99,84,36521
46,11,576
62,28,3427
7,7,95
47,17,1138
36,35,2542
39,34,2704
49,12,691
27,14,490
99,91,41271
66,36,5585
20,17,483
31,16,688
16,10,209
93,87,35322
35,35,2457
49,45,5506
9,7,103
28,10,316
24,14,461
40,19,1149
57,23,2263
61,48,8093
69,24,2983
13,9,156
74,49,10613
64,47,8287
91,54,16005
35,24,1420
64,17,1552
56,35,4387
44,27,2209
90,59,18278
97,20,3111
58,47,7313
50,48,6204
89,48,12756
88,34,6991
82,66,19464
83,66,19773
34,12,493
32,18,833
80,28,4514
73,66,16661
67,33,4903
39,36,2934
75,55,12988
99,80,33788
96,49,14470
39,7,271
31,20,950
31,11,406
68,30,4251
14,13,246
95,89,37696
19,7,171
69,69,16475
78,29,4667
12,7,120
78,46,10191
11,9,141
24,17,574
15,11,255
78,25,3622
56,30,3421
50,48,6210
53,22,1949
62,56,10428
5,5,72
89,17,2169
17,9,193
30,9,299
38,26,1753
14,12,226
95,83,33875
