X,Y,Z,time_us
73,98,67,170397
36,49,74,47538
74,73,81,156324
65,82,11,21239
83,28,93,81160
10,94,80,27120
78,40,49,55816
29,86,34,30508
67,75,23,41603
47,100,75,125435
93,43,39,57091
42,98,43,63055
23,10,100,9730
80,39,65,75074
86,12,10,4412
47,78,52,68504
74,20,94,53846
98,13,21,11093
14,79,25,10101
70,19,19,9904
46,67,20,22340
29,60,98,61801
15,10,71,4563
87,54,33,56517
86,52,19,31063
68,13,98,35538
84,100,50,149504
58,35,13,9928
84,66,72,143197
45,67,47,51027
17,46,70,20192
36,8,40,5055
94,84,63,177620
97,69,23,55643
13,90,50,21047
85,50,47,72458
79,5,16,3110
52,25,30,14771
76,9,10,3044
79,16,79,38918
60,43,26,24669
15,56,54,16474
97,83,32,92242
14,72,74,26859
28,13,22,3382
31,68,52,39538
11,40,17,2832
63,47,83,90006
54,73,81,114130
58,35,41,30850
15,99,54,28776
36,29,92,36167
45,9,95,16388
81,100,50,144178
5,12,59,1584
35,80,10,10197
92,93,38,116143
72,6,86,17173
51,70,79,101522
22,16,16,2298
94,90,36,108652
73,22,98,60800
18,28,75,14320
11,92,90,32764
98,40,17,24524
100,46,31,52365
33,82,36,34935
5,52,60,5824
23,13,9,1212
77,63,44,77321
13,36,31,5472
54,49,15,14549
70,91,64,145229
39,43,80,49171
80,64,18,33293
74,23,77,50623
47,95,33,52827
56,94,91,170858
72,69,78,139304
25,40,30,11061
21,85,87,55694
13,32,96,14859
86,54,19,32303
90,55,11,20095
18,57,7,2716
41,37,73,41075
80,12,82,32508
9,41,62,8488
58,84,57,99309
93,96,93,294286
99,69,57,140046
31,68,92,69806
70,89,19,42409
18,68,71,31425
86,6,18,4404
54,58,13,14899
93,84,22,61714
77,22,62,40654
40,66,26,24809
7,51,71,9374
80,85,46,111939
60,22,36,18461
30,8,83,8656
49,80,30,42098
15,15,43,4024
83,5,72,14303
12,59,42,10878
95,65,30,66657
12,97,40,16742
40,35,21,10997
16,56,62,20150
74,57,18,27576
44,46,75,55630
98,35,65,82346
62,12,75,23071
24,68,19,11326
23,88,36,26083
98,54,12,23403
39,77,91,98019
52,16,33,10792
33,17,29,6416
78,97,58,155857
83,91,92,247237
29,95,86,84738
50,77,11,15443
35,73,72,65864
50,86,60,92378
41,55,18,14933
96,48,51,85061
50,35,61,39571
44,31,18,9359
26,47,89,39980
29,81,58,48720
48,21,21,8292
72,48,84,104981
86,39,52,64608
78,9,32,9632
53,43,57,47545
68,80,37,71891
32,16,55,11044
14,8,99,4863
32,6,61,5455
97,45,32,51274
10,49,12,2237
41,88,52,66843
48,72,77,95091
98,7,35,10886
46,32,46,25059
85,50,41,63268
23,79,82,53632
16,93,47,25188
19,92,20,12645
72,100,76,194585
13,15,75,6029
15,5,45,1687
78,14,79,35213
86,48,28,42001
47,93,15,23655
69,16,34,14713
63,28,63,41891
16,78,96,43238
65,13,24,8419
56,5,63,8500
62,43,83,80830
42,62,72,67841
49,42,28,21180
9,43,66,9489
88,67,72,152398
32,49,46,26281
56,54,30,33141
18,32,89,19029
40,8,58,8076
20,84,47,28440
46,55,17,15828
96,96,15,49490
29,31,22,7551
12,87,28,10644
39,17,79,20420
8,69,87,17519
64,42,84,82430
99,92,23,75019
65,70,76,124442
41,51,39,29712
59,32,37,25981
98,77,42,113731
43,88,63,84858
5,52,37,3629
91,61,34,68340
40,44,87,56212
42,18,47,13863
68,19,60,30097
94,73,68,166731
90,69,8,18268
44,82,66,85042
7,31,40,3373
7,55,35,5043
30,100,52,55676
49,53,53,50090
17,40,32,8045
59,74,25,39273
56,85,16,27511
87,53,5,8707
39,66,20,18665
85,70,100,213875
65,41,6,6060
65,12,18,5916
46,96,59,92570
71,45,76,88833
79,77,20,43911
75,7,27,6478
26,8,27,2517
55,30,15,9462
80,32,13,12464
19,53,49,18072
69,55,74,102111
20,71,90,46246
69,9,63,16668
8,66,47,9080
60,15,69,25233
14,13,55,4202
86,19,83,52579
76,56,67,102587
43,43,19,12984
84,72,78,168390
44,54,5,4527
100,47,39,67271
89,91,87,250675
52,86,62,99255
97,81,49,137345
87,44,47,65858
6,74,66,10710
56,48,59,57441
9,65,55,11717
63,67,76,115218
56,94,49,92186
67,40,24,23615
14,27,62,8919
48,64,56,61749
83,9,6,2046
27,6,60,4549
8,73,91,19253
11,61,15,3763
30,48,18,9522
63,35,78,63536
57,89,5,9380
55,48,35,33563
92,91,43,128362
72,21,85,49707
67,20,23,12043
63,98,99,216976
66,81,95,180895
99,69,11,27409
26,56,5,2776
59,35,79,60269
30,91,49,47823
97,81,77,215490
53,51,29,28593
38,34,85,40660
27,38,55,21001
30,44,10,4970
20,87,46,28828
47,25,14,6304
36,86,5,5785
12,70,71,21672
39,7,58,7183
68,11,60,18730
28,18,35,6927
60,80,16,27644
59,49,58,60782
49,23,88,38285
28,31,86,28156
12,36,10,1708
16,53,63,19561
25,92,79,64945
91,12,97,43718
52,97,92,164734
16,36,73,15682
79,84,55,130420
99,55,63,124710
49,6,15,2131
98,93,53,172323
77,79,34,74426
20,78,43,24279
56,43,92,80935
84,5,95,19102
31,64,93,66210
48,28,94,47524
15,54,99,29330
82,18,73,41858
20,37,33,9147
78,24,53,37533
100,91,72,233205
80,73,52,108632
98,82,49,140555
88,70,74,163943
20,17,76,10138
22,22,35,6638
59,56,48,57182
20,73,63,33075
22,93,65,47618
71,33,85,73476
93,44,47,70390
68,26,59,39328
41,20,24,7718
13,19,61,5937
72,71,22,40754
78,85,14,33538
87,52,89,145998
81,93,18,48724
59,31,72,49729
70,32,95,78409
75,66,99,175673
15,79,81,34704
51,60,39,43214
5,11,36,919
65,69,81,130615
69,65,97,155891
59,19,55,23977
18,72,77,35878
98,97,61,205849
88,12,46,20124
13,45,53,11489
28,49,59,29452
99,28,90,93653
22,92,95,68717
33,38,81,37691
26,55,47,24606
76,24,51,35092
9,100,90,29153
39,31,6,2866
24,72,100,61989
77,5,34,6350
13,15,49,3982
63,65,7,10551
55,87,61,104544
53,10,52,11646
76,93,13,33169
53,5,85,10813
67,52,44,55752
40,84,25,30222
79,44,97,123165
89,62,40,79919
70,61,85,131018
74,70,7,13378
76,78,67,142434
63,18,26,11548
5,93,16,2791
13,74,84,29136
93,33,57,64582
35,21,21,6071
6,68,60,8994
9,12,35,1662
15,59,21,6845
73,28,61,46893
9,86,61,17123
6,7,75,1495
49,69,90,109457
57,27,45,26139
73,39,81,85325
6,79,75,13012
93,34,65,75873
90,55,35,63156
15,9,74,4337
44,20,94,32052
52,97,57,102197
26,80,24,17961
23,79,11,7352
99,45,75,122147
46,92,22,33428
56,36,98,72993
92,97,96,303805
27,39,81,31695
97,38,22,30193
9,94,35,10761
95,35,63,77382
18,84,66,35916
95,46,70,111937
26,53,35,17665
65,31,99,74924
60,42,24,22246
65,38,43,39386
22,79,9,5794
45,80,39,50180
33,80,57,53756
60,19,42,18633
99,43,63,97963
51,59,18,19736
12,50,41,9048
89,10,85,31782
60,15,88,32155
9,77,77,19365
18,70,56,25583
78,47,60,80614
45,14,7,1926
11,89,80,28129
80,53,14,21815
74,40,49,52959
10,34,8,1119
10,68,80,19770
14,54,78,21604
80,15,84,40890
85,72,7,15671
83,72,73,155761
59,95,51,102179
82,11,34,12844
15,15,5,552
86,39,76,94298
8,64,95,17661
19,64,95,41590
67,76,36,65845
84,43,8,10823
26,96,72,63944
45,99,19,30350
89,74,48,113193
51,53,30,29615
39,20,64,19397
32,84,96,92278
28,55,87,48896
28,66,67,44563
83,50,88,132237
5,69,13,1739
85,69,22,46681
66,87,47,96723
10,51,31,5870
42,46,21,15011
53,80,88,132923
51,50,55,50914
15,12,62,4701
90,80,41,105328
24,49,13,5678
37,24,96,32088
16,47,75,20823
94,77,72,186675
85,13,90,40786
71,93,70,164803
97,57,8,16300
77,72,99,195808
62,76,58,97967
69,57,28,39851
48,85,90,131260
73,80,51,106193
38,13,11,2333
26,13,17,2466
27,19,79,15780
86,64,8,16130
54,18,65,24589
13,95,14,6343
79,90,88,222516
24,67,94,54559
67,35,75,64968
49,49,82,71318
62,90,95,188544
35,82,73,74862
37,10,48,7544
47,48,16,13237
83,51,81,124282
71,81,87,178225
75,45,92,113521
67,17,8,3678
19,13,30,3136
