X,Y,Z,time_us
45,16,64,1946
26,11,57,816
56,28,11,793
81,91,33,8001
44,92,81,10567
27,31,15,550
53,86,68,10024
11,90,70,2376
29,20,43,1046
23,98,83,6134
39,32,60,2651
65,74,58,9126
7,84,96,1987
74,66,79,12616
9,47,75,1201
74,74,5,1188
7,15,38,215
73,45,23,2791
6,22,62,377
69,45,69,7327
33,57,48,3035
68,90,6,1551
26,12,95,1353
80,59,64,9919
34,80,99,8767
56,34,96,6299
14,94,13,690
31,15,65,1313
40,15,34,945
91,39,38,4875
36,89,76,7877
61,67,83,11122
20,37,34,972
13,23,88,1078
59,82,75,11755
98,43,18,2807
20,86,59,3440
56,75,80,10842
43,72,42,4362
63,84,23,4231
84,67,11,2399
44,51,78,5903
38,54,5,507
97,63,27,5793
71,10,5,250
46,20,79,2835
35,22,75,2273
6,43,37,401
44,95,88,11820
28,23,58,1500
9,70,8,239
42,69,24,2394
67,10,93,2813
27,11,74,1039
64,23,82,4618
100,28,40,4084
75,98,19,4869
64,15,72,2917
13,75,70,2345
84,80,27,6163
46,20,63,2302
90,100,58,16800
60,82,50,8054
96,15,62,3806
68,20,57,3020
46,20,84,2974
25,66,96,5225
74,9,22,771
93,38,14,1959
46,34,39,2228
83,71,90,17345
34,52,40,2447
70,92,20,4333
46,23,8,399
98,58,44,8266
18,53,41,1417
8,55,24,425
62,85,41,7119
100,81,61,15866
100,31,86,9587
80,31,55,5019
20,55,39,1575
83,72,18,3781
76,95,7,2123
29,62,6,526
73,79,16,3207
14,46,40,961
84,87,63,15054
81,71,52,9837
90,56,43,7308
68,62,45,6380
38,74,19,1935
29,43,55,2440
17,23,56,906
39,48,96,5977
36,35,89,3929
10,78,62,1708
73,12,85,3253
89,76,42,9412
52,49,15,1478
89,72,52,10769
97,19,69,4888
25,39,5,257
67,34,72,5672
69,43,79,8017
19,52,53,1854
100,5,93,2803
73,99,13,3327
38,84,39,4234
58,23,60,3080
80,94,5,1601
80,17,35,1955
89,70,14,3202
70,52,42,5294
53,88,20,3147
54,7,90,1855
51,15,67,2231
72,60,54,7802
46,23,59,2461
22,81,58,3453
16,55,60,1854
31,50,50,2695
91,47,22,3434
46,24,84,3374
100,79,36,9375
72,46,97,10927
62,12,80,2602
93,48,90,13284
47,35,36,2126
59,44,55,4962
29,37,99,3765
27,94,11,1121
24,89,67,4733
27,25,89,2228
11,56,62,1362
50,83,15,2286
77,88,13,3127
22,35,63,1785
49,74,57,6873
72,95,12,2904
6,51,42,537
59,70,22,3200
70,11,79,2732
54,32,37,2317
56,33,8,641
96,32,5,759
34,14,61,1283
14,83,85,3318
22,58,33,1503
22,63,54,2595
43,56,78,6240
17,10,43,380
16,58,8,319
80,8,24,773
51,34,51,3165
96,94,29,8687
85,52,55,8252
31,62,42,2796
74,81,9,2034
75,8,95,2740
75,74,99,17722
54,65,76,8741
92,51,14,2463
81,56,34,5243
87,14,32,1726
32,84,58,5170
8,27,79,706
12,94,50,1958
27,29,98,2829
80,6,60,1642
62,47,51,5215
65,89,62,11558
68,53,8,1146
55,48,86,7595
21,38,87,2511
70,23,70,4327
12,27,80,1017
92,47,58,8625
57,32,12,881
31,22,64,1720
10,78,62,1706
77,23,40,2743
54,98,85,14319
45,32,89,4465
65,10,72,2125
36,79,44,4181
24,53,5,323
45,73,17,1989
49,72,28,3353
29,96,60,5418
65,24,44,2537
76,6,66,1744
69,27,62,4221
79,16,11,695
11,45,36,678
60,91,5,1163
17,26,86,1452
87,27,9,942
79,82,98,20293
45,45,97,6696
50,82,93,12242
44,77,10,1344
15,89,11,627
23,77,77,4531
49,67,10,1305
39,47,92,5751
32,90,17,1735
59,20,79,3623
42,93,69,8730
8,15,87,505
24,26,96,2189
10,37,5,125
22,41,79,2502
58,41,35,2971
8,21,20,171
40,6,33,499
44,38,72,4209
73,5,48,1090
20,84,85,4724
97,29,40,4102
68,13,87,3348
34,64,61,4409
73,45,7,1064
53,63,15,1912
6,8,66,199
14,42,25,587
44,98,83,11503
38,79,84,8266
75,49,92,11242
23,23,79,1668
32,62,39,2709
12,60,13,392
19,62,7,396
38,31,96,4072
28,51,62,3044
65,46,69,7075
88,28,50,4523
89,54,18,3163
51,43,24,1892
17,9,18,172
61,80,88,13688
73,44,69,7562
48,30,29,1611
96,66,18,4035
55,97,70,11966
19,32,74,1650
59,95,50,9191
71,28,81,5792
45,16,23,753
45,51,71,5533
40,41,51,2945
69,12,100,3583
22,85,21,1416
33,90,62,6048
42,66,86,7848
98,27,54,5228
82,68,20,3824
50,90,23,3587
26,77,46,3130
58,89,68,11203
58,28,77,4525
67,18,12,654
25,93,31,2495
28,15,6,172
87,48,11,1822
94,55,68,11714
100,65,85,17831
80,24,50,3558
24,5,88,667
64,95,8,1819
61,33,76,5286
6,35,16,166
65,36,21,1831
46,90,12,1770
93,95,21,6306
40,43,89,5222
68,9,20,620
47,50,36,2893
78,62,59,9578
63,60,26,3493
83,19,43,2716
25,43,65,2451
7,48,84,1041
92,27,45,4099
90,56,18,3246
78,80,47,9630
71,9,29,934
