size,time_us,computable
5,2125,true
7,4107,true
9,6648,true
11,10637,true
13,18534,true
15,25169,true
17,35687,true
19,47937,true
21,63270,true
23,81420,true
25,102431,true
27,129964,true
29,152427,true
31,183460,true
33,219397,true
35,264824,true
37,314587,true
39,357264,true
41,418909,true
43,482384,true
45,546474,true
48,654247,true
51,766290,true
54,866165,true
57,1062927,true
60,1203527,true
63,1435183,true
66,1630543,true
69,1821562,true
72,2056928,true
75,2328912,true
78,2609876,true
81,2929663,true
84,3275001,true
87,3663861,true
90,3922892,true
93,4373105,true
96,4879563,true
99,5208429,true
102,5696707,true
105,6264917,true
109,6975674,true
113,7822942,true
117,8678505,true
121,9489541,true
125,10355529,true
*** PANIC ***
Out of memory
