size,time_us,decomposition,solved
5,297,1,1
6,343,1,1
7,416,1,1
8,542,1,1
9,691,1,1
10,938,1,1
11,1080,1,1
12,1293,1,1
13,1572,1,1
14,1888,1,1
15,2233,1,1
16,2605,1,1
17,3048,1,1
18,3531,1,1
19,4038,1,1
20,4623,1,1
21,5284,1,1
22,5965,1,1
23,6715,1,1
24,7519,1,1
25,8379,1,1
26,9331,1,1
27,10362,1,1
28,11417,1,1
29,12588,1,1
30,13824,1,1
31,15144,1,1
32,20697,1,1
33,22182,1,1
34,24044,1,1
35,25960,1,1
36,28237,1,1
37,30361,1,1
38,32656,1,1
39,35043,1,1
40,37746,1,1
41,40307,1,1
42,43111,1,1
43,46014,1,1
44,49352,1,1
45,52387,1,1
46,55605,1,1
47,59140,1,1
48,62939,1,1
49,66549,1,1
50,70419,1,1
51,74476,1,1
52,78913,1,1
53,83110,1,1
54,87512,1,1
55,92203,1,1
56,97421,1,1
57,102226,1,1
58,107402,1,1
59,112784,1,1
60,118574,1,1
61,124186,1,1
62,129906,1,1
63,136085,1,1
64,142607,1,1
65,148854,1,1
66,155438,1,1
67,162422,1,1
68,169776,1,1
69,176793,1,1
70,184160,1,1
71,191838,1,1
72,200129,1,1
73,207952,1,1
74,216170,1,1
75,224768,1,1
76,233842,1,1
77,242620,1,1
78,251768,1,1
79,261196,1,1
80,271284,1,1
81,280873,1,1
82,290993,1,1
83,301411,1,1
84,312415,1,1
85,323183,1,1
86,334111,1,1
