X,Y,Z,time_us
5,5,5,339
8,5,5,487
5,8,5,483
5,5,8,476
11,5,5,1024
5,11,5,961
5,5,11,900
11,11,5,1789
11,5,11,1889
5,11,11,1768
11,11,11,3728
14,11,11,4710
11,14,11,4607
11,11,14,4728
17,12,12,6780
12,17,12,6541
12,12,17,6743
20,12,12,7906
12,20,12,7580
12,12,20,7917
20,19,12,11994
19,20,12,11931
20,12,19,12413
12,19,20,11980
20,19,19,18875
19,20,19,18784
19,19,20,18908
23,12,12,9084
12,23,12,8632
12,12,23,9060
23,19,12,13781
19,23,12,13598
23,12,19,14258
12,19,23,13745
23,19,19,21649
19,23,19,21392
19,19,23,21665
27,12,12,10661
12,27,12,10047
12,12,27,10627
27,19,12,16161
19,27,12,15803
27,12,19,16734
12,19,27,16107
27,19,19,25395
19,27,19,24905
19,19,27,25401
27,26,12,21643
26,27,12,21604
27,12,26,22892
12,26,27,21597
27,26,19,34101
26,27,19,34017
27,19,26,34801
19,26,27,34110
27,26,26,46628
26,27,26,46555
26,26,27,46591
31,13,13,14172
13,31,13,13374
13,13,31,14135
31,21,13,21980
21,31,13,21561
31,13,21,22826
13,21,31,21954
31,21,21,35415
21,31,21,34668
21,21,31,35381
31,29,13,29810
29,31,13,29674
31,13,29,31503
13,29,31,29729
31,29,21,48044
29,31,21,47879
31,21,29,48900
21,29,31,47944
31,29,29,66297
29,31,29,66038
29,29,31,66132
35,21,21,39970
21,35,21,38963
21,21,35,39919
35,29,21,54201
29,35,21,53755
35,21,29,55143
21,29,35,54154
35,29,29,74769
29,35,29,74193
29,29,35,74674
39,21,21,44536
21,39,21,43243
21,21,39,44514
39,29,21,60360
29,39,21,59654
39,21,29,61427
21,29,39,60317
39,29,29,83337
29,39,29,82265
29,29,39,83191
39,37,21,76193
37,39,21,76054
39,21,37,78393
21,37,39,76140
39,37,29,105180
37,39,29,104914
39,29,37,106272
29,37,39,105088
39,37,37,134117
37,39,37,133842
37,37,39,133991
43,21,21,49107
21,43,21,47536
21,21,43,49041
43,29,21,66544
